>PAK2,6.292874122248824
MYC,TP53,any
TP53,MDM2,any
PAK2,MYC,any
>PAK2,6.1044020407732384
MYC,TP53,any
PAK2,MYC,any
DST,PAK2,any
>PAK2,6.097147606942495
PAK2,MYC,any
MYC,RB1,any
PAK2,DST,any
>PAK2,6.092260251423613
MYC,TP53,any
PAK2,MYC,any
MYC,RB1,any
>PAK2,6.19350331242991
MYC,TP53,any
PAK2,MYC,any
MYC,CDKN1A,any
>ARID3A,5.532082917736968
TP53,MDM2,any
ARID3A,TP53,any
TP53,VCAN,any
>ARID3A,5.922835799288617
TP53,MDM2,any
ARID3A,TP53,any
TP53,ATM,any
>ARID3A,5.4850008574006015
TP53,BCL2L1,any
ARID3A,TP53,any
TP53,ATM,any
>ARID3A,5.318507450000116
ATR,TP53,any
TP53,ARID3A,any
ATR,MDM2,any
>ARID3A,5.3960205223297795
DDX5,PIK3CA,any
DDX5,TP53,any
TP53,ARID3A,any
>PMS2,6.256946256694609
PMS2,TP53,any
ATM,MDM2,any
TP53,ATM,any
>PMS2,5.823794814561933
PMS2,TP53,any
TP53,CDKN1A,any
TP53,ATM,any
>PMS2,5.886792122208235
TP53,BCL2L1,any
PMS2,TP53,any
TP53,MDM2,any
>PMS2,5.880246680865219
PMS2,TP53,any
TP53,MCL1,any
TP53,ATM,any
>PMS2,5.923360270648177
PMS2,TP53,any
TP53,MDM2,any
TP53,RB1,any
>STAT1,5.793322737306928
BCL2L1,TP53,any
BCL2L1,PIK3CA,any
BCL2L1,STAT1,any
>STAT1,5.854702831412247
CCND1,PIK3CA,any
CREBBP,STAT1,any
CREBBP,CCND1,any
>STAT1,5.722173176953662
BCL2L1,TP53,any
STAT1,CREBBP,any
BCL2L1,STAT1,any
>STAT1,5.714249906883198
CREBBP,STAT1,any
CREBBP,CCND1,any
STAT1,ERBB2,any
>STAT1,5.873538135146133
CCND1,PIK3CA,any
CCND1,RB1,any
STAT1,CREBBP,any
CREBBP,CCND1,any
>CRK,5.3960205223297795
DDX5,PIK3CA,any
DDX5,TP53,any
PIK3CA,CRK,any
>CRK,5.190940961252787
EPHA2,TP53,any
PIK3CA,CRK,any
EPHA2,PIK3CA,any
>CRK,5.0649992408230995
BCL2L1,TP53,any
TP53BP2,BCL2L1,any
TP53BP2,CRK,any
>CRK,4.954766912557381
ERBB2,MYC,any
CRK,ERBB2,any
CRK,PIK3CA,any
>CRK,5.249440816254505
TP53,MDM2,any
HGF,TP53,any
HGF,CRK,any
>CDK4,6.395602370371211
CDK4,RB1,any
RB1,CCNE1,any
CDKN2A,CDK4,any
>CDK4,6.435011175520293
