GeneA	GeneB	MEScore
ERBB3	JAK2	5.464985704219043
HDAC2	CDKN1A	4.152826349898926
ATM	TP53	9.020599309568784
CTNNB1	CCND1	5.24648741877953
USP7	TP53	7.90459105524668
CREBBP	CCND1	7.3621519362972005
CTNNB1	TRRAP	4.133186129330616
SMARCA2	MYC	5.91547594742265
RB1	SMARCA2	7.545417690774492
JAK2	PIK3CA	6.796290117289982
PPP1CA	TP53	7.1332495807108
TP53	FDXR	8.123820649745884
HDAC2	FDXR	3.159992962619679
CDKN1A	RB1	6.899757504044198
CCND1	MYB	5.017811819867572
TP53	TRRAP	8.109921258684487
APC	CREBBP	5.929206896491596
GRB2	JAK2	4.374007517977754
MYC	TK1	4.643001008563163
TP53	RB1	8.629245252260725
ATR	BRCA1	4.134674977921325
APC	CTNNB1	3.8533711511285196
EGFR	GRB2	4.030020640303984
HDAC2	MDM2	4.343637148930938
MYC	TRRAP	5.2912878474779195
EGFR	ERBB2	5.7441645301070015
USP7	MDM2	5.355955653206168
EGFR	JAK2	4.905337540507618
ATR	TP53	7.743947276594238
MDM2	TP53	9.558141075215861
CTNNB1	EGFR	4.030020640303984
TRRAP	MDM2	5.39791576165636
ERBB2	ERBB3	6.468482069386449
ERBB2	GRB2	5.157184709581948
EGFR	ERBB3	5.324301701864961
HDAC2	TRRAP	3.914213562373095
HDAC2	TP53	7.7606991165431065
PIK3CA	BCL2L1	6.7130748865881795
TP53	APC	7.990686781356048
CTNNB1	MYC	4.622520095233299
FOXA1	TP53	7.829667278203042
EWSR1	USP7	4.97182329690311
PIK3CA	CCND1	7.386638443439746
PPARG	RB1	7.8443173594241085
CREBBP	MYB	5.678715246318925
BRCA1	TP53	7.899348874515248
CREBBP	CTNNB1	5.356056047719565
MYB	MYC	4.679073888576343
TP53	BNIP3L	8.638026031791783
BNIP3L	EWSR1	4.894717636708107
TP53	EGFR	7.842078060734945
MYC	TP53	8.669826964643923
ATM	BRCA1	5.1568776039816795
HDAC2	SMARCA4	3.6502815398728847
BRCA1	FOXA1	3.8643284505408246
ARNT	MCL1	3.7838821814150108
TP53	TNFRSF10B	8.873990308512013
ERBB2	JAK2	6.1228441865473595
CCND1	CDKN1A	6.017811819867572
CCND1	CDKN1A	6.017811819867572
TP53	VCAN	8.177514800380349
TK1	TP53	7.9561252362430945
TP53	TNFRSF10C	8.764850406100088
CREBBP	MYC	6.716363986143035
RB1	MYC	7.487604111971706
SMARCA4	TP53	7.971652086675095
ATR	MDM2	5.3120493408765626
MCL1	TP53	8.748332117344564
BCL2L1	TP53	8.707290279719388
BRCA1	MYC	4.8915901867856135
CTNNB1	SMARCA4	3.866252611759662
DDX5	PIK3CA	6.419368110170168
SMARCA4	CDKN1A	4.730822375816658
CCND1	RB1	8.207518105390324
ATM	MDM2	6.349204883112442
DDX5	TP53	8.369738406013843
MYC	CDKN1A	5.754444582046224
MYC	ERBB2	6.615224601131756
CTNNB1	VCAN	4.330127018922193
CDKN1A	TP53	8.877257783637665
