GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.5	true	-1	true	Set()	0.0
MDM2	0.5	true	-1	true	Set()	0.0
RB1	0.5	true	-1	true	Set()	0.0
MYC	0.5	true	-1	true	Set()	0.0
PIK3CA	0.5	true	-1	true	Set()	0.0
ATM	0.5	true	-1	true	Set()	0.0
CDKN1A	0.5	true	-1	true	Set()	0.0
CCND1	0.5	true	-1	true	Set()	0.0
APC	0.5	true	-1	true	Set()	0.0
BCL2L1	0.5	true	-1	false	Set()	0.0
CREBBP	0.5	true	-1	true	Set()	0.0
DDX5	0.5	true	-1	true	Set()	0.0
USP7	0.5	true	-1	false	Set()	0.0
CTNNB1	0.5	true	-1	true	Set()	0.0
ERBB2	0.5	true	-1	true	Set()	0.0
PPARG	0.5	true	-1	true	Set()	0.0
BNIP3L	0.5	true	-1	false	Set()	0.0
HDAC2	0.5	true	-1	false	Set()	0.0
EWSR1	0.5	true	-1	true	Set()	0.0
TK1	0.5	true	-1	false	Set()	0.0
TRRAP	0.5	true	-1	true	Set()	0.0
BRCA1	0.5	true	-1	true	Set()	0.0
YWHAZ	0.5	true	-1	false	Set()	0.0
CDKN2A	0.5	true	-1	true	Set()	0.0
EGFR	0.5	true	-1	true	Set()	0.0
VCAN	0.5	true	-1	false	Set()	0.0
SMARCA2	0.5	true	-1	false	Set()	0.0
ARNT	0.5	true	-1	true	Set()	0.0
MYB	0.5	true	-1	true	Set()	0.0
TNFRSF10B	0.5	true	-1	false	Set()	0.0
ATR	0.5	true	-1	true	Set()	0.0
ERBB3	0.5	true	-1	true	Set()	0.0
TNFRSF10C	0.5	true	-1	false	Set()	0.0
FDXR	0.5	true	-1	false	Set()	0.0
FOXA1	0.5	true	-1	true	Set()	0.0
MCL1	0.5	true	-1	false	Set()	0.0
GRB2	0.5	true	-1	true	Set()	0.0
JAK2	0.5	true	-1	true	Set()	0.0
PPP1CA	0.5	true	-1	false	Set()	0.0
SMARCA4	0.5	true	-1	true	Set()	0.0
