Gene	TP53	MDM2	RB1	MYC	PIK3CA	ATM	CDKN1A	CCND1	APC	BCL2L1	CREBBP	DDX5	USP7	CTNNB1	ERBB2	PPARG	BNIP3L	HDAC2	EWSR1	TK1	TRRAP	BRCA1	YWHAZ	CDKN2A	EGFR	VCAN	SMARCA2	ARNT	MYB	TNFRSF10B	ATR	ERBB3	TNFRSF10C	FDXR	FOXA1	MCL1	GRB2	JAK2	PPP1CA	SMARCA4
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0
GeneName	TP53	MDM2	RB1	MYC	PIK3CA	ATM	CDKN1A	CCND1	APC	BCL2L1	CREBBP	DDX5	USP7	CTNNB1	ERBB2	PPARG	BNIP3L	HDAC2	EWSR1	TK1	TRRAP	BRCA1	YWHAZ	CDKN2A	EGFR	VCAN	SMARCA2	ARNT	MYB	TNFRSF10B	ATR	ERBB3	TNFRSF10C	FDXR	FOXA1	MCL1	GRB2	JAK2	PPP1CA	SMARCA4
MutualExclScore	49.429448329448356	11.23336940836941	23.03621933621932	7.3110861360861366	18.399639249639243	10.446511821511821	7.854401154401155	15.001984126984127	3.523015873015873	7.367099567099568	16.429761904761897	4.46469363969364	4.930952380952381	4.249242424242424	12.443301143301142	14.993398268398263	4.073124098124099	1.624242424242424	5.298917748917748	1.6789793539793538	6.422557997557998	3.8341991341991344	14.035858585858579	55.925505050505095	4.69404761904762	6.638492063492065	7.142904317904316	10.267471417471416	3.760714285714286	5.801695526695527	4.913167388167388	9.496825396825397	5.600505050505051	2.2047369297369297	3.5761904761904764	8.965523365523367	1.9047369297369294	5.542110667110666	0.7138888888888889	4.76948051948052
MutQty	178	37	92	38	72	47	30	52	18	27	58	24	27	12	55	64	27	8	24	11	25	17	72	155	23	27	38	54	14	37	22	36	35	14	13	50	12	30	5	20
TCGA-FD-A6TD-01	1	1	1		1			1					1		1	1																								
TCGA-XF-AAMX-01	1	1				1						1			1				1			1						1			1					1				1
TCGA-K4-A5RI-01	1	1																						1																
TCGA-4Z-AA84-01	1		1	1	1	1								1	1	1			1				1	1																
TCGA-K4-A4AC-01	1		1	1						1													1	1																
TCGA-DK-AA6R-01	1		1	1							1																													
TCGA-ZF-AA58-01	1		1	1													1						1							1			1							
TCGA-PQ-A6FN-01	1		1	1																		1	1			1														
