GeneA	GeneB	MEScore
ARL3	UBR1	0.0
KAT5	CCDC106	0.0
ACTB	ESR2	2.643598454290256
SIRT1	CDKN1A	3.8566467762757255
CSE1L	TP53AIP1	0.0
ITGB3	PAK1	1.9318516525781364
AR	NCOA1	2.544224088273931
LCK	BCL2L1	3.3051829925398635
ATF2	MMP2	0.0
HDAC1	SMAD4	2.118033988749895
BARD1	XRCC5	0.0
HDAC1	KAT5	2.0
ATXN1	NLK	2.23606797749979
E2F1	CDK4	1.5731321849709863
NGF	ZNF274	1.4142135623730951
RHOA	FYN	3.091650066335189
SMN1	PDE4DIP	0.0
RAP1B	PTK2B	0.0
TRAF3IP1	EXOC1	3.1937043489192662
IKBKB	TSC2	4.82150917928812
MAX	ITGA6	0.0
CBL	HGF	3.0
GSK3B	TP53	7.142665127793212
LAMA4	RIF1	3.8533711511285196
CDK4	TK1	2.5243377989621383
EWSR1	TRAF2	3.1565965239697253
KPNA2	RBPMS	4.561552812808831
ERBB2	VAV2	4.69120576505835
STX5	RIF1	0.0
MDM2	YY1	4.041381265149109
CBL	EGF	3.302775637731995
NGFR	TK1	2.3654191763642474
MYC	POLR3D	5.598076211353316
MYB	LECT2	2.8708286933869704
ACD	TERF2	2.6591374894921387
CARM1	GADD45A	0.0
PTK2B	SRC	3.669269563007828
TP53	IGFBP3	0.0
GOLGA2	PIN1	0.0
APC	LRP6	4.091650066335189
ERBB3	JAK2	5.464985704219043
PRKDC	XRCC5	0.0
AKT1	ZHX1	1.4142135623730951
IMMT	ASCC2	3.297483460520232
CDKN1A	TLE1	3.7386127875258306
TP53	TP53INP1	7.670832032063167
CDKN2A	CDC45	7.080926851112465
DNMT1	RB1	6.118707178845014
TEK	CDKN1A	3.9633576589174195
GSK3B	ZHX1	1.7071067811865475
CDK6	TGFBR1	2.9364916731037085
TSC1	TSC2	4.122022120425379
ITGB1	ITGB4	3.602879500955848
CCNE1	RB1	7.266500322824694
TNFRSF10D	TNFSF10	1.8660254037844386
RBBP4	TFDP1	1.4142135623730951
HDAC2	CDKN1A	4.152826349898926
TFDP1	CASP7	1.7071067811865475
EGFR	SYK	4.242536938513255
MAX	DKK1	0.0
NCOA1	NCOR2	3.8073203664906794
RBBP4	SMAD4	1.8251407699364424
ATR	SRC	3.4632418686616098
BCAR1	PIK3R1	1.8660254037844386
TRAF2	CASP8	2.2071067811865475
ACTB	RCC1	0.0
ALAS1	CDKN1A	4.39692518270353
ERBB2	PRKACA	4.415206024734379
PTN	PIAS4	1.5731321849709863
ERBB2	HSP90AA1	5.281156581725059
GRB2	GIT1	3.9790545917405495
PPARG	NCOA3	5.193371837988475
GAPDH	HTT	2.668801041516433
RBBP4	SMAD2	1.5731321849709863
SMAD2	SMAD4	1.9840593925343335
ZHX1	PIAS4	1.4142135623730951
FADD	TNFRSF10A	1.9840593925343335
CDH1	EGF	4.155890736277042
CCND1	MCM10	4.893589869803721
E2F4	MYC	4.740519396662188
AKT1	TRAF6	0.0
CDH2	RHOA	3.5058636287082843
AKT1	TERT	1.290569415042095
CDH1	DLG1	4.834144188853106
TNFSF10	TRAF2	1.7071067811865475
APC	TAF1	3.5355339059327378
CTNNB1	CDKN1B	3.23945122526189
CBX4	RB1	5.756574397610112
MTOR	RPTOR	3.5936630341434324
CCNE1	BARD1	4.0086270528066
AURKA	PLK1	0.0
ARNT	FOS	4.523210113366387
RAP1B	CRK	0.0
ETS1	KDR	3.390363202746577
MAP3K1	TRAF2	2.2071067811865475
RBBP8	PDZD2	3.297483460520232
GRB2	SP1	2.5616078995657556
BCAR1	RAP1B	0.0
SP110	TK1	3.4610880329096947
PTPN11	SYK	2.8025170768881473
ARNT	SERPINE1	4.364291490768496
ATR	STAT3	3.0523146610982623
E2F1	APAF1	1.7071067811865475
MSH2	TK1	2.9811880507099953
SKIL	NCOR2	4.354072927994256
CTBP1	CTNNB1	2.732050807568877
BID	FBN3	0.0
ADAM17	BDNF	2.82842712474619
RAD50	RBBP8	2.4409096442821903
CDC5L	CDKN2A	7.080926851112465
AATF	TFDP1	1.7071067811865475
IKBKB	FOXO3	5.043145986935925
NCOR2	MEF2C	3.0545256618536034
SORT1	TRAF6	0.0
JAK1	RHOA	3.2393543323095373
HIF1A	SERPINE1	1.9840593925343335
HDAC1	MDM2	3.8867868971830815
EGF	PTPN11	2.668801041516433
ATM	TP53	9.020599309568784
SRC	SYK	3.0545256618536034
TFDP1	TBP	2.121320343559643
HGF	PLCG1	2.914213562373095
ATM	BARD1	4.732421079778759
SMAD4	SMAD9	1.9840593925343335
EGF	PAK1	2.5098824189185422
APLP1	TK1	3.1583123951777
NGF	SHC1	1.8251407699364424
ESR1	COL18A1	2.118033988749895
GOLGA2	UBE2U	0.0
GRB2	ZNF274	2.4391575887554247
TP53	XRCC5	0.0
CDC42	RAC1	2.0
TP53	VDR	7.161456297237114
TNNT1	UBE2D1	1.8251407699364424
STK11	SIK1	1.7071067811865475
TP53	CCT5	7.5180927516094735
FOXO3	GADD45A	0.0
ATF2	RB1	0.0
CASP8	ITGAV	3.232050807568877
TFDP1	MEF2C	1.8251407699364424
JAK3	PTPN11	2.2802389661575337
BAX	CASP3	0.0
PRKAR1A	MAPK6	2.7071067811865475
TP53	BCL2L14	6.652067347825035
TNNT1	KAT5	2.118033988749895
XRCC6	ACD	0.0
CDK6	CDKN1A	3.7386127875258306
APC	CDC42	3.1213203435596424
MPHOSPH6	LRIF1	0.0
SMAD9	SPTBN1	2.668801041516433
ATXN1	RBPMS	3.618033988749895
NCOR1	RBBP4	3.2071067811865475
PIN1	RBBP8	0.0
AKT1	PRKACA	1.4142135623730951
GSK3B	MAPK14	0.0
JAK2	LCK	3.445719568712378
ARIH2	DISC1	2.5
HIF1A	TP53	7.3497719089797595
CACNA1A	CSNK2B	2.857688097947204
GIT1	PLCG1	3.74671558424046
HIF1A	SMAD4	2.23606797749979
DAXX	USP7	3.716110200103211
ITGB4	SHC1	2.850084796318772
RBL1	SMAD4	2.4409096442821903
ANXA7	CTSB	3.9154759474226504
MAPK14	GDF15	0.0
VIM	ING5	3.297483460520232
RXRA	VDR	3.0523146610982623
TAF9	ZNF385A	0.0
ANXA7	APC	3.0615528128088303
CBL	ITGA4	3.03439873697506
FAS	RIF1	0.0
MAX	NFYA	0.0
CDH2	CTNND1	2.682482845102914
MET	SOS1	3.5348264453008715
SIRT1	TP53	7.1332495807108
PRKAR1A	WNK1	3.8073203664906794
CCND1	CDK6	4.60555127546399
ALAS1	SUMO2	3.390363202746577
HSPB1	PPA1	0.0
