SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	TP53
2	2	0	100	TP53,MDM2
3	3	0	100	TP53,MDM2,RB1
5	5	0	100	TP53,MDM2,RB1,MYC,PIK3CA
6	6	0	100	TP53,MDM2,ATM,RB1,MYC,PIK3CA
7	7	0	100	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A
8	8	0	100	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1
9	9	0	100	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC
11	10	1	90	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,CREBBP,BCL2L1
12	11	1	91	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CREBBP,BCL2L1
13	11	2	84	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CREBBP,USP7,BCL2L1
14	12	2	85	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,USP7,BCL2L1
15	13	2	86	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,ERBB2,USP7,BCL2L1
16	14	2	87	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,ERBB2,PPARG,USP7,BCL2L1
17	14	3	82	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,ERBB2,PPARG,USP7,BCL2L1,BNIP3L
18	14	4	77	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,ERBB2,PPARG,USP7,BCL2L1,HDAC2,BNIP3L
20	15	5	75	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,ERBB2,PPARG,EWSR1,USP7,BCL2L1,HDAC2,TK1,BNIP3L
21	16	5	76	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ERBB2,PPARG,EWSR1,USP7,BCL2L1,HDAC2,TK1,BNIP3L
24	18	6	75	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,BRCA1,ERBB2,PPARG,EWSR1,CDKN2A,USP7,BCL2L1,HDAC2,TK1,BNIP3L,YWHAZ
25	19	6	76	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,BRCA1,ERBB2,PPARG,EGFR,EWSR1,CDKN2A,USP7,BCL2L1,HDAC2,TK1,BNIP3L,YWHAZ
26	19	7	73	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,BRCA1,ERBB2,PPARG,EGFR,EWSR1,CDKN2A,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,YWHAZ
27	19	8	70	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,BRCA1,ERBB2,PPARG,EGFR,EWSR1,CDKN2A,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,YWHAZ,SMARCA2
28	20	8	71	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,BRCA1,ERBB2,PPARG,EGFR,ARNT,EWSR1,CDKN2A,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,YWHAZ,SMARCA2
29	21	8	72	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,BRCA1,ERBB2,PPARG,EGFR,ARNT,EWSR1,CDKN2A,MYB,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,YWHAZ,SMARCA2
30	21	9	70	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,BRCA1,ERBB2,PPARG,EGFR,ARNT,EWSR1,CDKN2A,MYB,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10B,YWHAZ,SMARCA2
31	22	9	70	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ATR,BRCA1,ERBB2,PPARG,EGFR,ARNT,EWSR1,CDKN2A,MYB,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10B,YWHAZ,SMARCA2
33	23	10	69	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ATR,BRCA1,ERBB2,PPARG,EGFR,ARNT,EWSR1,CDKN2A,MYB,ERBB3,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10C,TNFRSF10B,YWHAZ,SMARCA2
34	23	11	67	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ATR,BRCA1,ERBB2,PPARG,EGFR,ARNT,EWSR1,CDKN2A,MYB,ERBB3,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10C,FDXR,TNFRSF10B,YWHAZ,SMARCA2
36	24	12	66	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ATR,BRCA1,ERBB2,PPARG,EGFR,ARNT,FOXA1,EWSR1,CDKN2A,MYB,ERBB3,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10C,FDXR,TNFRSF10B,MCL1,YWHAZ,SMARCA2
37	25	12	67	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ATR,BRCA1,ERBB2,PPARG,EGFR,ARNT,FOXA1,EWSR1,CDKN2A,MYB,ERBB3,GRB2,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10C,FDXR,TNFRSF10B,MCL1,YWHAZ,SMARCA2
38	26	12	68	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ATR,BRCA1,ERBB2,PPARG,EGFR,ARNT,FOXA1,EWSR1,CDKN2A,MYB,ERBB3,GRB2,JAK2,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10C,FDXR,TNFRSF10B,MCL1,YWHAZ,SMARCA2
39	26	13	66	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ATR,BRCA1,ERBB2,PPARG,EGFR,ARNT,FOXA1,EWSR1,CDKN2A,MYB,ERBB3,GRB2,JAK2,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10C,FDXR,TNFRSF10B,MCL1,PPP1CA,YWHAZ,SMARCA2
40	27	13	67	TP53,MDM2,ATM,RB1,MYC,PIK3CA,CDKN1A,CCND1,APC,DDX5,CTNNB1,CREBBP,TRRAP,ATR,BRCA1,ERBB2,PPARG,EGFR,ARNT,FOXA1,SMARCA4,EWSR1,CDKN2A,MYB,ERBB3,GRB2,JAK2,USP7,BCL2L1,HDAC2,TK1,VCAN,BNIP3L,TNFRSF10C,FDXR,TNFRSF10B,MCL1,PPP1CA,YWHAZ,SMARCA2
