GeneA	GeneB	MEScore
NRXN1	PDZD2	4.150581316760657
CTNNB1	RHOA	3.749962461512889
CTNNB1	VCAN	4.330127018922193
PIK3CA	RHOA	6.104824673236974
ERBB2	ERBB3	5.699358128837661
CDKN1A	RB1	6.222180396850948
ERBB2	VAV2	4.118033988749895
TP53	RB1	7.9162852680507365
RNASEN	TP53	7.423463928086439
DGCR8	RNASEN	2.594051265154504
PIK3CA	VAV2	5.331108875338074
MYST1	TP53	7.704003924909641
TP53	APC	7.933415967575744
VAV2	RHOA	3.2393543323095373
APC	CTNNB1	3.732050807568877
DDX5	TP53	7.245455196497558
DDX5	RNASEN	2.7370892179053907
APC	MACF1	5.309176063911719
NRXN1	MACF1	5.290593639353393
CDKN1A	TP53	8.800896130623688
DDX5	DGCR8	2.5476205269238843
DGCR8	TP53	7.557438524302
TP53	VCAN	8.100361758540263
ERBB3	VAV2	4.0760738802997025
NRXN1	MYO16	4.2976207903086205
TP53	PMS2	7.264545305488548
TTN	VAV2	7.050683842210929
TP53	NLRC4	7.557438524302
DDX5	PIK3CA	5.521089561468962
FOXA1	TP53	7.763093286702599
