GeneA	GeneB	MEScore
HTT	TP53	7.637236393952544
PPP1CA	TGFBR1	2.23606797749979
CDC42	GRB2	0.0
ITGB2	LPA	2.53224755112299
SMAD4	CDKN1A	3.715695122800054
CRK	SOS1	0.0
PLXND1	MACF1	4.695560046340306
ABL1	GRB2	0.0
PPP1CA	YLPM1	2.342778860141484
ERBB2	STAT1	4.280915547082103
KDR	SRC	2.6955824957813173
CTNNB1	JUN	0.0
SMAD9	KDM6A	0.0
EGF	EGFR	2.767766952966369
JUN	MACF1	0.0
JUN	TP53	0.0
FYN	SP1	2.0
LRP1	SKIL	3.949489742783178
CHD3	GSK3B	2.6583123951777
CBL	ITGB3	2.224744871391589
NCK1	SOS1	0.0
RB1	BRD2	5.421096785339531
LRP1	PDGFRB	3.6485848000997536
HSP90AA1	SRC	3.118033988749895
CHD3	HTT	3.4610880329096947
CBL	PTPRJ	2.224744871391589
FYN	CDH1	2.802775637731995
PIK3CA	PIK3R1	5.2130748865881795
DNM2	CTNND1	2.904014485616485
GAB1	HRAS	2.9888626821368653
MTOR	GSK3B	2.414213562373095
PIK3CA	SRC	5.198213905936666
HIF1A	SMAD4	2.23606797749979
ERBB4	ANKS1A	2.8228756555322954
PPP1CA	PLCL2	2.53224755112299
CDH2	CTNNB1	3.232050807568877
ITGAM	LRP1	3.720791417188655
CRK	HGF	0.0
MED23	PUM2	2.8228756555322954
FYN	SOS1	2.802775637731995
RIF1	KIAA1377	3.276721325865507
CBL	PLCG1	2.3228756555322954
EGFR	SHC1	2.23606797749979
ESR1	SMAD3	2.0
ESR1	SP1	2.0
TSC22D1	SETDB1	2.6389584337646843
CTNNA1	EPHA2	3.0545256618536034
EGF	SOS1	3.499817760535246
NLK	CREBBP	4.3354160160315836
CACNA1A	LTBP1	3.9921490369466133
CRK	GAB1	0.0
KDR	NCK1	0.0
RANBP2	AKAP13	3.866252611759662
SMAD3	SKIL	2.5
FYN	CTNNA1	2.118033988749895
SMARCA4	CDKN1A	4.669269563007828
GRB2	SMAD3	0.0
NRXN1	PDZD2	4.150581316760657
KAT5	KIAA1377	2.732050807568877
CTNND1	DLG1	2.7370892179053907
DSCAML1	MAGI3	3.0865359572528477
GAB1	SRC	2.23606797749979
FOXA1	SP1	2.732050807568877
CDH2	PTPRC	3.232050807568877
CDC42	RIF1	2.6583123951777
TP53	EPHA2	7.942995990973393
SMAD3	SPTBN1	2.802775637731995
CTNNB1	RHOA	3.749962461512889
CTNNB1	DLG1	3.1462643699419726
CDKN1A	VIM	3.715695122800054
EGF	HRAS	3.6736043311189652
CTNNB1	EGF	3.5348264453008715
MYC	HSP90AA1	0.0
ATN1	VIM	2.699172818834085
CBL	PDGFRB	2.3228756555322954
MAPK14	STAT1	0.0
CTNND1	HGF	2.682482845102914
APC	NEB	4.786930235851553
ITGB3	PIK3CA	5.316247894686561
EGFR	HRAS	2.9888626821368653
ITGB3	PIK3R1	2.224744871391589
CTNNB1	VCAN	4.330127018922193
YWHAZ	WNK1	3.0
RHOA	SHC1	3.2393543323095373
ERBB3	SRC	4.0760738802997025
DNM2	ATF7IP	2.8639791562745396
GRB2	SP1	0.0
MET	SRC	2.9888626821368653
PPARG	SETDB1	2.8284271247461903
ABL1	ERBB4	2.7370892179053907
RBP2	BRD2	2.58113883008419
GAB1	PTPRB	2.850084796318772
TSC22D1	WNK1	3.224744871391589
ATM	BARD1	4.615775681089519
EGF	PLCG1	3.1256512932642897
HDAC1	SKIL	2.5
ABL1	FYN	2.414213562373095
CTNNA1	PIK3CA	5.198213905936666
SPTAN1	EXOC1	4.2455063647902325
CDH1	DLG1	3.2169892001050897
CBL	SOS1	2.802775637731995
BRCA1	MYC	0.0
TNIK	AXIN2	3.2169892001050897
PDGFRB	SHC1	2.4409096442821903
CTNNA1	PLEKHA7	2.618033988749895
ESR1	SOS1	2.802775637731995
ABL1	PLCG1	2.7370892179053907
PLCG1	CDC42	2.3228756555322954
CDH1	MET	3.6736043311189652
DISC1	EXOC1	0.0
MYC	SMAD4	0.0
GRB2	SOS1	0.0
ERBB2	TXK	4.118033988749895
CTNND1	PIK3R1	2.3228756555322954
PPARG	NCOR2	3.350705235476804
CBL	EGFR	2.118033988749895
ATXN1	WNK1	3.118033988749895
FYN	PIK3CA	4.668333000133266
EGFR	PLCG1	2.4409096442821903
ITGB3	KDR	2.956795678960466
CDC5L	YWHAZ	0.0
ERBB2	HSP90AA1	4.552271620875256
PLEKHA7	KIAA1543	2.8228756555322954
CHD3	HDAC1	2.6583123951777
MET	PTPRG	3.3708286933869704
