SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	TP53
2	1	0	100	TP53
3	1	0	100	TP53
4	1	0	100	TP53
5	2	0	100	TP53,PIK3CA
6	2	0	100	TP53,PIK3CA
7	2	1	75	TP53,PIK3CA,MACF1
8	2	1	75	TP53,PIK3CA,MACF1
9	2	1	75	TP53,PIK3CA,MACF1
10	4	1	83	TP53,PIK3CA,CTNNB1,APC,MACF1
11	4	1	83	TP53,PIK3CA,CTNNB1,APC,MACF1
12	4	1	83	TP53,PIK3CA,CTNNB1,APC,MACF1
13	4	1	83	TP53,PIK3CA,CTNNB1,APC,MACF1
14	4	1	83	TP53,PIK3CA,CTNNB1,APC,MACF1
15	4	1	83	TP53,PIK3CA,CTNNB1,APC,MACF1
16	4	2	71	TP53,PIK3CA,CTNNB1,APC,MACF1,NRXN1
17	5	2	75	TP53,PIK3CA,CTNNB1,APC,ERBB2,MACF1,NRXN1
18	5	2	75	TP53,PIK3CA,CTNNB1,APC,ERBB2,MACF1,NRXN1
19	5	2	75	TP53,PIK3CA,CTNNB1,APC,ERBB2,MACF1,NRXN1
20	6	2	77	TP53,PIK3CA,CTNNB1,APC,ERBB2,RB1,MACF1,NRXN1
21	6	2	77	TP53,PIK3CA,CTNNB1,APC,ERBB2,RB1,MACF1,NRXN1
22	6	2	77	TP53,PIK3CA,CTNNB1,APC,ERBB2,RB1,MACF1,NRXN1
23	6	3	70	TP53,PIK3CA,CTNNB1,APC,ERBB2,RB1,MACF1,NRXN1,ERBB3
24	6	6	53	TP53,PIK3CA,CTNNB1,APC,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,ERBB3,CDKN1A
25	6	6	53	TP53,PIK3CA,CTNNB1,APC,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,ERBB3,CDKN1A
26	6	6	53	TP53,PIK3CA,CTNNB1,APC,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,ERBB3,CDKN1A
27	7	7	53	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,ERBB3,CDKN1A,RHOA
28	7	7	53	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,ERBB3,CDKN1A,RHOA
29	7	8	50	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,CDKN1A,RHOA
30	7	8	50	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,CDKN1A,RHOA
31	7	9	47	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,CDKN1A,RHOA
32	7	9	47	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,CDKN1A,RHOA
33	7	10	44	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA
34	7	10	44	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA
35	7	10	44	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA
36	7	10	44	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA
37	7	10	44	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA
38	7	10	44	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA
39	7	11	42	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
40	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
41	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
42	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
43	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
44	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
45	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
46	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
47	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
48	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
49	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
50	7	12	40	TP53,PIK3CA,CTNNB1,APC,DDX5,ERBB2,RB1,MACF1,NRXN1,MYO16,VAV2,RNASEN,TTN,ERBB3,NLRC4,VCAN,CDKN1A,RHOA,SMAD9
