GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.6968300259752249	true	-1	true	Set(MYST1	any	TP53, HIPK2	any	NLK, HIPK2	any	TP53)
PIK3CA	0.6946080489336767	true	-1	true	Set(DDX5	any	PIK3CA, RNASEN	any	TP53, DGCR8	any	RNASEN, DDX5	any	RNASEN)
MACF1	0.6945862199890519	true	-1	true	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
NRXN1	0.6942332090123065	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
CTNNB1	0.6938776229855618	true	-1	true	Set(CTNNB1	any	VCAN, LAMA4	any	TP53, CTNNB1	any	PTPRC, TP53	any	VCAN)
APC	0.6935670126925845	true	-1	true	Set(APC	any	NEB, APC	any	TPR, MAP3K4	any	TPR)
MYO16	0.693126746301266	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
VAV2	0.6929039130102386	true	-1	false	Set(TTN	any	VAV2, PIK3R1	any	VAV2, TIAM1	any	VAV2)
DDX5	0.6926677890442318	true	-1	true	Set(DDX5	any	PIK3CA, RNASEN	any	TP53, DGCR8	any	RNASEN, DDX5	any	RNASEN)
ERBB2	0.6921905287869552	true	-1	true	Set(ERBB3	any	TNS3, ERBB2	any	TNS3, JAK3	any	PIK3CA, ERBB3	any	JAK3)
RNASEN	0.6920721922249798	true	-1	false	Set(TP53	any	TRRAP, RNASEN	any	TP53, EPHA2	any	TP53, SMARCA4	any	TP53)
RB1	0.6920357110752642	true	-1	true	Set(JUN	any	TP53, BRD2	any	RB1, JUN	any	RB1)
TTN	0.6920309035866455	true	-1	false	Set(TTN	any	VAV2, PIK3R1	any	VAV2, TIAM1	any	VAV2)
MYST1	0.691839199212931	true	-1	false	Set(MYST1	any	TP53, HIPK2	any	NLK, HIPK2	any	TP53)
TP53INP1	0.6916271063715578	true	-1	true	Set(TP53	any	TP53INP1, MAGEB18	any	TP53, MAGEB18	any	TNIP1)
SIPA1L1	0.6915974676274659	true	-1	false	Set(MACF1	any	NRXN1, NRXN1	any	PDZD2, NRXN1	any	SIPA1L1)
ERBB3	0.6913641021275038	true	-1	true	Set(ERBB3	any	TNS3, ERBB2	any	TNS3, JAK3	any	PIK3CA, ERBB3	any	JAK3)
NLRC4	0.6912381878730101	true	-1	false	Set(NLRC4	any	TP53, CASP1	any	NLRP1, CASP1	any	TP53)
VCAN	0.6908715329516467	true	-1	true	Set(CTNNB1	any	VCAN, LAMA4	any	TP53, CTNNB1	any	PTPRC, TP53	any	VCAN)
CDKN1A	0.6907463194049887	true	-1	false	Set(BTG2	any	CNOT7, CDKN1A	any	TP53, BTG2	any	TP53)
RHOA	0.6897416548258822	true	-1	true	Set(OBSCN	any	RHOA, PIK3CA	any	RHOA, PIK3CA	any	TYK2)
CX3CL1	0.6897112284948054	true	-1	false	Set(POU4F1	any	SMARCA4, CX3CL1	any	TP53, SMARCA4	any	TP53)
PMS2	0.6897085456282869	true	-1	true	Set(PRMT5	any	TP53, PMS2	any	TP53, TP53	any	TP53INP1)
PDZD2	0.6894224616181662	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
ATXN1	0.6893388142876448	true	-1	false	Set(FBXO11	any	TP53, PRDM1	any	TP53, ATXN1	any	PRDM1)
DGCR8	0.6889093436596279	true	-1	false	Set(DDX5	any	PIK3CA, RNASEN	any	TP53, DGCR8	any	RNASEN, DDX5	any	RNASEN)
DDB2	0.688472631407553	true	-1	true	Set(DDB2	any	TP53, STEAP3	any	TP53, ANXA7	any	TP53)
FOXA1	0.6873357390496673	true	-1	true	Set(COL18A1	any	FOXA1, COL18A1	any	TP53, COL18A1	any	ESR1)
EGFR	0.6869766994102918	true	-1	true	Set(TP53	any	TRRAP, MYST1	any	TP53, EGFR	any	TP53, EGFR	any	PTPRC)
NRCAM	0.6863797390482195	true	-1	false	Set(MACF1	any	NRCAM, MACF1	any	NRXN1, NRXN1	any	PDZD2)
BRD2	0.6860530386645867	true	-1	false	Set(JUN	any	TP53, BRD2	any	RB1, JUN	any	RB1)
SMAD9	0.6858366797892227	true	-1	false	Set(CNTNAP2	any	CTR9, MLL2	any	SMAD9, CTR9	any	SMAD9)
ATM	0.6857846143430882	true	-1	true	Set(BRCA1	any	TP53, PPM1J	any	TP53, ATM	any	TP53)
SETD7	0.6857722397666908	true	-1	false	Set(SETD7	any	TP53, PRKDC	any	TP53, SAT1	any	TP53)
CREBBP	0.6854832780413139	true	-1	true	Set(TP53	any	TP53I3, CREBBP	any	MKNK1, MKNK1	any	PRKDC, PRKDC	any	TP53)
CACNA1A	0.6854488578430104	true	-1	false	Set(TP53	any	USP7, CACNA1A	any	HECW1, HECW1	any	USP7)
PPM1J	0.6851863926559338	true	-1	false	Set(BRCA1	any	TP53, PPM1J	any	TP53, ATM	any	TP53)
PIK3R1	0.6850686997199313	true	-1	true	Set(TTN	any	VAV2, PIK3R1	any	VAV2, TIAM1	any	VAV2)
RBP2	0.6848703738307178	true	-1	false	Set(BRD2	any	RB1, BRD2	any	RBP2, RB1	any	TP53)
PPP1CA	0.6847609880208301	true	-1	false	Set(PPP1CA	any	TP53, DGCR8	any	TP53, DGCR8	any	RNASEN)
TNIK	0.6847079999241389	true	-1	false	Set(DYNC1H1	any	MAP1B, MACF1	any	TNIK, DYNC1H1	any	TNIK)
ATF7IP	0.6844101461062806	true	-1	false	Set(ATF7IP	any	HSPG2, CNTNAP2	any	MACF1, ATF7IP	any	MACF1)
SESN1	0.6842608893640553	true	-1	false	Set(TP53	any	WDR33, POU4F1	any	TP53, SESN1	any	TP53)
MET	0.6839884810099099	true	-1	true	Set(MET	any	TP53, MET	any	SOS1, SOS1	any	VEGFA)
DST	0.6839595572259881	true	-1	true	Set(ARID2	any	NFYC, DST	any	NFYC, NFYC	any	TP53)
HSPA12A	0.6838674629523983	true	-1	false	Set(MACF1	any	NRCAM, HSPA12A	any	NRCAM, MACF1	any	NRXN1)
