>PAK2,8.480528154780307
PAK2,PAK1,any
PAK2,MYC,any
PAK1,PIK3CA,any
>PAK2,8.03534623873127
PAK2,PAK1,any
PIK3CA,RPS6KB1,any
PAK1,PIK3CA,any
>PAK2,7.804926761763264
CCND1,PIK3CA,any
PAK2,PAK1,any
PAK1,CCND1,any
>PAK2,7.903154435375996
MAP3K1,PAK1,any
PAK1,PIK3CA,any
PAK2,MAP3K1,any
>PAK2,8.056442750454867
MYC,TP53,any
PAK2,MYC,any
PAK2,MAP3K1,any
>ARID3A,7.8687250480653965
UFD1L,PIK3CA,any
TP53,UFD1L,any
ARID3A,TP53,any
>ARID3A,7.469365620421459
TP53,PTEN,any
TP53,EPHA2,any
ARID3A,TP53,any
EPHA2,PIK3CA,any
>ARID3A,8.927504629203758
TP53,PTEN,any
PTEN,PIK3CA,any
TP53,ARID3A,any
>ARID3A,7.142003703363007
TP53,PTEN,any
PTEN,PIK3CA,any
ARID3A,NOTCH2NL,any
ARID3A,TP53,any
>ARID3A,7.860743217535852
DDX5,PIK3CA,any
TP53,DDX5,any
ARID3A,TP53,any
>PMS2,8.226001910704706
PMS2,TP53,any
UFD1L,PIK3CA,any
TP53,UFD1L,any
>PMS2,8.218023388459702
DDX5,PIK3CA,any
PMS2,TP53,any
TP53,DDX5,any
>PMS2,8.350775253397073
TP53,PTEN,any
TP53,MYC,any
PMS2,TP53,any
PTEN,PIK3CA,any
>PMS2,9.284809333366848
PTEN,TP53,any
TP53,PMS2,any
PTEN,PIK3CA,any
>PMS2,8.471036546571082
PRKCD,PIK3CA,any
PMS2,TP53,any
TP53,PRKCD,any
>STAT1,7.580836354848981
TP53,PTEN,any
PTEN,PIK3CA,any
CASP1,TP53,any
CASP1,STAT1,any
>STAT1,8.121207729806237
PRKCD,PIK3CA,any
STAT1,PRKCD,any
PRKCD,TP53,any
>STAT1,7.5367544695186846
MYC,TP53,any
ERBB2,MYC,any
STAT1,ERBB2,any
>STAT1,7.87616869266767
BCL2L1,TP53,any
BCL2L1,PIK3CA,any
STAT1,BCL2L1,any
>STAT1,7.637783282221781
MYC,TP53,any
IL2RA,PIK3CA,any
IL2RA,MYC,any
IL2RA,STAT1,any
>RNASEN,8.208793621996875
DDX5,PIK3CA,any
RNASEN,TP53,any
RNASEN,DDX5,any
>RNASEN,8.216781496372114
UFD1L,PIK3CA,any
RNASEN,TP53,any
TP53,UFD1L,any
>RNASEN,7.753554219139945
PIK3CA,CDH1,any
DDX5,PIK3CA,any
RNASEN,TP53,any
RNASEN,DDX5,any
>RNASEN,7.8248126997627026
PIK3CA,CCND1,any
DDX5,PIK3CA,any
DDX5,TP53,any
DDX5,RNASEN,any
>RNASEN,7.8964038334887245
DDX5,PIK3CA,any
DDX5,TP53,any
PIK3CA,RPS6KB1,any
RNASEN,DDX5,any
>CRK,8.935003882352225
PTEN,TP53,any
PTEN,PIK3CA,any
PIK3CA,CRK,any
>CRK,8.09432913213276
CDH1,PIK3CA,any
CDH1,ERBB2,any
ERBB2,CRK,any
>CRK,7.987726456066225
PIK3CA,CDH1,any
RPS6KB1,CRK,any
RPS6KB1,PIK3CA,any
>CRK,7.996456355894972
PIK3CA,GAB2,any
CRK,ERBB2,any
PIK3CA,CRK,any
