GeneA	GeneB	MEScore
RHOA	FYN	0.0
ERBB2	VAV2	6.069009428568352
CDH1	DLG1	6.57444578254611
CTNNB1	CDKN1B	0.0
JAK1	RHOA	2.188901059316734
ATM	TP53	10.56155281280883
CDC42	RAC1	0.0
APC	CDC42	0.0
CTNNB1	CCND1	0.0
CDC42	TP53	0.0
PDGFRB	AKT1	1.8251407699364424
IL2RA	STAT3	3.8643284505408246
CRK	PAK1	0.0
AKT1	MCL1	4.7382356553358225
JAK2	STAT3	2.885800941716264
RHOA	AKT1	1.5731321849709863
DAB1	RELN	3.091650066335189
FOXA1	CDKN1B	4.963331653185348
CDC42	CTNNB1	0.0
DAB1	PIK3R1	2.9208096264818897
GAB2	IL2RA	5.921096785339531
MAX	PDGFRB	1.9840593925343335
GAB2	PIK3CA	12.192936731081529
JAK1	AKT1	2.029982436718843
EPHA2	PIK3CA	10.281112089116753
DAB1	PIK3CA	9.644388247046287
AR	MDM2	3.674234614174767
GAB2	JAK1	5.259879592538201
CDH1	PIK3R1	6.7327581777238095
TP53	UFD1L	0.0
MAX	ITGB4	2.0907702751760278
EPHA2	RAC1	0.0
CTNNA1	CTNNB1	0.0
CDH1	CTNNB1	0.0
VAV2	RHOA	1.5731321849709863
AKT1	CDKN1B	2.8865562529568844
CDC42	RPS6KB1	0.0
EPHA2	PIK3R1	3.1256512932642897
JAK2	PIK3CA	9.94427190999916
STAT3	CCND1	7.220675407593914
CTNNA1	RAC1	0.0
PIK3R1	PRKCD	2.668801041516433
PAK1	PIK3CA	12.352965604812887
DGCR8	RNASEN	0.0
PIK3R1	RPS6KB1	6.246872846389789
NFYC	TP53	0.0
ESR1	AKT1	1.5731321849709863
CTNNA1	EGFR	2.8371173070873836
E2F1	CDKN1B	3.297483460520232
IL2RA	AKT1	2.7686595939953778
CTNNB1	DLG1	0.0
EPHA2	PAK1	5.2090892340188955
CDKN1A	RB1	0.0
PIK3R1	STAT3	3.605551275463989
CCND1	MYB	7.232050807568877
JAK1	STAT3	2.992511824357958
CTNNB1	EPHA2	0.0
AKT1	RPS6KB1	4.930011286667337
RPS6KB1	CRK	0.0
BRCA1	CDKN1B	4.329260560141604
CDC42	MAP3K1	0.0
RAC1	CDH1	0.0
PIK3R1	VAV2	2.5098824189185422
MAX	CDKN1B	3.045474875554776
FRS2	PAK1	6.259914814074806
GAB2	AKT1	4.6441107181924535
DLG1	PIK3R1	3.4610880329096947
PIK3CA	RAC1	0.0
ITIH1	PIK3CA	9.958236433584458
AR	PIK3CA	9.637392330932423
TP53	RB1	9.999867950325557
CTNNA1	RHOA	1.7677669529663689
IL2RA	RHOA	2.927578216593269
MAPK14	STAT3	0.0
DDX5	DGCR8	0.0
IL2RA	JAK1	3.3844284683411257
VAV2	PAK1	4.707106781186548
PAK1	STAT3	5.533985905294664
APC	CTNNB1	0.0
PAK1	CCND1	7.5373604199024715
E2F1	MCL1	5.0155946010522525
ESR1	PIK3CA	9.824261837368898
FYN	JAK1	0.0
MAPK14	TP53	0.0
MAX	ERBB2	6.057340420944722
CTNNA1	PAK1	4.834652370381325
APC	PAK1	5.58113883008419
PIK3CA	PIK3R1	10.602584305176858
PIK3R1	AKT1	2.5098824189185422
CRK	RAC1	0.0
CDKN1B	RB1	4.790589906567471
E2F1	RB1	3.8106163923171468
MAX	TP53	9.04400374531753
CRK	PIK3R1	0.0
PIK3CA	PRKCD	9.44427190999916
EGFR	ERBB2	6.985131333343329
RHOA	GAB2	4.628203566526079
EPHA2	RHOA	2.188901059316734
PAK1	PIK3R1	5.802775637731995
JAK1	PIK3CA	9.937281465859739
AKT1	MDM2	3.1565965239697253
MAPK14	AR	0.0
ATM	E2F1	3.618033988749895
JAK1	PIK3R1	3.1256512932642897
AR	PIK3R1	3.0275205091235833
APC	RAC1	0.0
PIK3CA	RELN	10.726059786519368
EGFR	JAK2	3.09557356477856
SP1	TP53	9.536685539481937
CDC42	CDH1	0.0
GAB2	PIK3R1	5.7397795747379
MAX	SP1	2.188901059316734
VAV2	RAC1	0.0
ESR1	PIK3R1	2.668801041516433
PDGFRB	PIK3R1	2.9208096264818897
MDM2	TP53	10.568902576395608
JAK1	MAP3K1	5.68177459907297
CTNNB1	EGFR	0.0
FYN	RELN	0.0
FYN	PIK3CA	0.0
MYC	SP1	6.752747823542217
ERBB2	JAK1	6.684778302914099
ESR1	FOXA1	3.6499075851994496
E2F1	MYB	2.850084796318772
CRK	RHOA	0.0
JAK2	PIK3R1	3.0275205091235833
DAB1	ERBB2	6.479936636131699
ESR1	MYC	6.522879653276819
PIK3CA	RHOA	9.658363676170627
PDGFRB	PTEN	4.106395752988369
FYN	PIK3R1	0.0
PIK3CA	RPS6KB1	12.89115144748395
PAK1	AKT1	4.707106781186548
MYC	CDKN1B	7.623610939600996
PIK3CA	BCL2L1	0.0
CRK	PIK3CA	0.0
IL2RA	MYC	7.333389933170897
DDX5	RNASEN	1.9318516525781364
MTOR	STAT3	3.605551275463989
CRK	ERBB2	0.0
CDH1	CTNNA1	6.086747487343951
RAC1	MAP3K1	0.0
E2F1	NGFR	0.0
CTNNA1	PIK3CA	9.644388247046287
TP53	APC	9.958217307690626
EGFR	PAK1	5.5181427670900955
PIK3R1	PTEN	4.991652010170202
E2F1	CDKN1A	0.0
ERBB2	STAT3	6.504422891877308
CTNNB1	MYC	0.0
CTNNA1	PIK3R1	2.9208096264818897
AGAP2	PIK3CA	9.651378691185707
MAX	MYC	6.522879653276819
DGCR8	TP53	0.0
PIK3R1	BCL2L1	0.0
CCND1	CDKN1B	7.538778387860491
FOXA1	TP53	11.014693182963201
CTNNA1	EPHA2	2.4409096442821903
RAC1	CTNNB1	0.0
EGFR	ITGB4	3.09557356477856
PIK3CA	VAV2	9.451256894984079
NFYC	SP1	0.0
CTNNB1	RHOA	0.0
PIK3CA	CCND1	13.139603866679437
PIK3CA	MTOR	10.602584305176858
FRS2	PIK3R1	4.200691399388354
FYN	CDH1	0.0
NGFR	UFD1L	0.0
BRCA1	TP53	10.232050807568877
PIK3CA	PTEN	11.81069938475125
PAK1	RAC1	0.0
MYC	NFYC	0.0
MYB	MYC	7.388905057061258
CRK	SP1	0.0
JAK1	MAPK14	0.0
FOXA1	SP1	4.106757836947306
EGFR	MTOR	3.569168114656261
TP53	EGFR	9.48528137423857
PDGFRB	PIK3CA	9.644388247046287
CDH1	PIK3CA	12.193333294122823
MYC	TP53	12.038633162381373
ATM	BRCA1	4.73606797749979
AKT1	MYC	6.3639610306789285
JAK1	BCL2L1	0.0
PAK1	MAP3K1	8.2671309559281
AR	BRCA1	3.4608128488913787
PIK3CA	STAT3	10.602584305176858
AGAP2	PIK3R1	2.802775637731995
PRKCD	STAT3	2.668801041516433
BRCA1	FOXA1	4.940789726067152
ITGB4	AKT1	1.9318516525781364
CDC42	PAK1	0.0
MYC	PDGFRB	6.7748882382422755
NGFR	RAC1	0.0
BRCA1	MAX	3.102093381284228
ERBB2	JAK2	6.468267628508069
PRKCD	TP53	9.258422469430084
NEDD9	PIK3CA	10.916277250063503
CDH1	ITGB4	6.323764384984374
CDH1	EPHA2	6.1924797712960045
CCND1	CDKN1A	0.0
DAB1	FYN	0.0
TP53	PTEN	11.148349666211134
SP1	APC	2.904014485616485
PIK3R1	RAC1	0.0
MAX	NFYC	0.0
JAK2	VAV2	1.9318516525781364
IL2RA	PIK3CA	10.733061187477869
DAB1	AKT1	1.8251407699364424
MTOR	RPS6KB1	6.074192828341624
ERBB2	PIK3R1	6.907957768249819
CCND1	CDKN1A	0.0
PIK3CA	AKT1	9.451256894984079
EGFR	STAT3	3.6736043311189652
APC	DLG1	3.23945122526189
RPS6KB1	E2F1	5.430011286667337
CTNNA1	DLG1	2.776346383927595
PIK3R1	RELN	3.9240959812916367
CDC42	MTOR	0.0
FYN	SP1	0.0
AR	CTNNB1	0.0
CDKN1A	NGFR	0.0
JAK2	MAP3K1	5.5836438149322625
MAX	CDKN1A	0.0
NGFR	PIK3CA	0.0
DLG1	PIK3CA	10.351495028232835
EGFR	PIK3R1	3.6736043311189652
AR	FOXA1	4.0086270528066
TP53	EPHA2	9.536685539481937
CDH1	RHOA	5.793854268530499
RB1	MYC	7.988085705405834
AR	CCND1	6.724744871391589
PIK3R1	MTOR	3.605551275463989
AGAP2	CCND1	6.184332356238209
ITGB4	PIK3CA	10.069290883733974
PDGFRB	PRKCD	1.9840593925343335
PIK3CA	UFD1L	0.0
ESR1	SP1	2.188901059316734
SP1	CDKN1A	0.0
JAK1	MYC	6.870539766709696
NFYC	PDGFRB	0.0
RAC1	MYC	0.0
AKT1	MTOR	2.5098824189185422
NGFR	TP53	0.0
MCL1	TP53	11.393027809394143
CDH1	ERBB2	10.053937764610565
PIK3R1	RHOA	2.668801041516433
CDKN1B	RHOA	3.045474875554776
MYC	ITGB4	6.634713834792322
PAK1	RHOA	4.691451143813855
BRCA1	PIK3R1	4.038843615231785
PIK3R1	CCND1	7.220675407593914
RELN	AKT1	2.82842712474619
NGFR	PIK3R1	0.0
FYN	CTNNA1	0.0
BCL2L1	TP53	0.0
IL2RA	PIK3R1	3.8643284505408246
BRCA1	MYC	7.537830798705729
ITGB4	PIK3R1	3.0275205091235833
CDC42	VAV2	0.0
EGFR	RAC1	0.0
DDX5	PIK3CA	9.451256894984079
APC	CTNNA1	2.699172818834085
CCND1	RB1	8.134375911089627
MAP3K1	MAPK14	0.0
STAT3	MYC	7.204749769685186
CDH1	EGFR	6.969848206979755
RNASEN	TP53	9.54400374531753
ATM	MDM2	4.8727894958092755
FRS2	PIK3CA	10.838738580486137
CDC42	CTNNA1	0.0
DDX5	TP53	9.051315688243536
MYC	CDKN1A	0.0
FYN	GAB2	0.0
CRK	EGFR	0.0
MYC	ERBB2	10.192589809543446
SP1	E2F1	2.4409096442821903
AKT1	CDKN1A	0.0
RHOA	RAC1	0.0
JAK1	JAK2	2.5476205269238843
CDKN1A	TP53	0.0
NGFR	RHOA	0.0
