GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
PIK3CA	0.5	TRUE	-1	TRUE	Set()	0.0
TP53	0.5	TRUE	-1	TRUE	Set()	0.0
CCND1	0.5	TRUE	-1	TRUE	Set()	0.0
MYC	0.5	TRUE	-1	TRUE	Set()	0.0
PTEN	0.5	TRUE	-1	TRUE	Set()	0.0
PAK1	0.5	TRUE	-1	TRUE	Set()	0.0
PIK3R1	0.5	TRUE	-1	TRUE	Set()	0.0
CDH1	0.5	TRUE	-1	TRUE	Set()	0.0
DDX5	0.5	TRUE	-1	TRUE	Set()	0.0
ERBB2	0.5	TRUE	-1	TRUE	Set()	0.0
RPS6KB1	0.5	TRUE	-1	FALSE	Set()	0.0
UFD1L	0.5	TRUE	-1	FALSE	Set()	0.0
RB1	0.5	TRUE	-1	TRUE	Set()	0.0
APC	0.5	TRUE	-1	TRUE	Set()	0.0
STAT3	0.5	TRUE	-1	TRUE	Set()	0.0
GAB2	0.5	TRUE	-1	FALSE	Set()	0.0
EPHA2	0.5	TRUE	-1	FALSE	Set()	0.0
FOXA1	0.5	TRUE	-1	TRUE	Set()	0.0
EGFR	0.5	TRUE	-1	TRUE	Set()	0.0
VAV2	0.5	TRUE	-1	FALSE	Set()	0.0
MAP3K1	0.5	TRUE	-1	TRUE	Set()	0.0
CRK	0.5	TRUE	-1	FALSE	Set()	0.0
BRCA1	0.5	TRUE	-1	TRUE	Set()	0.0
AKT1	0.5	TRUE	-1	TRUE	Set()	0.0
NGFR	0.5	TRUE	-1	FALSE	Set()	0.0
MDM2	0.5	TRUE	-1	TRUE	Set()	0.0
RHOA	0.5	TRUE	-1	TRUE	Set()	0.0
MCL1	0.5	TRUE	-1	FALSE	Set()	0.0
MYB	0.5	TRUE	-1	TRUE	Set()	0.0
ATM	0.5	TRUE	-1	TRUE	Set()	0.0
CDC42	0.5	TRUE	-1	TRUE	Set()	0.0
BCL2L1	0.5	TRUE	-1	TRUE	Set()	0.0
MTOR	0.5	TRUE	-1	TRUE	Set()	0.0
AR	0.5	TRUE	-1	TRUE	Set()	0.0
PRKCD	0.5	TRUE	-1	FALSE	Set()	0.0
PDGFRB	0.5	TRUE	-1	TRUE	Set()	0.0
MAX	0.5	TRUE	-1	TRUE	Set()	0.0
IL2RA	0.5	TRUE	-1	FALSE	Set()	0.0
RAC1	0.5	TRUE	-1	TRUE	Set()	0.0
RNASEN	0.5	TRUE	-1	FALSE	Set()	0.0
NEDD9	0.5	TRUE	-1	FALSE	Set()	0.0
JAK1	0.5	TRUE	-1	TRUE	Set()	0.0
CTNNB1	0.5	TRUE	-1	TRUE	Set()	0.0
AGAP2	0.5	TRUE	-1	FALSE	Set()	0.0
ESR1	0.5	TRUE	-1	TRUE	Set()	0.0
DGCR8	0.5	TRUE	-1	FALSE	Set()	0.0
ITGB4	0.5	TRUE	-1	FALSE	Set()	0.0
SP1	0.5	TRUE	-1	TRUE	Set()	0.0
ITIH1	0.5	TRUE	-1	FALSE	Set()	0.0
CDKN1B	0.5	TRUE	-1	TRUE	Set()	0.0
RELN	0.5	TRUE	-1	TRUE	Set()	0.0
CTNNA1	0.5	TRUE	-1	FALSE	Set()	0.0
FYN	0.5	TRUE	-1	TRUE	Set()	0.0
FRS2	0.5	TRUE	-1	FALSE	Set()	0.0
JAK2	0.5	TRUE	-1	TRUE	Set()	0.0
NFYC	0.5	TRUE	-1	FALSE	Set()	0.0
E2F1	0.5	TRUE	-1	TRUE	Set()	0.0
CDKN1A	0.5	TRUE	-1	TRUE	Set()	0.0
DLG1	0.5	TRUE	-1	FALSE	Set()	0.0
MAPK14	0.5	TRUE	-1	TRUE	Set()	0.0
DAB1	0.5	TRUE	-1	FALSE	Set()	0.0
