GeneA	GeneB	MEScore
GRB2	REL	0.0
KAT5	CCDC106	0.0
SIRT1	CDKN1A	0.0
ITGB3	PAK1	5.0
LCK	BCL2L1	0.0
ANGPT1	GRB7	2.224744871391589
IRS1	IRS2	2.598076211353316
FLT1	PGF	1.4142135623730951
BMX	STAT3	2.9208096264818897
HDAC1	SMAD4	2.118033988749895
HDAC1	KAT5	0.0
PAFAH1B3	ZBTB16	0.0
E2F1	CDK4	0.0
NGF	ZNF274	2.8717082451262845
RHOA	FYN	0.0
PTPRB	TEK	2.5243377989621383
CTNND1	FMN1	1.4142135623730951
E2F1	WASF1	3.409321836227815
IKBKB	TSC2	4.937003937005906
IL12B	JAK2	0.0
MAX	ITGA6	1.8660254037844386
CBL	HGF	2.0907702751760278
GSK3B	TP53	0.0
EDNRA	AKT1	1.4142135623730951
LAMA4	RIF1	2.2802389661575337
CAV1	TGFBR1	1.5731321849709863
TAF9	BBC3	1.8251407699364424
FNTA	VAV2	3.9474771303904777
SOS1	SGMS1	1.7071067811865475
EGF	CAV1	1.5731321849709863
CDK4	TK1	0.0
EWSR1	TRAF2	2.23606797749979
SDC2	PIK3R1	2.5098824189185422
IL12RB1	PIK3CA	9.817282298768518
ERBB2	VAV2	6.069009428568352
CRKL	PAK1	0.0
MDM2	YY1	0.0
CBL	EGF	2.0907702751760278
CTNNB1	PTPN12	0.0
NGFR	TK1	0.0
PCDHA4	IGSF21	1.9840593925343335
VEGFA	SHC1	0.0
CARM1	GADD45A	0.0
CDC42	EPS8	0.0
GOLGA2	PIN1	0.0
AXIN1	MAX	1.9840593925343335
ERBB3	JAK2	3.1612365444952975
ESR2	GSN	0.0
AKT1	ZHX1	1.8251407699364424
ESR1	COL1A2	2.188901059316734
IL12RB1	STAT3	2.6337923567508073
EGF	PTPN6	0.0
CDKN1A	TLE1	0.0
IL12RB1	TYK2	2.118033988749895
MAX	UBTF	2.188901059316734
TEK	CDKN1A	0.0
GSK3B	ZHX1	0.0
IRS2	STAT6	2.956795678960466
ITGA4	TLN1	2.668801041516433
ITGB1	ITGB4	2.0907702751760278
EDN1	MAPK8	2.643598454290256
SERPINB9	IGSF21	2.776346383927595
CCNE1	RB1	0.0
HDAC2	CDKN1A	0.0
LRDD	RIPK1	0.0
EGFR	SYK	2.5779354745735183
MAX	DKK1	0.0
ATR	SRC	0.0
BCAR1	PIK3R1	2.802775637731995
TRAF2	CASP8	2.618033988749895
MAPK8	RELN	2.82842712474619
APC	AXIN1	2.699172818834085
IL2RB	LCK	0.0
RAB4A	APBB3	0.0
VAV3	CDC42	0.0
ITGB3	VAV3	2.224744871391589
ERBB2	PRKACA	6.069009428568352
PTN	PIAS4	0.0
ITGA4	ITGB7	1.8660254037844386
ERBB2	HSP90AA1	6.069009428568352
GRB2	GIT1	0.0
EDNRA	COL1A2	2.029982436718843
GAPDH	HTT	0.0
APC	MYO6	3.23945122526189
SMAD2	SMAD4	2.0
ZHX1	PIAS4	1.9840593925343335
PTPRJ	TEK	1.9840593925343335
CRK	MAP2K4	0.0
UBTF	SMURF1	2.188901059316734
CDH1	EGF	5.965044917377223
CCND1	MCM10	7.31371395765628
AKT1	TRAF6	1.7071067811865475
CDH2	RHOA	0.0
AKT1	TERT	0.0
CDH2	PTPRJ	0.0
