SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	PIK3CA
2	2	0	100	PIK3CA,TP53
3	3	0	100	PIK3CA,TP53,CCND1
5	5	0	100	PIK3CA,TP53,CCND1,PTEN,MYC
7	7	0	100	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1
8	8	0	100	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1
10	10	0	100	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2
11	10	1	90	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,RPS6KB1
12	10	2	83	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,RPS6KB1,UFD1L
13	11	2	84	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,RB1,RPS6KB1,UFD1L
15	13	2	86	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,APC,RPS6KB1,UFD1L
16	13	3	81	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,APC,RPS6KB1,UFD1L,GAB2
17	13	4	76	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,APC,RPS6KB1,UFD1L,EPHA2,GAB2
19	15	4	78	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,FOXA1,APC,EGFR,RPS6KB1,UFD1L,EPHA2,GAB2
20	15	5	75	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,FOXA1,APC,EGFR,RPS6KB1,UFD1L,EPHA2,GAB2,VAV2
21	16	5	76	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,FOXA1,APC,EGFR,MAP3K1,RPS6KB1,UFD1L,EPHA2,GAB2,VAV2
23	17	6	73	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,FOXA1,APC,EGFR,BRCA1,MAP3K1,RPS6KB1,UFD1L,EPHA2,GAB2,VAV2,CRK
24	18	6	75	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,FOXA1,APC,AKT1,EGFR,BRCA1,MAP3K1,RPS6KB1,UFD1L,EPHA2,GAB2,VAV2,CRK
25	18	7	72	PIK3CA,TP53,CCND1,PTEN,MYC,PAK1,PIK3R1,CDH1,DDX5,ERBB2,STAT3,RB1,FOXA1,APC,AKT1,EGFR,BRCA1,MAP3K1,RPS6KB1,UFD1L,EPHA2,GAB2,VAV2,CRK,NGFR
