>SP1,6.89413813612619
SP1,APC,any
SP1,MYC,any
PDX1,SP1,any
>SP1,7.011662915321366
SP1,APC,any
SP1,SRC,any
PDX1,SP1,any
>SP1,6.84155582441238
SMAD4,ID1,any
SP1,TP53,any
SP1,SMAD4,any
>SP1,6.920584067331712
BCL2L1,TP53,any
TP53,SP1,any
BCL2L1,PIK3CA,any
>SP1,6.862095671195291
SP1,APC,any
SP1,SMAD4,any
PDX1,SP1,any
>CNOT7,6.5243355020921525
TP53,APC,any
BTG2,CNOT7,any
BTG2,TP53,any
>CNOT7,6.510173555040081
BTG2,CNOT7,any
BTG2,TP53,any
TP53,ATM,any
>CNOT7,6.541305192222546
TP53,MYC,any
BTG2,CNOT7,any
BTG2,TP53,any
>CNOT7,6.811366646322407
TP53,BCL2L1,any
BTG2,CNOT7,any
BTG2,TP53,any
>CNOT7,6.748821371681112
TP53,PTEN,any
CNOT7,BTG2,any
BTG2,TP53,any
>DKK1,6.742852664744938
TP53,BCL2L1,any
TP53,MYC,any
DKK1,TP53,any
>DKK1,6.7933975662089665
TP53,BCL2L1,any
DKK1,TP53,any
BCL2L1,PIK3CA,any
>DKK1,6.74833324522518
DKK1,TP53,any
MYC,DKK1,any
RBL1,MYC,any
>DKK1,6.705353445312003
TP53,PTEN,any
DKK1,TP53,any
DKK1,MYC,any
>DKK1,6.736546185130388
DKK1,TP53,any
MYC,SMAD4,any
DKK1,MYC,any
>CDH1,6.469987893456501
EGFR,TP53,any
EGFR,SRC,any
EGFR,CDH1,any
>CDH1,6.984751078854602
BCL2L1,TP53,any
PIK3CA,CDH1,any
BCL2L1,PIK3CA,any
>CDH1,6.401885987834743
CDH1,PIK3CA,any
ERBB2,CDH1,any
ERBB2,PLCG1,any
>CDH1,6.433763587938587
CDH1,PIK3CA,any
CDH1,ERBB2,any
PIK3CA,BCL2L1,any
>CDH1,6.53469350877131
ATR,TP53,any
ATR,SRC,any
SRC,CDH1,any
>SMAD2,6.486678680165408
SMAD4,SMAD2,any
RBL1,SMAD4,any
RBL1,MYC,any
>SMAD2,6.509443929488688
SMAD4,SMAD2,any
NRAS,SMAD4,any
SMAD2,TGM2,any
>SMAD2,6.407396698994473
SMAD4,SMAD2,any
ID1,SMAD4,any
SMAD4,SMAD3,any
>SMAD2,6.518370282572329
SMAD4,SMAD2,any
ID1,SMAD4,any
SMAD4,MYC,any
>SMAD2,6.53330410090959
MYC,TP53,any
MYC,SMAD3,any
SMAD3,SMAD2,any
>LAMA3,6.582997821330678
LAMA3,SDC4,any
LAMA3,APC,any
APC,CTNNB1,any
>LAMA3,6.572596181034745
SDC4,LAMA3,any
THBS1,SDC4,any
LAMA3,APC,any
>LAMA3,6.593124465111473
LAMA3,SDC4,any
APC,CTNNA1,any
APC,LAMA3,any
>LAMA3,6.70325736573383
LAMA3,SDC4,any
LAMA3,APC,any
APC,MACF1,any
>LAMA3,6.7893265387951764
LAMA3,SDC4,any
APC,LAMA3,any
SYNE1,APC,any
>GRB2,6.524886748977599
SP1,APC,any
SP1,GRB2,any
PDX1,SP1,any
>GRB2,6.465465873379031
POLR1D,GRB2,any
MYH11,APC,any
GRB2,MYH11,any
>GRB2,6.494579185354318
SP1,APC,any
GRB2,SP1,any
POLR1D,GRB2,any
>GRB2,6.381511350894666
POLR1D,GRB2,any
GRB2,SPTBN1,any
SPTBN1,APC,any
>GRB2,6.416464692658111
SP1,APC,any
GRB2,SP1,any
TPX2,GRB2,any
>SMC3,6.5895113626514625
TP53,BCL2L1,any
APC,TP53,any
SMC3,APC,any
>SMC3,6.3769957563351465
SETDB1,ASAH1,any
SETDB1,APC,any
APC,SMC3,any
>SMC3,6.463141662253377
APC,TP53,any
SMC3,APC,any
