GeneA	GeneB	MEScore
GSK3B	TP53	8.970537173048708
ATR	SRC	5.700169592637544
SMAD2	SMAD4	7.658685603133726
GRB2	SP1	2.0907702751760278
ATM	TP53	10.559347206736797
CDC42	RAC1	0.0
APC	CDC42	0.0
RBL1	SMAD4	9.211388354974043
CDC42	TP53	0.0
GRB2	PIK3R1	4.097026194660604
CDC42	CTNNB1	0.0
LAMA3	SDC4	5.595744799824805
TP53	MLH1	9.493662575662203
TP53	TNFRSF10A	10.523609105909655
APC	GSK3B	9.48024261292927
CTNNA1	CTNNB1	5.597513695043473
SDC4	PAK1	4.448764167960489
GOLGA2	UBE2I	0.0
CTNNA1	RAC1	2.2802389661575337
PAK1	PIK3CA	6.91287766919033
PIK3R1	SRC	6.018435701872601
TCF7L2	MYC	6.10714638689719
CTNNA1	EGFR	5.338470256584548
UBE2I	SETDB1	2.3654191763642474
TP53	UBE2I	8.5
PIK3CA	RAC1	7.119984450376878
TP53	RB1	9.705050864893241
GSK3B	MYC	4.601594917683295
CDC42	GRB2	0.0
APC	CTNNB1	10.426446383548857
GRB2	SMAD3	3.5929077229028112
CDC42	SYNE1	0.0
SMAD3	SMAD4	8.074362533046134
CTNNA1	PAK1	2.121320343559643
APC	PAK1	9.513148795220223
EGFR	GRB2	5.0
PIK3CA	PIK3R1	7.775894676766123
SMAD2	SMAD3	4.252265380515173
EGFR	ERBB2	6.820600785375977
EGFR	PLCG1	7.205712086881411
PAK1	PIK3R1	3.5793881044555618
APC	GOLGA2	0.0
CTNNA1	SRC	4.878315177510849
APC	RAC1	10.013148795220223
SP1	TP53	9.214456544773325
ATR	TP53	9.840363335549455
APC	LAMA3	10.14771057543615
CTNNB1	EGFR	7.064634984398519
HNF4A	SMAD3	6.240927464808953
ERBB2	GRB2	4.46511522059552
MYC	SP1	3.966707983787872
EGFR	SRC	7.011586295725211
SMAD4	SP1	6.437171043518958
PIK3CA	BCL2L1	9.317188958154452
SMAD3	SP1	3.3660254037844384
TP53	TNFRSF10D	10.472966887804676
CTNNB1	SRC	7.333046735140155
CTNNA1	PIK3CA	7.383572667401852
TP53	APC	10.730659514763959
EGFR	PAK1	4.5155946010522525
PIK3R1	PTEN	7.906595325183112
CTNNB1	MYC	7.077376607575022
CTNNA1	PIK3R1	4.286494885642109
PIK3R1	BCL2L1	6.003467037120348
RAC1	CTNNB1	5.049325536454816
SDC4	RAC1	4.60768279055838
PLCG1	CDC42	0.0
HNF4A	UBE2I	4.514993334118502
PIK3CA	PTEN	9.28723757676408
PAK1	RAC1	1.5731321849709863
SMAD2	PAK1	2.643598454290256
TP53	EGFR	9.926814042367955
MYC	TP53	10.51611547203687
MYC	SMAD4	8.44445806343619
APC	SETDB1	10.174154895567291
CDC42	PAK1	0.0
CTNNB1	GSK3B	5.506175788202674
AP2B1	APC	0.0
MYC	SMAD3	5.709090945384503
TP53	PTEN	10.998727018914103
SP1	APC	10.392304845413264
PIK3R1	RAC1	3.5575453439343923
ERBB2	PIK3R1	5.920593302865294
SYNE1	DISC1	6.295831523312719
HNF4A	SMAD4	9.028288800599043
SMAD4	UBE2I	5.937171043518958
APC	MACF1	10.710367333291588
ERBB2	PLCG1	6.5945488660370835
MYC	RBL1	6.724916106437835
TP53	TNFRSF10C	10.480447092209886
EGFR	PIK3R1	6.131860721412224
PIK3CA	SRC	8.98361078592423
RB1	MYC	7.224681397819488
CTNNB1	TCF7L2	6.768856936682251
SMAD4	PAK1	6.447688626685159
RAC1	MYC	4.1447446659354386
APC	SYNE1	10.87082869338697
RBL1	SMAD3	6.205802314588314
AP2B1	SMAD4	0.0
PLCG1	SRC	4.286494885642109
BCL2L1	TP53	10.776472678623424
BMP1	TP53	10.472966887804676
EGFR	RAC1	4.897154277933713
APC	CTNNA1	10.5
RB1	RBL1	7.623105625617661
TP53	BTG2	9.5
CDC42	CTNNA1	0.0
MYC	ERBB2	6.16227766016838
AP2B1	MLH1	0.0
MACF1	DISC1	4.145751311064591
SP1	SRC	4.330127018922193
