GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.5	true	-1	true	Set()	0.0
APC	0.5	true	-1	true	Set()	0.0
SMAD4	0.5	true	-1	true	Set()	0.0
MYC	0.5	true	-1	true	Set()	0.0
PIK3CA	0.5	true	-1	true	Set()	0.0
CTNNB1	0.5	true	-1	true	Set()	0.0
BCL2L1	0.5	true	-1	false	Set()	0.0
SRC	0.5	true	-1	false	Set()	0.0
PTEN	0.5	true	-1	true	Set()	0.0
SMAD3	0.5	true	-1	true	Set()	0.0
EGFR	0.5	true	-1	true	Set()	0.0
RB1	0.5	true	-1	true	Set()	0.0
MACF1	0.5	true	-1	true	Set()	0.0
ATM	0.5	true	-1	true	Set()	0.0
RBL1	0.5	true	-1	false	Set()	0.0
PIK3R1	0.5	true	-1	true	Set()	0.0
BMP1	0.5	true	-1	false	Set()	0.0
CDC42	0.5	true	-1	true	Set()	0.0
SDC4	0.5	true	-1	true	Set()	0.0
SYNE1	0.5	true	-1	true	Set()	0.0
GSK3B	0.5	true	-1	false	Set()	0.0
RAC1	0.5	true	-1	true	Set()	0.0
TNFRSF10A	0.5	true	-1	true	Set()	0.0
BTG2	0.5	true	-1	true	Set()	0.0
CTNNA1	0.5	true	-1	false	Set()	0.0
ERBB2	0.5	true	-1	true	Set()	0.0
PLCG1	0.5	true	-1	true	Set()	0.0
SP1	0.5	true	-1	false	Set()	0.0
AP2B1	0.5	true	-1	false	Set()	0.0
SMAD2	0.5	true	-1	true	Set()	0.0
GOLGA2	0.5	true	-1	false	Set()	0.0
SETDB1	0.5	true	-1	false	Set()	0.0
LAMA3	0.5	true	-1	false	Set()	0.0
TNFRSF10C	0.5	true	-1	false	Set()	0.0
UBE2I	0.5	true	-1	false	Set()	0.0
GRB2	0.5	true	-1	true	Set()	0.0
PAK1	0.5	true	-1	false	Set()	0.0
TNFRSF10D	0.5	true	-1	false	Set()	0.0
TCF7L2	0.5	true	-1	true	Set()	0.0
DISC1	0.5	true	-1	false	Set()	0.0
ATR	0.5	true	-1	true	Set()	0.0
HNF4A	0.5	true	-1	false	Set()	0.0
MLH1	0.5	true	-1	true	Set()	0.0
