GeneA	GeneB	MEScore
GSK3B	TP53	8.970537173048708
APC	LRP6	10.15432859503214
AXIN1	MAX	0.0
GSK3B	ZHX1	2.4409096442821903
TNFRSF10D	TNFSF10	4.028303063952818
MAX	DKK1	0.0
ATR	SRC	5.700169592637544
APC	AXIN1	10.006576670915772
SMAD2	SMAD4	7.658685603133726
TNFSF10	TRAF2	1.8660254037844386
CTNNB1	FBXW11	5.049325536454816
GRB2	SP1	2.0907702751760278
CTBP1	CTNNB1	4.890406913856926
ATM	TP53	10.559347206736797
ATM	BARD1	6.038065620178739
NUP153	NUP214	2.029982436718843
CDC42	RAC1	0.0
TP53	VDR	8.5
APC	CDC42	0.0
GSK3B	MAPK14	2.188901059316734
RBL1	SMAD4	9.211388354974043
PPP2R5D	CTNNB1	5.271345920208932
CDC42	TP53	0.0
SMC3	DISC1	2.8228756555322954
NUP214	SMAD4	7.172433498076748
USP7	TP53	9.170262221091926
FAM123B	AXIN1	4.201562118716424
GRB2	PIK3R1	4.097026194660604
APC	NUP214	9.986832980505138
TFDP1	MYC	4.1447446659354386
TP53	PPM1J	9.618033988749895
CDC42	CTNNB1	0.0
LAMA3	SDC4	5.595744799824805
TP53	MLH1	9.493662575662203
TP53	TNFRSF10A	10.523609105909655
CDH1	PIK3R1	6.140695507841528
LAMA4	TP53	9.125835901427916
DKK1	LRP6	2.9888626821368653
NUP153	SMAD2	2.643598454290256
CTNNB1	TRRAP	5.905118639700595
APC	GSK3B	9.48024261292927
TNFRSF10B	CASP10	4.16227766016838
BMP1	YLPM1	4.3870225315599685
CTNNA1	CTNNB1	5.597513695043473
CDH1	CTNNB1	7.106686956669751
RB1	TFDP1	4.964453372668149
SDC4	PAK1	4.448764167960489
AXIN1	SMAD3	3.5
FOXA1	JUN	0.0
APC	CTBP1	10.233386222815373
PPP2R5D	APC	10.20052555421031
GOLGA2	UBE2I	0.0
AXIN2	GSK3B	3.558943633032085
CTNNA1	RAC1	2.2802389661575337
