SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	TP53
2	2	0	100	TP53,APC
3	3	0	100	TP53,APC,SMAD4
4	4	0	100	TP53,APC,MYC,SMAD4
6	6	0	100	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1
7	6	1	85	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,BCL2L1
8	6	2	75	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,BCL2L1,SRC
9	7	2	77	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,BCL2L1,SRC
10	8	2	80	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,BCL2L1,SRC
11	9	2	81	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,EGFR,BCL2L1,SRC
12	10	2	83	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,RB1,EGFR,BCL2L1,SRC
14	12	2	85	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,BCL2L1,SRC
15	12	3	80	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,BCL2L1,SRC,RBL1
16	13	3	81	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,PIK3R1,BCL2L1,SRC,RBL1
17	13	4	76	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,PIK3R1,BCL2L1,SRC,RBL1,BMP1
18	14	4	77	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,PIK3R1,CDC42,BCL2L1,SRC,RBL1,BMP1
19	15	4	78	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,PIK3R1,SDC4,CDC42,BCL2L1,SRC,RBL1,BMP1
20	16	4	80	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,PIK3R1,SDC4,SYNE1,CDC42,BCL2L1,SRC,RBL1,BMP1
22	17	5	77	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,PIK3R1,SDC4,SYNE1,CDC42,BCL2L1,SRC,RBL1,BMP1,GSK3B
23	18	5	78	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,SYNE1,CDC42,BCL2L1,SRC,RBL1,BMP1,GSK3B
24	19	5	79	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,BCL2L1,SRC,RBL1,BMP1,GSK3B
25	19	6	76	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,BCL2L1,SRC,RBL1,BMP1,CTNNA1,GSK3B
26	20	6	76	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,ERBB2,BCL2L1,SRC,RBL1,BMP1,CTNNA1,GSK3B
27	21	6	77	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,ERBB2,PLCG1,BCL2L1,SRC,RBL1,BMP1,CTNNA1,GSK3B
29	21	8	72	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,ERBB2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,CTNNA1,GSK3B,AP2B1
30	22	8	73	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,ERBB2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,CTNNA1,GSK3B,AP2B1
31	22	9	70	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,ERBB2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,CTNNA1,GSK3B,AP2B1,GOLGA2
32	22	10	68	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,ERBB2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,CTNNA1,GSK3B,SETDB1,AP2B1,GOLGA2
34	22	12	64	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,CDC42,ERBB2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,LAMA3,CTNNA1,TNFRSF10C,GSK3B,SETDB1,AP2B1,GOLGA2
36	23	13	63	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,GRB2,CDC42,ERBB2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,LAMA3,CTNNA1,TNFRSF10C,GSK3B,SETDB1,AP2B1,UBE2I,GOLGA2
38	23	15	60	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,GRB2,CDC42,ERBB2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,LAMA3,CTNNA1,TNFRSF10D,TNFRSF10C,GSK3B,SETDB1,AP2B1,PAK1,UBE2I,GOLGA2
40	24	16	60	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,GRB2,CDC42,ERBB2,TCF7L2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,LAMA3,CTNNA1,TNFRSF10D,TNFRSF10C,GSK3B,SETDB1,DISC1,AP2B1,PAK1,UBE2I,GOLGA2
41	25	16	60	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,GRB2,CDC42,ATR,ERBB2,TCF7L2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,LAMA3,CTNNA1,TNFRSF10D,TNFRSF10C,GSK3B,SETDB1,DISC1,AP2B1,PAK1,UBE2I,GOLGA2
42	25	17	59	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,GRB2,CDC42,ATR,ERBB2,TCF7L2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,LAMA3,CTNNA1,TNFRSF10D,TNFRSF10C,GSK3B,SETDB1,DISC1,AP2B1,HNF4A,PAK1,UBE2I,GOLGA2
43	26	17	60	TP53,APC,MYC,SMAD4,PIK3CA,CTNNB1,PTEN,SMAD3,MACF1,RB1,ATM,EGFR,RAC1,TNFRSF10A,PIK3R1,SDC4,BTG2,SYNE1,GRB2,CDC42,ATR,MLH1,ERBB2,TCF7L2,SMAD2,PLCG1,BCL2L1,SRC,SP1,RBL1,BMP1,LAMA3,CTNNA1,TNFRSF10D,TNFRSF10C,GSK3B,SETDB1,DISC1,AP2B1,HNF4A,PAK1,UBE2I,GOLGA2
