GeneA	GeneB	MEScore
APC	NCKAP5L	0.0
APC	ANKRD17	10.101253895214516
APC	NEB	10.112646408237904
CTNNB1	VCAN	6.241468674088317
MYC	SMAD4	8.283182227386249
APC	NUPL2	9.920721840708387
EGFR	RAC1	0.0
APC	KRT23	10.141087913243151
ERBB2	GRB2	4.426306990108014
EGFR	ERBB2	6.777406161222341
APC	RAC1	0.0
TP53	EGFR	9.926814042367955
APC	GIGYF2	9.88083151964686
PIK3CA	RAC1	0.0
TP53	APC	10.632494490493597
APC	KRT14	0.0
RAC1	MYC	0.0
APC	CTNNB1	10.343684931866653
APC	NUP98	9.414085191881366
MYC	ERBB2	6.017894358920365
CTNNB1	MYC	6.905803732321212
APC	NAV3	10.360822613424528
TP53	VCAN	9.583871620041833
MYC	TP53	10.199994317865812
CTNNB1	EGFR	7.064634984398519
EGFR	GRB2	5.0
RAC1	CTNNB1	0.0
