Gene	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0
GeneName	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
MutualExclScore	143.73611111111114	104.14563492063495	16.2015873015873	4.279761904761905	41.81825396825396	1.2833333333333332	46.43730158730158	3.8373015873015874	7.655158730158731	1.0333333333333332	2.359523809523809	1.8607142857142858	14.517063492063487	0.625	14.901190476190477	6.611904761904762	0.625	1.1428571428571428	0.25	11.67896825396825
MutQty	357	290	70	17	138	4	165	10	33	5	11	6	65	3	39	27	3	5	1	41
TCGA-DY-A1DG-01	1	1	1	1	1		1		1				1							
TCGA-G4-6625-01	1	1	1	1	1		1					1								
TCGA-CK-4952-01	1	1	1	1			1	1							1					
TCGA-F4-6703-01	1	1	1	1			1													
TCGA-CM-5860-01	1	1	1		1		1	1	1				1							1
TCGA-AA-3655-01	1	1	1		1		1		1											
TCGA-AA-3496-01	1	1	1		1		1		1											
TCGA-DM-A0XF-01	1	1	1		1		1			1					1					1
TCGA-A6-5660-01	1	1	1		1		1						1		1	1				
TCGA-G4-6303-01	1	1	1		1		1						1			1				1
TCGA-AU-3779-01	1	1	1		1		1						1			1				
TCGA-D5-5540-01	1	1	1		1		1						1					1		
TCGA-DM-A1DB-01	1	1	1		1		1						1							
TCGA-DY-A0XA-01	1	1	1		1		1						1							
TCGA-AA-3697-01	1	1	1		1		1						1							
TCGA-AA-3662-01	1	1	1		1		1							1	1	1				
TCGA-CM-5349-01	1	1	1		1		1									1				1
TCGA-AF-2693-01	1	1	1		1		1													1
TCGA-AA-3660-01	1	1	1		1		1													1
TCGA-D5-6541-01	1	1	1		1		1													
TCGA-G4-6323-01	1	1	1		1		1													
TCGA-AG-A020-01	1	1	1		1		1													
TCGA-CM-4752-01	1	1	1		1		1													
TCGA-DY-A1DF-01	1	1	1		1				1				1							
TCGA-CM-6163-01	1	1	1		1						1									
TCGA-D5-6533-01	1	1	1		1								1							
TCGA-AG-3732-01	1	1	1		1										1					1
TCGA-G4-6626-01	1	1	1		1															
TCGA-AZ-6605-01	1	1	1		1															
TCGA-DM-A1D4-01	1	1	1		1															
TCGA-DC-5337-01	1	1	1		1															
TCGA-AA-3712-01	1	1	1				1		1			1	1			1				
TCGA-D5-6538-01	1	1	1				1		1			1	1							
TCGA-DM-A1D7-01	1	1	1				1		1											
TCGA-G4-6315-01	1	1	1				1						1							
TCGA-AZ-5407-01	1	1	1				1						1							
TCGA-AZ-6608-01	1	1	1				1						1							
TCGA-CM-6168-01	1	1	1				1						1							
TCGA-CL-5917-01	1	1	1				1								1					
TCGA-F5-6813-01	1	1	1				1													1
TCGA-F5-6571-01	1	1	1				1													
TCGA-DC-6682-01	1	1	1				1													
TCGA-F5-6811-01	1	1	1				1													
TCGA-AA-A01K-01	1	1	1				1													
TCGA-CM-6164-01	1	1	1				1													
TCGA-DM-A1D6-01	1	1	1						1						1					
TCGA-AD-6901-01	1	1	1										1							
TCGA-CM-6675-01	1	1	1																	1
TCGA-CM-4744-01	1	1	1																	
TCGA-D5-6535-01	1	1	1																	
TCGA-CM-6167-01	1	1	1																	
TCGA-AF-6655-01	1	1	1																	
TCGA-EI-6510-01	1	1	1																	
TCGA-CK-5914-01	1	1		1	1		1						1			1				
TCGA-A6-6652-01	1	1		1	1		1													
TCGA-AA-3848-01	1	1		1			1		1											
TCGA-D5-6929-01	1	1		1			1				1									
TCGA-G4-6306-01	1	1		1			1						1							
TCGA-CL-5918-01	1	1		1			1													
TCGA-D5-6926-01	1	1		1			1													
TCGA-DC-6683-01	1	1		1			1													
TCGA-D5-6532-01	1	1			1		1		1											1
TCGA-AZ-6606-01	1	1			1		1		1											
TCGA-G4-6293-01	1	1			1		1		1											
TCGA-A6-6654-01	1	1			1		1		1											
TCGA-AF-6672-01	1	1			1		1		1											
TCGA-D5-6920-01	1	1			1		1				1		1							
TCGA-CM-6172-01	1	1			1		1				1									
TCGA-DM-A28H-01	1	1			1		1				1									
TCGA-D5-6898-01	1	1			1		1						1		1					
TCGA-G4-6317-01	1	1			1		1						1					1		
TCGA-DM-A1D8-01	1	1			1		1						1							
TCGA-CM-6166-01	1	1			1		1						1							
TCGA-F4-6460-01	1	1			1		1						1							
TCGA-DM-A285-01	1	1			1		1						1							
TCGA-A6-5659-01	1	1			1		1								1					
TCGA-DM-A1D9-01	1	1			1		1									1				
TCGA-CK-4947-01	1	1			1		1													1
TCGA-F4-6459-01	1	1			1		1													
TCGA-AD-6899-01	1	1			1		1													
TCGA-F4-6807-01	1	1			1		1													
TCGA-CM-6161-01	1	1			1		1													
TCGA-AA-3861-01	1	1			1		1													
TCGA-CK-4950-01	1	1			1		1													
TCGA-G4-6310-01	1	1			1		1													
TCGA-D5-5538-01	1	1			1		1													
TCGA-A6-5656-01	1	1			1		1													
TCGA-CA-6719-01	1	1			1		1													
TCGA-AZ-4616-01	1	1			1		1													
TCGA-AD-6963-01	1	1			1		1													
TCGA-AZ-6600-01	1	1			1				1	1			1				1			1
TCGA-CM-5348-01	1	1			1				1											
TCGA-AZ-6607-01	1	1			1				1											
TCGA-AZ-6603-01	1	1			1					1			1							
TCGA-AY-6196-01	1	1			1						1		1			1				
TCGA-DY-A1DD-01	1	1			1								1							
TCGA-AA-3968-01	1	1			1								1							
TCGA-DM-A28K-01	1	1			1										1					
TCGA-AG-A02X-01	1	1			1										1					
TCGA-DC-6155-01	1	1			1										1					
TCGA-AA-3666-01	1	1			1											1				
TCGA-D5-6932-01	1	1			1											1				
TCGA-AD-6888-01	1	1			1															1
TCGA-F5-6464-01	1	1			1															1
TCGA-A6-6138-01	1	1			1															1
TCGA-AG-3885-01	1	1			1															
TCGA-CA-6716-01	1	1			1															
TCGA-A6-6137-01	1	1			1															
TCGA-CM-5868-01	1	1			1															
TCGA-AG-3893-01	1	1			1															
TCGA-D5-6922-01	1	1			1															
TCGA-EI-6506-01	1	1			1															
TCGA-AA-3549-01	1	1			1															
TCGA-AG-A011-01	1	1			1															
TCGA-EI-6508-01	1	1			1															
TCGA-A6-6651-01	1	1			1															
TCGA-AZ-4681-01	1	1			1															
TCGA-CM-6165-01	1	1			1															
TCGA-F5-6812-01	1	1			1															
TCGA-D5-6924-01	1	1			1															
TCGA-AA-3558-01	1	1			1															
TCGA-A6-2674-01	1	1			1															
TCGA-AG-4005-01	1	1			1															
TCGA-F4-6806-01	1	1				1														
TCGA-DM-A28F-01	1	1					1		1				1							
TCGA-DC-6158-01	1	1					1		1											
TCGA-CK-4948-01	1	1					1		1											
TCGA-AF-6136-01	1	1					1					1								
TCGA-CM-6676-01	1	1					1						1		1					
TCGA-AY-5543-01	1	1					1						1				1			1
TCGA-G4-6307-01	1	1					1						1							1
TCGA-AG-3742-01	1	1					1						1							
TCGA-EF-5830-01	1	1					1						1							
TCGA-F4-6809-01	1	1					1						1							
TCGA-CM-6169-01	1	1					1						1							
