GeneA	GeneB	MEScore
ESR2	SPTBN2	0.0
EGFR	ANKS1B	5.1491628628991695
ERBB3	AKT1	3.3844284683411257
PPP1CA	TGFBR1	0.0
CDC42	GRB2	0.0
AKT1	GLI2	3.3753261881522456
CRK	SOS1	0.0
APC	SNRNP200	10.081273410812885
MAX	ITGB1	0.0
TEK	MAPK14	0.0
ABL1	GRB2	3.3460652149512313
JUN	TCF7L2	0.0
KDR	SRC	0.0
SMURF1	SMAD4	6.729045103563726
CTNNB1	JUN	0.0
APC	FLNA	9.354143466934854
JUN	MACF1	0.0
JUN	TP53	0.0
FYN	SP1	0.0
CTNNB1	CUL1	5.408045004061966
KIT	JAK2	6.362715446330144
NCK1	SOS1	0.0
CBL	PTPRJ	3.992145218540123
FYN	CDH1	5.147140290726885
PIK3CA	PIK3R1	7.775894676766123
LCK	PTPRJ	2.414213562373095
ATXN1	ZHX1	2.342778860141484
MTOR	GSK3B	3.316394937726778
PIK3CA	SRC	0.0
ERBB4	ANKS1A	4.364256920681405
CDH2	CTNNB1	5.522132743661841
FYN	SOS1	2.7370892179053907
CBL	PLCG1	3.992145218540123
ESR1	SMAD3	2.699172818834085
ESR1	SP1	0.0
DST	MAPK6	4.455594827522205
PAK1	RHOA	0.0
CTNND1	IGF1R	0.0
ATF2	EP300	3.667543745546287
CRK	GAB1	0.0
KDR	NCK1	0.0
ERBB3	JAK2	4.845434994223841
SMURF1	TGFBR1	2.224744871391589
SMAD3	SKIL	2.8058837014757785
CDC42	SEPT2	0.0
FYN	CTNNA1	2.8284271247461903
GRB2	SMAD3	2.6591374894921387
JAK2	PIK3CA	7.507534093958785
NRXN1	PDZD2	3.8943803726774897
EEF1A1	KRAS	7.707106781186548
CTNND1	DLG1	0.0
PTPN11	TEK	4.374007517977754
GAB1	SRC	0.0
FOXA1	SP1	0.0
CDH2	PTPRC	3.2169892001050897
CDC42	RIF1	0.0
PIK3R1	PTEN	7.825079611045847
FLT1	PIK3R1	4.82842712474619
SMAD3	SPTBN1	3.3131896376530667
CTNNB1	RHOA	5.491208655665561
CTNNB1	DLG1	0.0
PPP1CA	ZFYVE9	0.0
APC	NCKAP5L	0.0
APC	ANKRD17	10.101253895214516
PTPN12	TEK	2.7031427108718225
CBL	PDGFRB	3.968626966596886
DST	NFYC	3.927887582263411
ITGB1	JAK2	0.0
FLNA	SMAD3	3.4519675234711604
PAK1	PIK3R1	0.0
PTPN11	SOS1	4.106757836947306
TP53	UBE2I	0.0
APC	NEB	10.112646408237904
CTNNB1	VCAN	6.241468674088317
TCF7L2	MYC	5.467706879110914
SOS1	PAK1	0.0
ATM	MDM2	0.0
ERBB3	SRC	0.0
DAB1	RELN	4.322875655532295
GRB2	SP1	0.0
AXIN1	CTNNA1	2.414213562373095
MET	SRC	0.0
ABL1	ERBB4	5.123414991287802
ATXN1	UBE2I	0.0
FN1	SMAD4	7.702772970439106
FYN	JAK3	3.4757663751819257
GAB1	PTPRB	2.6389584337646843
CTNNA1	IGF1R	3.414213562373095
EEF1A1	NRAS	3.927887582263411
SMAD2	SMAD9	2.9364916731037085
FOXA1	SHH	0.0
ABL1	FYN	3.5355339059327378
CTNNA1	PIK3CA	7.383572667401852
JAK3	PIK3R1	4.586657819147005
CDH1	DLG1	0.0
FN1	PAK1	0.0
CBL	SOS1	4.015458059099547
BRCA1	MYC	4.740519396662188
ATF7IP	PAPPA2	3.6429102233404143
MTOR	IRS1	3.4441959990919377
TNIK	AXIN2	2.995352392457285
LCK	SOS1	2.140780282182635
AKT1	ZHX1	2.4409096442821903
AR	NCOA2	3.072525957550795
ESR1	SOS1	2.4409096442821903
ABL1	PLCG1	3.4145257218674843
PLCG1	CDC42	0.0
CDH1	MET	5.985262824551974
MYC	SMAD4	8.283182227386249
DAB1	PIK3R1	4.26465212512094
GRIN2B	PTPRJ	3.2169892001050897
APC	NUPL2	9.920721840708387
GRB2	SNRNP200	3.0275205091235833
GRB2	SOS1	2.5476205269238843
ATF2	NF1	5.080320702320523
TRRAP	MDM2	0.0
CTNND1	PIK3R1	0.0
CBL	EGFR	5.662266415412746
ATXN1	WNK1	2.883057266569289
FYN	PIK3CA	7.5113899150221055
EGFR	PLCG1	5.224744871391589
JAK3	LCK	3.0615528128088303
CTNNB1	TLE4	5.183300132670378
MBD5	KIAA1549	2.342778860141484
MET	PTPRG	4.393959225697556
TGFBR2	SPTBN1	3.5348264453008715
CTNNB1	TRRAP	5.905118639700595
APC	DST	9.192388155425117
SP1	TP53	0.0
PIK3CA	PTPN11	7.507534093958785
BRCA1	NCK1	0.0
APC	EXPH5	9.90744386111339
MYC	PDGFRB	4.622498999199199
FAM123B	CTNNB1	6.8750306388058515
BTRC	CTNNB1	0.0
EGFR	RAC1	0.0
CTNNB1	IGF1R	5.941011977043707
EGFR	PTPN11	5.711408890739083
KDR	FBXW11	0.0
MET	PLCG1	4.097026194660604
APC	KRT23	10.141087913243151
TP53	MLH1	9.493662575662203
ESR2	ZNF512B	0.0
SMAD3	ZFYVE9	0.0
EGFR	ANKS1A	4.803029340790344
ERBB2	PIK3R1	5.881064060019964
EGFR	IRS1	4.984344362627307
TEK	CRK	0.0
AXIN1	CTNND1	0.0
AR	PIK3CA	7.354132513569417
DAB1	PIK3CA	7.501606656151747
LCK	PTPRC	2.414213562373095
ERBB2	GRB2	4.426306990108014
DAB1	AKT1	2.8228756555322954
