SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	APC
2	2	0	100	APC,TP53
3	3	0	100	APC,TP53,CTNNB1
4	3	0	100	APC,TP53,CTNNB1
5	3	0	100	APC,TP53,CTNNB1
6	3	0	100	APC,TP53,CTNNB1
7	3	0	100	APC,TP53,CTNNB1
8	4	1	83	APC,TP53,CTNNB1,SMAD4,NAV3
9	5	1	85	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3
10	5	1	85	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3
11	5	1	85	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3
12	5	1	85	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3
13	5	1	85	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3
14	5	2	75	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3,NEB
15	5	2	75	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3,NEB
16	5	3	66	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3,ANKRD17,NEB
17	5	4	60	APC,TP53,CTNNB1,SMAD4,PIK3CA,NAV3,KRT23,ANKRD17,NEB
18	6	8	46	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,KRT14,NCKAP5L
19	7	8	50	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,NUP98,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,KRT14,NCKAP5L
20	7	9	47	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,NUP98,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,NCKAP5L
21	8	10	47	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L
22	8	10	47	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L
23	9	10	50	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L
24	10	10	52	APC,TP53,CTNNB1,SMAD4,PIK3CA,EGFR,MYC,NUP98,RAC1,ERBB2,NAV3,KRT23,ANKRD17,NEB,NUPL2,GIGYF2,GRB2,KRT14,VCAN,NCKAP5L
