GeneA	GeneB	MEScore
ATF2	PDGFRA	0.0
CDK4	TK1	0.0
CDK6	TGFBR1	2.82842712474619
CCND3	CDKN1A	0.0
GRB2	SP1	0.0
CDC5L	CDKN2A	0.0
ATM	TP53	5.6097722286464435
ATM	BARD1	1.7071067811865475
ATF2	RB1	0.0
CDK6	CDKN1A	0.0
CCND1	CDK6	0.0
EGFR	TGFA	5.152632453655
CEBPB	TFDP1	0.0
CDKN2B	KIAA1377	9.720984969846521
PDGFRB	AKT1	2.2802389661575337
ZBTB17	CDKN2B	0.0
ANXA7	CDK4	0.0
CDK4	SNCA	0.0
USP7	TP53	0.0
GRB2	PIK3R1	4.151302780278486
TFDP1	MYC	2.724744871391589
MDM4	MDM2	7.052276638739585
MAX	PDGFRB	1.9840593925343335
MAX	ZBTB17	0.0
TP53	SH2D1A	0.0
CDK4	CDKN2A	13.157761125413987
CDKN1A	SETDB1	0.0
ZBTB17	CDKN1A	0.0
MYC	CDK4	6.05521678957215
CDKN1A	HAUS1	0.0
KLHL9	PSMA3	0.0
EGFR	SH2D1A	0.0
CEBPB	SMAD3	0.0
RB1	TFDP1	4.1798961672288675
SMAD4	CDKN1A	0.0
SMAD4	ZBTB17	0.0
PIK3C2B	PIK3R1	6.280757427169083
TK1	ZBTB16	0.0
RB1	MET	5.220830736919447
CCND3	CDK6	0.0
TK1	COPS6	0.0
CDKN2C	COPS6	0.0
CDKN1A	RB1	0.0
CDC6	MCM2	0.0
CDKN2B	IKBKAP	9.720984969846521
TP53	TRRAP	5.714228066462454
BARD1	TP53	5.096194077712559
CDC6	CDKN1A	0.0
MYC	TK1	0.0
SMAD4	TGFBR1	0.0
TP53	RB1	6.4514473624818365
CDK4	RB1	7.637423791056637
MCM2	MCM7	1.7071067811865475
ANXA7	CHGB	0.0
MAX	SMAD3	0.0
GRB2	SMAD3	0.0
SMAD3	SMAD4	0.0
CDKN1A	COPS6	0.0
ANXA7	TP53	0.0
CDKN2B	ARPC3	0.0
MAX	ERBB2	0.0
CHGB	PTEN	6.644277824705506
CDK4	CDKN1A	0.0
EGFR	GRB2	5.5113519212621505
SMAD4	CDKN2B	0.0
PIK3CA	PIK3R1	5.498825443647708
PIK3R1	AKT1	4.242640687119286
CEBPB	CDKN2B	0.0
MYC	TRRAP	2.724744871391589
MAX	TP53	5.596194077712559
CDK6	CDKN2C	4.466528223471357
ATF2	CCND1	0.0
EGFR	ERBB2	0.0
MYC	ZBTB17	0.0
SP1	ZBTB17	0.0
CCND1	CDK4	0.0
AKT1	MDM2	4.98492777664452
CDKN1A	TFDP1	0.0
USP7	MDM2	0.0
CDKN2C	TP53	6.527692569068709
SMAD3	ZBTB17	0.0
SP1	TP53	0.0
MAX	SP1	0.0
PDGFRB	PIK3R1	3.694452528530629
MDM2	TP53	8.131727983645296
CCND3	CDK6	0.0
TRRAP	MDM2	4.671201589637869
SMAD3	ZBTB16	0.0
CDK4	CDKN2B	13.032370466220392
ERBB2	GRB2	0.0
CDK6	ATXN1	0.0
MAPK6	ARPC3	0.0
MYC	SP1	0.0
BAG6	IKBKAP	0.0
ANXA7	SETDB1	0.0
CDKN1A	BAG6	0.0
ATM	MDM4	4.640054944640259
CDKN2B	NIF3L1	0.0
CDK4	SETDB1	0.0
SMAD4	SP1	0.0
CDC5L	MCM5	0.0
BARD1	TRAF1	0.0
MYC	CDKN2B	9.83820462624762
PDGFRB	PTEN	6.654795407871707
PTEN	COPS6	0.0
ANXA7	COPS6	0.0
SMAD3	SP1	0.0
CDKN2B	CCDC33	9.720984969846521
CEBPB	FOXA1	0.0
PIK3R1	PTEN	8.197557835271528
MAX	MYC	2.618033988749895
MAX	SMAD4	0.0
FOXA1	TP53	5.303300858899107
BARD1	KIAA1377	1.4142135623730951
BAG6	SETDB1	0.0
CDK6	CDKN2B	10.260157121392034
CDKN2A	HAUS1	0.0
CDK4	TGFBR1	5.041475531146237
PIK3CA	CCND3	0.0
BARD1	SETDB1	0.0
PIK3CA	CCND1	0.0
ANXA7	BAG6	0.0
CDKN2A	MCM2	9.831250576633877
TFDP1	CCND3	0.0
CDK4	CDKN2C	6.7637605465684985
ATF2	SMAD3	0.0
PIK3CA	PTEN	8.405505905508857
FOXA1	SP1	0.0
TP53	EGFR	8.28886377937134
CHGB	TK1	0.0
PDGFRB	PIK3CA	3.6046381913102694
GRB2	NIF3L1	0.0
MYC	TP53	5.793661592015855
MYC	SMAD4	0.0
CDK4	HOOK1	5.421242193356588
MAPK6	COPS6	0.0
AKT1	MYC	2.914213562373095
BAG6	ARPC3	0.0
CDK4	ZBTB16	0.0
ANXA7	ZBTB16	0.0
CDC6	MCM7	0.0
TFDP1	TP53	5.714228066462454
SP1	TFDP1	0.0
MYC	PDGFRB	2.3660254037844384
CDKN2B	MAGEA11	0.0
TP53	TGFA	5.462219481496997
MYC	SMAD3	0.0
MAX	TK1	0.0
CCND1	CDKN1A	0.0
TP53	PTEN	9.020629307860972
SP1	CDKN2C	0.0
PIK3R1	CCND3	0.0
ATF2	SMAD4	0.0
CDK6	CDKN2A	10.280130009529007
CCND3	CDK4	0.0
ERBB2	PIK3R1	0.0
CDKN1A	TRAF1	0.0
CCND1	CDKN1A	0.0
PIK3CA	AKT1	4.152826349898926
TK1	TP53	0.0
ERBB2	TGFA	0.0
CDC5L	HOOK1	0.0
SMAD3	CDKN2B	0.0
CDKN2C	NIF3L1	0.0
CDC5L	CDKN1A	0.0
SMAD3	CCDC33	0.0
MCM2	MCM5	1.7071067811865475
MAX	CDKN1A	0.0
MAX	CDK4	5.6732507783220445
CCND1	CDK4	0.0
TRRAP	CDK4	5.527692569068709
TK1	SETDB1	0.0
ZBTB17	CCND1	0.0
EGFR	PIK3R1	6.566248761789626
MAGEA11	ZBTB16	0.0
CDKN2A	MCM5	9.630991183874837
CDKN1A	ZBTB16	0.0
SMAD4	TFDP1	0.0
TP53	MET	6.541475531146237
RB1	MYC	4.2455063647902325
CDKN2B	TRAF1	0.0
SP1	TK1	0.0
SP1	CDKN1A	0.0
CCND3	CDK4	0.0
TK1	BAG6	0.0
CDK4	MCM2	5.55521678957215
MCM5	MCM7	1.4142135623730951
CDK4	MCM7	5.2623235707586975
SMAD3	TFDP1	0.0
CDK6	MCM2	3.1213203435596424
PIK3R1	CCND1	0.0
SP1	CDKN2B	0.0
CDK6	MCM7	2.82842712474619
TGFBR1	SMAD3	0.0
CDC6	CDKN2A	0.0
BARD1	IKBKAP	1.4142135623730951
PIK3C2B	PIK3CA	6.186251234955147
CCND1	RB1	0.0
MAGEA11	NIF3L1	0.0
CDKN1A	CHGB	0.0
CCND3	CDKN1A	0.0
ATM	MDM2	4.570714214271425
CEBPB	SMAD4	0.0
MYC	CDKN1A	0.0
TRAF1	HAUS1	0.0
MAX	CDKN2B	9.486100377805714
MYC	ERBB2	0.0
MAPK6	BAG6	0.0
GRB2	PIK3C2B	4.847589057938949
AKT1	CDKN1A	0.0
SMAD3	CDKN1A	0.0
CDK6	PSMA3	0.0
CDK4	BAG6	0.0
MAX	TRRAP	2.1726039399558577
CDKN1A	TP53	0.0
