GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
CDK4	0.5	true	-1	true	Set()	0.0
CDKN2B	0.5	true	-1	true	Set()	0.0
CDKN2A	0.5	true	-1	true	Set()	0.0
CDK6	0.5	true	-1	true	Set()	0.0
MYC	0.5	true	-1	true	Set()	0.0
TP53	0.5	true	-1	true	Set()	0.0
MAX	0.5	true	-1	true	Set()	0.0
MCM2	0.5	true	-1	false	Set()	0.0
PTEN	0.5	true	-1	true	Set()	0.0
MAGEA11	0.5	true	-1	false	Set()	0.0
CDC5L	0.5	true	-1	false	Set()	0.0
RB1	0.5	true	-1	true	Set()	0.0
SMAD4	0.5	true	-1	true	Set()	0.0
MDM2	0.5	true	-1	true	Set()	0.0
SP1	0.5	true	-1	false	Set()	0.0
PIK3R1	0.5	true	-1	true	Set()	0.0
CEBPB	0.5	true	-1	false	Set()	0.0
KIAA1377	0.5	true	-1	false	Set()	0.0
SMAD3	0.5	true	-1	true	Set()	0.0
PIK3CA	0.5	true	-1	true	Set()	0.0
EGFR	0.5	true	-1	true	Set()	0.0
IKBKAP	0.5	true	-1	false	Set()	0.0
CDKN2C	0.5	true	-1	true	Set()	0.0
MCM5	0.5	true	-1	false	Set()	0.0
CDKN1A	0.5	true	-1	true	Set()	0.0
TGFBR1	0.5	true	-1	false	Set()	0.0
ARPC3	0.5	true	-1	false	Set()	0.0
TRAF1	0.5	true	-1	false	Set()	0.0
CCDC33	0.5	true	-1	false	Set()	0.0
CDC6	0.5	true	-1	false	Set()	0.0
ZBTB17	0.5	true	-1	false	Set()	0.0
TK1	0.5	true	-1	false	Set()	0.0
MDM4	0.5	true	-1	true	Set()	0.0
MCM7	0.5	true	-1	false	Set()	0.0
NIF3L1	0.5	true	-1	false	Set()	0.0
GRB2	0.5	true	-1	true	Set()	0.0
HAUS1	0.5	true	-1	false	Set()	0.0
ATM	0.5	true	-1	true	Set()	0.0
TRRAP	0.5	true	-1	true	Set()	0.0
ATXN1	0.5	true	-1	false	Set()	0.0
PSMA3	0.5	true	-1	false	Set()	0.0
PIK3C2B	0.5	true	-1	true	Set()	0.0
CHGB	0.5	true	-1	false	Set()	0.0
KLHL9	0.5	true	-1	false	Set()	0.0
MET	0.5	true	-1	true	Set()	0.0
PDGFRB	0.5	true	-1	true	Set()	0.0
TFDP1	0.5	true	-1	true	Set()	0.0
COPS6	0.5	true	-1	false	Set()	0.0
ZBTB16	0.5	true	-1	true	Set()	0.0
ERBB2	0.5	true	-1	true	Set()	0.0
AKT1	0.5	true	-1	true	Set()	0.0
SNCA	0.5	true	-1	false	Set()	0.0
HOOK1	0.5	true	-1	false	Set()	0.0
SETDB1	0.5	true	-1	false	Set()	0.0
PDGFRA	0.5	true	-1	true	Set()	0.0
ANXA7	0.5	true	-1	false	Set()	0.0
FOXA1	0.5	true	-1	true	Set()	0.0
CCND1	0.5	true	-1	true	Set()	0.0
BAG6	0.5	true	-1	false	Set()	0.0
SH2D1A	0.5	true	-1	false	Set()	0.0
USP7	0.5	true	-1	false	Set()	0.0
CCND3	0.5	true	-1	true	Set()	0.0
TGFA	0.5	true	-1	false	Set()	0.0
BARD1	0.5	true	-1	false	Set()	0.0
MAPK6	0.5	true	-1	false	Set()	0.0
ATF2	0.5	true	-1	false	Set()	0.0
