GeneA	GeneB	MEScore
E2F1	CDK4	0.0
GSK3B	TP53	5.6097722286464435
ATF2	PDGFRA	0.0
CDK4	TK1	0.0
MDM2	YY1	4.570714214271425
DLEU1	COPS6	0.0
CDK6	TGFBR1	2.82842712474619
HDAC2	CDKN1A	0.0
ATR	SRC	1.7071067811865475
CCND3	CDKN1A	0.0
GRB2	SP1	0.0
APLP1	SNCA	0.0
CDC5L	CDKN2A	0.0
ATM	TP53	5.6097722286464435
SUPT3H	CDK4	5.2623235707586975
ATM	BARD1	1.7071067811865475
APLP1	TK1	0.0
TP53	CCT5	0.0
ATF2	RB1	0.0
CDK6	CDKN1A	0.0
ANXA7	APC	0.0
CTNNB1	INCENP	0.0
CCND1	CDK6	0.0
EGFR	TGFA	5.152632453655
CTNNB1	CCND1	0.0
CEBPB	TFDP1	0.0
CDKN2B	KIAA1377	9.720984969846521
PDGFRB	AKT1	2.2802389661575337
ZBTB17	CDKN2B	0.0
ANXA7	CDK4	0.0
ATP5B	CDK4	0.0
CDK4	SNCA	0.0
USP7	TP53	0.0
GRB2	PIK3R1	4.151302780278486
AR	SRC	0.0
CDKN1A	QARS	0.0
ANXA7	ATP5B	0.0
MAX	SUPT3H	1.8251407699364424
TFDP1	MYC	2.724744871391589
MDM4	MDM2	7.052276638739585
MAX	PDGFRB	1.9840593925343335
MAX	ZBTB17	0.0
AR	SMAD3	0.0
TP53	SH2D1A	0.0
AR	MDM2	0.0
CDK4	LUC7L2	0.0
TAF10	CDK4	5.407500934930676
AURKB	KLHL13	0.0
CDK4	CDKN2A	13.157761125413987
CDKN1A	SETDB1	0.0
CTNNB1	TRRAP	0.0
ZBTB17	CDKN1A	0.0
APC	GSK3B	0.0
MYC	CDK4	6.05521678957215
SUPT3H	TRRAP	1.9318516525781364
CDKN1A	HAUS1	0.0
KLHL9	PSMA3	0.0
EGFR	SH2D1A	0.0
CEBPB	SMAD3	0.0
RB1	TFDP1	4.1798961672288675
TFDP1	MCM3	1.9318516525781364
SMAD4	CDKN1A	0.0
SMAD4	ZBTB17	0.0
PIK3C2B	PIK3R1	6.280757427169083
ABL1	SP1	0.0
PIK3R1	SRC	3.5355339059327378
TK1	ZBTB16	0.0
RB1	MET	5.220830736919447
CCND3	CDK6	0.0
MTAP	CENPH	0.0
TK1	COPS6	0.0
CDKN2C	COPS6	0.0
CDKN1A	RB1	0.0
CDC6	MCM2	0.0
CDKN2B	IKBKAP	9.720984969846521
TP53	TRRAP	5.714228066462454
BARD1	TP53	5.096194077712559
CAPNS1	CDK4	0.0
CDC6	CDKN1A	0.0
MYC	TK1	0.0
SMAD4	TGFBR1	0.0
AR	PIK3CA	0.0
TP53	RB1	6.4514473624818365
GSK3B	MYC	2.5
CDK4	RB1	7.637423791056637
ATR	BRCA1	2.0
MCM2	MCM7	1.7071067811865475
ANXA7	CHGB	0.0
MAX	SMAD3	0.0
APC	CTNNB1	0.0
SUPT3H	TAF10	1.7071067811865475
SETDB1	LUC7L2	0.0
MET	SRC	2.9983946286644674
GRB2	SMAD3	0.0
CETP	ARPC3	0.0
ATF2	YY1	0.0
AR	CCND3	0.0
SMAD3	SMAD4	0.0
CDKN1A	COPS6	0.0
ANXA7	TP53	0.0
CDKN2B	ARPC3	0.0
MAX	ERBB2	0.0
CHGB	PTEN	6.644277824705506
CDK4	CDKN1A	0.0
KLHL13	PSMA3	0.0
ANXA7	QARS	0.0
HDAC2	YY1	1.9266855755642598
AURKB	PSMA3	0.0
EGFR	GRB2	5.5113519212621505
SMAD4	CDKN2B	0.0
PIK3CA	PIK3R1	5.498825443647708
PIK3R1	AKT1	4.242640687119286
SETDB1	DLEU1	0.0
HDAC2	MDM2	4.553167600887974
AR	SMAD4	0.0
CEBPB	CDKN2B	0.0
E2F1	RB1	0.0
MYC	TRRAP	2.724744871391589
MAX	TP53	5.596194077712559
APLP1	CDK4	0.0
MCM2	MCM3	1.7071067811865475
CDK6	CDKN2C	4.466528223471357
ATF2	CCND1	0.0
EGFR	ERBB2	0.0
CCNA2	TFDP1	0.0
EGFR	PLCG1	5.138027276443204
GSK3B	BAG6	0.0
MCM3	MCM5	1.4142135623730951
TGFBR1	CTNNB1	0.0
MYC	ZBTB17	0.0
SP1	ZBTB17	0.0
CCND1	CDK4	0.0
AKT1	MDM2	4.98492777664452
ATM	E2F1	0.0
CDKN1A	TFDP1	0.0
USP7	MDM2	0.0
CDKN2C	TP53	6.527692569068709
AR	PIK3R1	0.0
SMAD3	ZBTB17	0.0
SP1	TP53	0.0
MAX	SP1	0.0
PDGFRB	PIK3R1	3.694452528530629
ATR	TP53	5.462219481496997
MDM2	TP53	8.131727983645296
CCND3	CDK6	0.0
CTNNB1	EGFR	0.0
ATP5B	CDKN1A	0.0
GSK3B	MAX	2.118033988749895
TRRAP	MDM2	4.671201589637869
COPS6	CENPH	0.0
SMAD3	ZBTB16	0.0
CCNA2	TP53	0.0
CDK4	CDKN2B	13.032370466220392
ERBB2	GRB2	0.0
CDK6	ATXN1	0.0
MAPK6	ARPC3	0.0
MYC	SP1	0.0
EGFR	SRC	5.008269414707861
BAG6	IKBKAP	0.0
ANXA7	SETDB1	0.0
CDKN1A	BAG6	0.0
ATM	MDM4	4.640054944640259
CDKN2B	NIF3L1	0.0
YY1	TP53	5.462219481496997
CDK4	SETDB1	0.0
SMAD4	SP1	0.0
CDC5L	MCM5	0.0
ABL1	PIK3R1	3.5355339059327378
AURKB	INCENP	0.0
HDAC2	TRRAP	2.342778860141484
BARD1	TRAF1	0.0
EWSR1	SMAD4	0.0
E2F1	CCNA2	0.0
MYC	CDKN2B	9.83820462624762
HDAC2	TP53	5.596194077712559
PDGFRB	PTEN	6.654795407871707
PTEN	COPS6	0.0
ANXA7	COPS6	0.0
SMAD3	SP1	0.0
CDC6	MCM3	0.0
MYC	SUPT3H	2.2071067811865475
CTNNB1	SRC	0.0
CDKN2B	CCDC33	9.720984969846521
CEBPB	FOXA1	0.0
TP53	APC	0.0
PIK3R1	PTEN	8.197557835271528
E2F1	CDKN1A	0.0
ABL1	MDM2	4.277820995457973
CTNNB1	MYC	0.0
MAX	MYC	2.618033988749895
MAX	SMAD4	0.0
FOXA1	TP53	5.303300858899107
IKBKAP	CCT5	0.0
ATR	BARD1	1.7071067811865475
BARD1	KIAA1377	1.4142135623730951
ATM	DYRK2	2.802775637731995
HDAC2	SMAD4	0.0
KLHL13	KLHL9	7.224949798994366
BAG6	SETDB1	0.0
CDK6	CDKN2B	10.260157121392034
EWSR1	USP7	0.0
ATF2	BRCA1	0.0
CDKN2A	HAUS1	0.0
CDK4	TGFBR1	5.041475531146237
PIK3CA	CCND3	0.0
BARD1	SETDB1	0.0
PIK3CA	CCND1	0.0
GSK3B	AR	0.0
ANXA7	BAG6	0.0
CDKN2A	MCM2	9.831250576633877
TFDP1	CCND3	0.0
EWSR1	MAGEA11	0.0
CDK4	CDKN2C	6.7637605465684985
ATF2	SMAD3	0.0
E2F7	CDC6	0.0
AURKB	KLHL9	0.0
BRCA1	TP53	5.289682476142388
PIK3CA	PTEN	8.405505905508857
QARS	TK1	0.0
APLP1	KIAA1377	0.0
CETP	EWSR1	0.0
FOXA1	SP1	0.0
TP53	EGFR	8.28886377937134
ATF2	CCNA2	0.0
CHGB	TK1	0.0
ATP5B	TK1	0.0
PDGFRB	PIK3CA	3.6046381913102694
GRB2	NIF3L1	0.0
MYC	TP53	5.793661592015855
MYC	SMAD4	0.0
CDK4	HOOK1	5.421242193356588
MAPK6	COPS6	0.0
ATM	BRCA1	2.0
MCM3	MAPK6	0.0
BARD1	EWSR1	0.0
AKT1	MYC	2.914213562373095
BAG6	ARPC3	0.0
APC	SETDB1	0.0
ANXA7	APLP1	0.0
AR	BRCA1	0.0
CDK4	ZBTB16	0.0
BRCA1	FOXA1	1.8660254037844386
ANXA7	ZBTB16	0.0
CDC6	MCM7	0.0
MCM3	HAUS1	0.0
TFDP1	TP53	5.714228066462454
SP1	TFDP1	0.0
CTNNB1	GSK3B	0.0
APLP1	CDKN2C	0.0
MYC	PDGFRB	2.3660254037844384
HDAC2	SP1	0.0
CDKN2B	MAGEA11	0.0
BRCA1	MAX	2.118033988749895
TP53	TGFA	5.462219481496997
CCNA2	ABL1	0.0
EWSR1	TRAF1	0.0
MYC	SMAD3	0.0
MAX	TK1	0.0
CCND1	CDKN1A	0.0
TP53	PTEN	9.020629307860972
SP1	CDKN2C	0.0
PIK3R1	CCND3	0.0
SP1	APC	0.0
APLP1	SETDB1	0.0
ATF2	SMAD4	0.0
PDGFRA	PLCG1	5.224924347325112
CDK6	CDKN2A	10.280130009529007
SRC	AKT1	2.121320343559643
TAF10	TRRAP	2.224744871391589
CCND3	CDK4	0.0
ERBB2	PIK3R1	0.0
CDKN1A	TRAF1	0.0
E2F1	CDKN2C	0.0
CCND1	CDKN1A	0.0
ABL1	EGFR	5.008269414707861
PIK3CA	AKT1	4.152826349898926
MET	PLCG1	3.409321836227815
GSK3B	LUC7L2	0.0
GSK3B	QARS	1.8660254037844386
TK1	TP53	0.0
ERBB2	TGFA	0.0
TGFBR1	AURKB	0.0
CDC5L	HOOK1	0.0
SMAD3	CDKN2B	0.0
ABL1	PLCG1	1.8251407699364424
AR	CTNNB1	0.0
CDKN2C	NIF3L1	0.0
ERBB2	PLCG1	0.0
CDC5L	MCM3	0.0
CDC5L	CDKN1A	0.0
SMAD3	CCDC33	0.0
MCM2	MCM5	1.7071067811865475
MAX	CDKN1A	0.0
ABL1	RB1	3.7893137826710355
MAX	CDK4	5.6732507783220445
CCND1	CDK4	0.0
TRRAP	CDK4	5.527692569068709
CTNNB1	MET	0.0
TK1	SETDB1	0.0
