GeneA	GeneB	MEScore
ABL1	GRB2	0.0
KDR	SRC	0.0
PIK3CA	PIK3R1	5.404319251433773
PIK3CA	SRC	0.0
KDR	NCK1	0.0
PIK3R1	PTEN	8.024116225711989
CTNNB1	RHOA	0.0
ATM	MDM2	4.464101615137754
ABL1	FYN	0.0
ABL1	PLCG1	0.0
FYN	PIK3CA	0.0
EGFR	PLCG1	5.138027276443204
MYC	PDGFRB	0.0
ERBB2	PIK3R1	0.0
CDK4	CDKN2A	11.511632640777464
ERBB2	GRB2	0.0
PIK3CA	PTEN	8.255432216610668
ABL1	SRC	0.0
CTNNB1	SRC	0.0
PIK3CA	RHOA	0.0
RB1	MYC	4.1798961672288675
ATM	TP53	5.47213595499958
EGFR	ERBB2	0.0
ERBB2	VAV2	0.0
TP53	RB1	6.362749604440715
ABL1	RB1	0.0
IL4R	PIK3CA	3.944897775957674
CTNNB1	KDR	0.0
PDGFRB	PIK3R1	0.0
CRK	EGFR	0.0
TP53	EGFR	8.144985218866182
CRK	RHOA	0.0
PIK3CA	VAV2	0.0
PDGFRB	AKT1	0.0
PDGFRB	PIK3CA	0.0
PLCG1	SRC	0.0
APOB	ITGAM	2.9888626821368653
CRK	PIK3R1	0.0
ABL1	PIK3R1	0.0
VAV2	RHOA	0.0
ESR2	SRC	0.0
PDGFRB	PTEN	0.0
ABL1	NCK1	0.0
APOB	ITGB2	2.8708286933869704
PDGFRB	PLCG1	0.0
FYN	GRIN2A	0.0
AKT1	ITGAM	2.4409096442821903
PIK3CA	AKT1	3.968626966596886
RHOA	FYN	0.0
DDX5	TP53	5.32416402881619
MYC	ERBB2	0.0
MACF1	CNTNAP2	3.302775637731995
GRIN2A	RELN	3.302775637731995
PIK3R1	AKT1	4.151302780278486
CTNNB1	MYC	0.0
KDR	PLCG1	2.3693063937629155
CRK	PDGFRA	0.0
ATM	MDM4	4.5
AKT1	ITGB2	2.3228756555322954
ABL1	ERBB2	0.0
PIK3CA	RELN	4.256388606531016
PDGFRA	PLCG1	4.9587017897206636
KDR	PIK3CA	3.944897775957674
EGFR	NCK1	0.0
KDR	RHOA	0.0
CDK6	CDKN2A	8.717376065535227
PIK3R1	SRC	0.0
IL4R	PIK3R1	4.0086270528066
AKT1	MYC	2.7370892179053907
CRK	SRC	0.0
PIK3R1	RELN	4.631202762478185
EGFR	SRC	0.0
SRC	VAV2	0.0
PIK3R1	RHOA	0.0
MDM2	TP53	7.885965925232274
ITGAM	ITGB2	2.118033988749895
MYC	TP53	5.548045275417232
CTNNB1	EGFR	0.0
GRB2	PIK3R1	0.0
FYN	KDR	0.0
KDR	PIK3R1	4.1291186956127515
TP53	PTEN	8.847698147370222
AKT1	MDM2	4.78697727067005
RELN	ABL1	0.0
EGFR	PIK3R1	6.566248761789626
FYN	PIK3R1	0.0
MYC	CDK4	5.801695756069156
CDK4	RB1	7.5099811928952604
FYN	RELN	0.0
EGFR	GRB2	0.0
CRK	ERBB2	0.0
MDM4	MDM2	6.80011415427224
PIK3R1	VAV2	0.0
SRC	AKT1	0.0
CRK	PIK3CA	0.0
DDX5	PIK3CA	3.6457513110645907
FYN	SRC	0.0
ITGAM	RHOA	0.0
ABL1	EGFR	0.0
ITGB2	RHOA	0.0
ABL1	MDM2	0.0
RELN	AKT1	3.1256512932642897
RHOA	AKT1	0.0
ABL1	CRK	0.0
ERBB2	PLCG1	0.0
