GeneA	GeneB	MEScore
KDR	PTPN6	0.0
CTR9	CNTNAP2	0.0
BRCA1	KLK3	0.0
ERBB3	AKT1	0.0
CYP4A11	PIK3R5	0.0
EDN1	EGF	0.0
CDC42	GRB2	0.0
PRKDC	KLK3	0.0
ITGB2	LPA	2.0
SMAD4	CDKN1A	0.0
AKT1	GLI2	2.3228756555322954
CRK	SOS1	0.0
MAX	ITGB1	0.0
ABL1	GRB2	0.0
ERBB3	VAV1	0.0
KDR	SRC	0.0
EMX1	TP63	0.0
CTNNB1	JUN	0.0
APC	FLNA	0.0
EGF	EGFR	0.0
JUN	MACF1	0.0
JUN	TP53	0.0
FYN	SP1	0.0
LRP1	SKIL	0.0
PTPN6	PIK3R1	0.0
CDK4	CDKN1A	0.0
MAX	TSC2	0.0
NCK1	SOS1	0.0
AR	CCND1	0.0
LRP1	PDGFRB	0.0
HCK	PTPN11	2.0
CDK6	ATXN1	0.0
SP1	CDKN2C	0.0
FYN	MLL4	0.0
IL4R	PTPN6	0.0
PIK3CA	PIK3R1	5.404319251433773
RHOA	SDC2	0.0
ELMO1	RAC1	0.0
ATXN1	ZHX1	0.0
JUN	EDN1	0.0
PIK3CA	SRC	0.0
TP53	TSC2	0.0
HIF1A	SMAD4	0.0
ITGAM	LRP1	2.618033988749895
FYN	SOS1	0.0
JAK1	PTPN11	0.0
TK1	TSC2	0.0
PRKCD	SNCA	0.0
ANXA7	MLL4	0.0
HCK	SOS1	0.0
CRKL	ITGB1	0.0
EGF	SOS1	0.0
CRKL	NOTCH2	0.0
SDC2	SRC	0.0
PAK1	RHOA	0.0
FLNC	UBE2I	0.0
JAK1	SOS1	0.0
CRK	GAB1	0.0
KDR	NCK1	0.0
MAX	CDK4	0.0
STAT3	FGG	0.0
HCK	JAK1	0.0
PTPN11	TEK	2.0
GAB1	SRC	0.0
CRKL	RAC1	0.0
FOXA1	SP1	0.0
CRKL	PAK1	0.0
PIK3R1	PTEN	8.024116225711989
FLT1	PIK3R1	3.946461113496085
ABL1	MLL4	0.0
CTNNB1	RHOA	0.0
CTNNB1	EGF	0.0
TIAM2	RAC1	0.0
SDC2	PIK3R1	0.0
ACACA	CHGB	2.118033988749895
PAK1	PIK3R1	0.0
MST1	ITGB2	0.0
PTPN11	SOS1	0.0
TTR	PIK3R5	0.0
TP53	UBE2I	0.0
CTNNB1	VCAN	0.0
SOS1	PAK1	0.0
ATM	MDM2	4.464101615137754
ERBB3	SRC	0.0
DAB1	RELN	0.0
GRB2	SP1	0.0
CDK6	DAB1	0.0
GAB1	SDC2	0.0
ATXN1	UBE2I	0.0
CXCL2	PIK3R5	0.0
JAK1	RHOA	0.0
SMAD2	SMAD9	0.0
ATM	BARD1	0.0
EGF	PLCG1	0.0
CRKL	DAB1	0.0
ABL1	FYN	0.0
GRB2	AKAP2	0.0
CDK6	KLK3	0.0
BRCA1	MYC	2.414213562373095
ANK2	TNIK	0.0
MTOR	IRS1	2.0
AR	CDK6	0.0
CDK2	CDKN1A	0.0
AKT1	ZHX1	0.0
ABL1	PLCG1	0.0
SRC	STAT3	0.0
PLCG1	CDC42	0.0
PEG3	USP7	0.0
MYC	SMAD4	0.0
DAB1	PIK3R1	0.0
GRB2	SOS1	0.0
ATF2	NF1	0.0
EDNRA	RAC1	0.0
TRRAP	MDM2	4.56404617677245
FYN	PIK3CA	0.0
EGFR	PLCG1	5.138027276443204
EGF	PAK1	0.0
HIF1A	EDN1	0.0
DAB1	PAFAH1B2	0.0
CCND1	CDKN1A	0.0
CTNNB1	CDKN1B	0.0
CTNNB1	TRRAP	0.0
SP1	TP53	0.0
ERBB2	STAT3	0.0
PIK3CA	PTPN11	3.6457513110645907
PRMT1	TP53	0.0
CCND1	KLK3	0.0
BRCA1	NCK1	0.0
MYC	PDGFRB	0.0
CRKL	ERBB2	0.0
ITGB2	LRP1	2.5
PAK1	MAP3K1	0.0
EGFR	RAC1	0.0
SRC	KLK3	0.0
EGFR	PTPN11	5.152632453655
PLCG1	RAG1	2.23606797749979
FLNC	PLCG1	2.118033988749895
TP53	MLH1	0.0
CDK6	CDKN2C	0.0
ATF7IP	KIF13A	0.0
RELN	CRKL	0.0
EGF	MTOR	0.0
ERBB2	PIK3R1	0.0
EGFR	IRS1	5.152632453655
CYP4A11	PIK3R1	3.8284271247461903
HIF1A	JUN	0.0
CDK4	CDKN2A	11.511632640777464
TEK	CRK	0.0
UBE2I	PIAS2	0.0
PDGFRA	JAK1	0.0
AR	PIK3CA	0.0
DAB1	PIK3CA	0.0
ITGB4	PIK3R1	0.0
ITGB4	PIK3CA	0.0
ERBB2	GRB2	0.0
IL4R	IRS1	2.414213562373095
DAB1	AKT1	0.0
PIK3CA	PTEN	8.255432216610668
ATXN1	MLL4	0.0
HIPK2	TP53	5.151203989844342
EGFR	ITGB4	0.0
VAV1	PAK1	0.0
EEF1A1	TK1	0.0
CRKL	GAB1	0.0
ABL1	SRC	0.0
VAV2	BOD1L	0.0
CCND1	RB1	0.0
KLK6	SNCA	0.0
FYN	GRIN2B	0.0
CRK	THOC2	0.0
CTNNB1	SRC	0.0
CCNE1	BARD1	0.0
PIK3CA	RHOA	0.0
SMAD4	COL1A2	0.0
MAX	SMAD4	0.0
IRS1	SOS1	0.0
FYN	VAV1	0.0
RB1	MYC	4.1798961672288675
PTPN6	PIK3CA	0.0
CDKN1B	RHOA	0.0
ERBB2	ERBB3	0.0
CRK	CRKL	0.0
PIK3CB	PIK3R1	0.0
EEF1A1	TTR	0.0
PRMT1	SPEG	0.0
HDAC2	TP53	5.458138625031752
EDN1	AKT1	0.0
PAFAH1B2	REXO1	0.0
FGFR3	GTF3C1	2.8708286933869704
PIK3CA	PRKCD	0.0
TIAM2	PAK1	0.0
ATM	TP53	5.47213595499958
EGFR	ERBB2	0.0
DOCK2	PAK1	0.0
CDKN1A	RB1	0.0
ERBB2	VAV2	0.0
ACACA	ATXN1	0.0
BRCA1	CDKN1B	2.224744871391589
CNTNAP2	ZMIZ1	2.802775637731995
CDC42	CTNNB1	0.0
USP7	TP53	0.0
MYC	TSC2	0.0
STAT3	MYC	0.0
SMAD2	SKIL	0.0
FYN	DLGAP2	0.0
FLNA	GRB2	0.0
EGF	PTPN11	0.0
TP53	RB1	6.362749604440715
AKT1	HIF1A	0.0
ERBB2	JAK1	0.0
ATM	BRCA1	2.0
ATF2	RB1	0.0
SP1	COL1A2	0.0
JUN	MYC	0.0
RNASEN	TP53	0.0
APC	TAF1	0.0
APC	RAC1	0.0
ABL1	RB1	0.0
NF1	SDC2	0.0
JUN	SP1	0.0
HDAC2	MAX	0.0
CDK2	ABL1	0.0
ANXA7	APC	0.0
ANXA7	TP53	0.0
PIK3R1	PRKCD	0.0
IRS1	JAK1	0.0
PIK3R1	MTOR	3.8284271247461903
CRK	PCDHA8	0.0
HDAC2	SP1	0.0
SMAD9	HUWE1	0.0
CCNE1	BRCA1	2.3228756555322954
AR	PIK3R1	0.0
VAV1	CDC42	0.0
USP7	MDM2	0.0
GAB1	AKT1	0.0
BRCA1	NF1	4.16227766016838
VAV1	RHOA	0.0
FLNC	NCK1	0.0
HIF1A	FLT1	0.0
CCND1	CDK4	0.0
EGFR	STAT3	0.0
ATR	TP53	5.32416402881619
CRKL	PIK3CA	0.0
AR	SRC	0.0
PIK3CA	MTOR	3.4880475242098177
HDAC2	CDKN1A	0.0
AFF2	PLCG1	2.4409096442821903
IL4R	PIK3CA	3.944897775957674
CRK	SP1	0.0
PLCG1	VAV1	2.118033988749895
SDC2	SOS1	0.0
ERBB2	TGFA	0.0
CTNNB1	KDR	0.0
DGCR8	RNASEN	0.0
AKT1	CARD11	2.4409096442821903
HSPG2	ATF7IP	0.0
RB1	TAF1	3.9684438152821526
ANK2	NCK1	0.0
CHGB	PTEN	6.473388078521946
RAC1	MAP3K1	0.0
CRK	ATXN1	0.0
TK1	TP53	0.0
ATR	MDM2	4.464101615137754
TIAM2	DISC1	0.0
MAX	TP53	0.0
BARD1	BRCA1	0.0
CDC42	SYNE1	0.0
PRKDC	TP53	0.0
PDGFRB	PIK3R1	0.0
MAX	NFYC	0.0
MTOR	STAT3	0.0
PIK3CB	AKT1	0.0
CRK	EGFR	0.0
MAX	CDKN1B	0.0
TP53	EGFR	8.144985218866182
EDN1	COL1A2	0.0
CDC5L	SYNE1	0.0
EGFR	IRS4	0.0
CRK	RHOA	0.0
TP53	TRRAP	5.5761726137816465
MLH1	CXorf57	0.0
FOXA1	APOB	0.0
NCK1	SP1	0.0
RGNEF	RHOA	0.0
PDGFRB	PRKCD	0.0
ZMIZ1	AR	0.0
CRK	FLNA	0.0
SNCA	PDE4DIP	0.0
TK1	TIAM2	0.0
PIK3CA	RAC1	0.0
PIK3CA	VAV2	0.0
MAX	COL1A2	0.0
KDR	RAC1	0.0
ATR	BARD1	0.0
GRB2	KIF13A	0.0
ATR	CHEK1	0.0
ITGB4	MST1	0.0
TRRAP	CDK4	5.358898943540674
EGF	ITGB4	0.0
ARNT	SMAD9	0.0
AR	MDM2	0.0
PDGFRB	AKT1	0.0
PDGFRB	PTPN11	0.0
CDK2	TP53	0.0
PDGFRB	PIK3CA	0.0
EEF1A1	SMAD4	0.0
ITGB1	ITGB2	0.0
ERBB3	SOS1	0.0
FYN	ATXN1	0.0
PLCG1	SOS1	0.0
TP53	APC	0.0
TNIK	MYC	0.0
CDC42	PAK1	0.0
HCK	ITGB2	2.0
ITGAM	LPA	2.118033988749895
PLCG1	SRC	0.0
PRKCD	STAT3	0.0
RAC1	MYC	0.0
FYN	RIMS2	0.0
ANXA7	CDK4	0.0
TAF1	GFI1B	0.0
PIK3R1	RAC1	0.0
DAB1	FYN	0.0
JAK1	PRKCB	0.0
CCND1	CDKN1A	0.0
BARD1	ZHX1	0.0
APOB	ITGAM	2.9888626821368653
CRK	PIK3R1	0.0
PAK1	CCND1	0.0
ATF2	PDGFRA	0.0
DAB1	ERBB3	0.0
EGFR	PTPN6	0.0
ABL1	PIK3R1	0.0
TNIK	TIAM2	0.0
FLT1	PTPN11	2.118033988749895
PAFAH1B2	RELN	0.0
SP1	SRC	0.0
MYC	CDKN1A	0.0
APC	CREBBP	0.0
KDR	GAB1	0.0
NCK1	MLL4	0.0
ERBB2	PTPN11	0.0
EGF	GAB1	0.0
AMPH	EGFR	5.152632453655
VAV2	RHOA	0.0
ERBB2	IRS1	0.0
CREBBP	CCND1	0.0
TNIK	DISC1	0.0
ANK2	GRB2	0.0
MAX	CDKN1A	0.0
FOXA1	JUN	0.0
SRC	AKAP2	0.0
APC	CDC42	0.0
GAB1	GRB2	0.0
SYNE1	DISC1	0.0
AR	PRKDC	0.0
HCK	ITGAM	2.118033988749895
RHOA	MYH2	0.0
ARNT	KDR	0.0
ESR2	SRC	0.0
APC	CTNNB1	0.0
FLT1	PLCG1	2.23606797749979
ERBB3	NCK1	0.0
NFYC	PDGFRB	0.0
SMAD2	PAK1	0.0
CRK	PCDHA3	0.0
PRKCD	GLI2	0.0
NCK1	RYR1	0.0
TEK	FYN	0.0
MYC	TK1	0.0
VAV1	RAC1	0.0
CRKL	PIK3R1	0.0
CRK	MYO18B	0.0
FLT1	PIK3CA	3.7637852998144856
FLNB	PLCG1	0.0
ANXA7	CHGB	0.0
CDC5L	PDE4DIP	0.0
CDC42	VAV2	0.0
ANXA7	TIAM2	0.0
PDGFRB	PTEN	0.0
UBE2I	ATF7IP	0.0
EDNRA	AKT1	0.0
CDK2	RB1	0.0
ABL1	NCK1	0.0
HDAC2	TRRAP	2.342778860141484
MEOX2	DGCR8	0.0
CDK4	TK1	0.0
ARNT	ITGB2	0.0
APOB	ITGB2	2.8708286933869704
SOS1	SRC	0.0
EGFR	ERBB3	0.0
DOCK2	MTUS2	2.224744871391589
TNIK	MACF1	0.0
SMAD4	SMAD9	0.0
TP53	TGFA	5.32416402881619
SKIL	MACF1	0.0
PIK3R1	TTR	0.0
MACF1	ATF7IP	0.0
KDR	CDC42	0.0
ERBB2	IRS4	0.0
PIAS2	MDM2	0.0
GAB1	PIK3CB	0.0
CDK4	SNCA	0.0
JAK1	AKT1	0.0
HDAC2	SMAD2	0.0
AR	FOXA1	0.0
ARIH2	DISC1	0.0
PDGFRB	PLCG1	0.0
CTNNB1	TNIK	0.0
ARNT	SMAD4	0.0
FYN	GRIN2A	0.0
DOCK2	ELMO1	2.224744871391589
AR	SMAD4	0.0
DAB1	ITGB1	0.0
PTPN6	FYN	0.0
PAK1	PIK3CA	0.0
CHEK1	SMAD4	0.0
ITGB1	KDR	0.0
AKT1	ITGAM	2.4409096442821903
ADAMTS2	PIK3R5	0.0
VAV2	BIRC6	0.0
COL1A2	ITGB1	0.0
PIK3CA	AKT1	3.968626966596886
PTPN11	SDC2	0.0
CRK	AKAP2	0.0
RHOA	FYN	0.0
DDX5	TP53	5.32416402881619
AKT1	TSC2	0.0
SLC1A6	ARIH2	0.0
HDAC2	MDM2	4.446012188022555
ERBB3	PIK3R1	0.0
NCK1	RAG1	0.0
FLNB	GRB2	0.0
IDH1	ZHX1	0.0
MYC	NFYC	0.0
CACNA1A	HSPG2	0.0
MYC	ERBB2	0.0
TEK	PIK3R1	3.8284271247461903
FLNC	FYN	0.0
EDNRA	PAK1	0.0
MACF1	CNTNAP2	3.302775637731995
ITGB1	SDC2	0.0
CDK6	CDKN1A	0.0
SMAD4	ATF7IP	0.0
TEK	CDKN1A	0.0
MYC	ITGB1	0.0
SDC2	PLCG1	0.0
CREBBP	SMAD2	0.0
HIF1A	SP1	0.0
CRK	MLL4	0.0
GRIN2A	RELN	3.302775637731995
DAB1	GRIN2A	0.0
ATF2	JUN	0.0
TEK	NCK1	0.0
SOS1	PRKCD	0.0
ITGB1	LAMA1	0.0
ERBB3	PTPN11	0.0
PLCG1	AKAP2	0.0
PIK3R1	AKT1	4.151302780278486
MYC	SP1	0.0
ABL1	SP1	0.0
EGFR	SOS1	0.0
CDK2	MTOR	0.0
ESR2	RIMS2	0.0
CRK	FLNB	0.0
GAB1	PLCG1	0.0
HIF1A	TP53	0.0
EGFR	TGFA	5.152632453655
HSPG2	PRPF40A	0.0
CTNNB1	MYC	0.0
SMAD4	PRPF40A	0.0
DDX5	RNASEN	0.0
KDR	PLCG1	2.3693063937629155
AKT1	TBC1D4	0.0
CXCL2	PIK3R1	0.0
AKT1	MST1	0.0
ERBB3	ITGB4	0.0
ERBB2	SOS1	0.0
CDC42	RAC1	0.0
ATF2	BRCA1	0.0
ABL1	DLGAP2	0.0
STAT3	CCND1	0.0
CRK	PDGFRA	0.0
ATM	MDM4	4.5
CDKN1A	EEF1A1	0.0
SDC2	PIK3CA	0.0
PIK3R1	CCND1	0.0
ARNT	SP1	0.0
AKT1	ITGB2	2.3228756555322954
ABL1	ERBB2	0.0
EDNRA	EGFR	0.0
JAK1	STAT3	0.0
KDR	PTPN11	2.414213562373095
PIK3CA	RELN	4.256388606531016
IRS1	PIK3R1	3.672268443864895
FYN	JAK1	0.0
JAK1	MAP3K1	0.0
APC	MACF1	0.0
ATN1	SLIT3	0.0
JUN	RB1	0.0
CRK	ERBB3	0.0
NRXN1	MACF1	2.5
ITGB1	SRC	0.0
ATF2	SMAD4	0.0
EDN1	EDNRA	0.0
FYN	PTPN11	0.0
PDGFRA	PLCG1	4.9587017897206636
CDKN1A	CHGB	0.0
KDR	PIK3CA	3.944897775957674
CCNE1	MTOR	2.3228756555322954
CRK	AFF2	0.0
GRB2	RIMS2	0.0
PIK3R1	AKAP2	0.0
GAB1	PIK3R1	0.0
MST1	ITGAM	0.0
NRXN1	SIPA1L1	0.0
SOS1	RAC1	0.0
ARNT	JUN	0.0
EGFR	NCK1	0.0
CDK4	CDKN2C	0.0
MAX	SP1	0.0
PTPN11	VAV1	1.801439750477924
FOXA1	KLK3	0.0
IRS1	CRKL	0.0
VAV2	PAK1	0.0
EEF1A1	SNCA	0.0
ABL1	LRP2	0.0
KDR	RHOA	0.0
CDKN1A	TP53	0.0
CREBBP	MYC	2.414213562373095
IL4R	ARIH2	0.0
CDK6	CDKN2A	8.717376065535227
UBE2I	PRPF40A	0.0
ATR	STAT3	0.0
PIK3R1	ADAMTS2	3.490988962601558
ITGB1	PIK3CA	0.0
PIK3R1	SRC	0.0
IRS1	PTPN11	2.0
CDC5L	CDKN1A	0.0
HCK	MTUS2	2.0
PDE4DIP	TNIK	0.0
ZHX1	PRPF40A	0.0
EGF	SRC	0.0
IL4R	PIK3R1	4.0086270528066
APC	SYNE1	0.0
ARNT	EDN1	0.0
EGF	ERBB3	0.0
PIK3CA	SOS1	0.0
GRB2	TSC2	0.0
DAB1	ERBB2	0.0
EDN1	COL3A1	0.0
NCK1	RIMS2	0.0
SOS1	AKT1	0.0
PIK3CA	CCND1	0.0
NCK1	AKAP2	0.0
DDX5	DGCR8	0.0
GRB2	RYR1	0.0
IL4R	JAK1	0.0
EDN1	EGFR	0.0
RHOA	RAC1	0.0
BRCA1	FOXA1	0.0
PAK1	STAT3	0.0
PIK3R1	STAT3	0.0
DGCR8	TP53	0.0
PRKCD	TP53	0.0
FLNA	SRC	0.0
AKT1	MYC	2.7370892179053907
TBC1D4	ZMIZ1	0.0
IRS1	PIK3CA	3.4880475242098177
SP1	APOB	0.0
ITGB1	RAC1	0.0
GAB1	SOS1	0.0
TP53	ZHX1	0.0
VAV2	RAC1	0.0
JAK1	PIK3R1	0.0
MYC	COL1A2	2.9430608301342605
MAX	TRRAP	0.0
ABL1	FLNA	0.0
TP53	TP63	5.444097208657794
CRK	SRC	0.0
ITGB4	ATXN1	0.0
FLNA	PLCG1	2.060660171779821
CCND1	CDKN1B	0.0
SMAD9	CTR9	0.0
CCND1	CDK6	0.0
JAK1	PIK3CA	0.0
PTPN11	AKT1	2.3228756555322954
ARNT	FLT1	0.0
AR	UBE2I	0.0
PIK3R1	DLGAP2	3.8284271247461903
NCK1	VAV1	0.0
PIK3CA	STAT3	0.0
PIK3R1	RELN	4.631202762478185
EGFR	SRC	0.0
PAK1	RAC1	0.0
CDKN2C	TP53	0.0
ATR	SRC	0.0
MAX	ITGB4	0.0
TP53	VCAN	0.0
PRKCD	SDC2	0.0
AKT1	CDKN1A	0.0
FLT1	NCK1	0.0
PAK1	AKT1	0.0
EGFR	GAB1	0.0
SRC	VAV2	0.0
CDKN1A	MLL4	0.0
TNIK	SYNE1	0.0
TK1	PDE4DIP	0.0
AFF2	NCK1	0.0
PIK3R1	RHOA	0.0
