SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	TP53
2	2	0	100	TP53,PTEN
3	2	0	100	TP53,PTEN
4	2	0	100	TP53,PTEN
5	2	0	100	TP53,PTEN
6	4	0	100	TP53,PTEN,MDM2,EGFR
7	6	0	100	TP53,PTEN,CDK4,MDM2,EGFR,PIK3R1
8	7	0	100	TP53,PTEN,CDK4,MDM2,EGFR,PIK3R1,PIK3CA
9	9	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4
10	9	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4
11	9	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4
12	9	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4
13	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
14	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
15	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
16	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
17	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
18	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
19	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
20	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
21	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
22	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
23	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
24	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
25	10	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1
26	12	0	100	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC
27	12	1	92	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK
28	12	1	92	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK
29	12	1	92	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK
30	12	1	92	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK
31	12	1	92	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK
32	12	1	92	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK
33	12	1	92	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK
34	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
35	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
36	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
37	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
38	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
39	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
40	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
41	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
42	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
43	12	2	86	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN
44	12	3	81	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN,GRB2
45	12	3	81	TP53,PTEN,CDK4,CDKN2A,MDM2,EGFR,PIK3R1,PIK3CA,MDM4,RB1,CDK6,MYC,CRK,RELN,GRB2
