GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.6942584009697157	true	-1	true	Set(TP53	any	UFD1L, EGFR	any	TP53, TIAM2	any	UFD1L)
PTEN	0.6917448945807321	true	-1	true	Set(PIK3CA	any	PTEN, CHGB	any	PTEN, AKT1	any	PIK3CA)
CDK4	0.6866093056326208	true	-1	true	Set(CDC45	any	CDKN2A, CDC45	any	CDK4, CDC45	any	ORC5)
CDKN2A	0.6825553885366525	true	-1	true	Set(CDC45	any	CDKN2A, CDC45	any	CDK4, CDC45	any	ORC5)
MDM2	0.6818724605117772	true	-1	true	Set(ATM	any	BRCA1, ATM	any	MDM2, ATM	any	TP53)
EGFR	0.6815156316326824	true	-1	true	Set(TP53	any	UFD1L, EGFR	any	TP53, TIAM2	any	UFD1L)
PIK3R1	0.6807496816283876	true	-1	true	Set(PIK3R1	any	PTEN, CHGB	any	PTEN, CHGB	any	FGFR3, PDGFRB	any	PTEN)
PIK3CA	0.6737312007357236	true	-1	true	Set(PIK3CA	any	PTEN, CHGB	any	PTEN, AKT1	any	PIK3CA)
MDM4	0.6609765685075284	true	-1	true	Set(CD160	any	MDM4, MDM2	any	MDM4, ATM	any	MDM4)
RB1	0.6470321259482461	true	-1	true	Set(RB1	any	SKP2, ATP5B	any	CDK4, CDK4	any	RB1)
TP63	0.6402776480776037	true	-1	true	Set(TP53	any	TP63, EMX1	any	TP63, MAX	any	TP53)
CDK6	0.6372404478600371	true	-1	true	Set(CDKN2A	any	MCM10, CDK6	any	CDKN2A, CDK4	any	CDKN2A)
AKT1	0.6330559321679217	true	-1	true	Set(PIK3CA	any	PTEN, CHGB	any	PTEN, AKT1	any	PIK3CA)
MYC	0.632364222951327	true	-1	true	Set(AXIN1	any	UTP14A, AXIN1	any	MYC, PTEN	any	UTP14A)
ATM	0.6313482182484472	true	-1	true	Set(ATM	any	BRCA1, ATM	any	MDM2, ATM	any	TP53)
TGFA	0.6299549907681432	true	-1	false	Set(TP53	any	UFD1L, TGFA	any	TP53, EGFR	any	TGFA)
DDX5	0.6243821741001552	true	-1	true	Set(DDX5	any	PIK3CA, DDX5	any	DGCR8, DGCR8	any	TP53)
PLCG1	0.6143961066585597	true	-1	true	Set(KDR	any	PLCG1, EGFR	any	TGFA, EGFR	any	PLCG1)
BRCA1	0.608212906631446	true	-1	true	Set(ATM	any	BRCA1, ATM	any	MDM2, ATM	any	TP53)
PDGFRA	0.6074601041297101	true	-1	true	Set(PIK3R1	any	SHB, CAV3	any	PDGFRA, PDGFRA	any	SHB)
TRRAP	0.606209051434943	true	-1	true	Set(CDK4	any	TRRAP, CDK4	any	CDKN2A, CDC7	any	CDKN2A)
ATR	0.605049277650782	true	-1	true	Set(MDM2	any	TP53, ATR	any	CHEK1, ATR	any	MDM2)
CRK	0.6043194157428746	true	-1	false	Set(ABL1	any	EGFR, ABL1	any	MDM2, CRK	any	PCDHA7, ABL1	any	PCDHA7)
