>PMS2,7.152169022868641
PTEN,TP53,any
TP53,PMS2,any
PTEN,PIK3CA,any
>PMS2,6.566962975781493
PMS2,TP53,any
TP53,CHD3,any
CHD3,CASP8,any
>PMS2,7.059495124213876
PMS2,TP53,any
TP53,EPHA2,any
EPHA2,PIK3CA,any
>PMS2,6.573593004059208
TP53,PMS2,any
EPHA2,TP53,any
TP53,EGFR,any
>PMS2,6.564290679804006
PMS2,TP53,any
TP53,EGFR,any
EGFR,ERBB2,any
>SMARCA4,7.003919420975018
TP53,EPHA2,any
SMARCA4,TP53,any
EPHA2,PIK3CA,any
>SMARCA4,6.73749482035635
APC,TP53,any
NOTCH1,APC,any
TP53,SMARCA4,any
>SMARCA4,6.9211965786931176
TP53,PTEN,any
PTEN,PIK3CA,any
SMARCA4,TP53,any
>SMARCA4,6.637925126177595
TP53,EGFR,any
SMARCA4,TP53,any
TP53,RB1,any
>SMARCA4,6.774926647933736
SMARCA4,CTNNB1,any
CTNNB1,NOTCH1,any
SMARCA4,TP53,any
>SP1,6.239571249016993
SP1,TP53,any
ESR1,PIK3CA,any
SP1,ESR1,any
>SP1,6.246526437151237
FYN,PIK3CA,any
SP1,TP53,any
FYN,SP1,any
>SP1,6.168287755477514
APC,SP1,any
APC,TP53,any
APC,NOTCH1,any
>SP1,6.648688285080366
PTEN,TP53,any
TP53,SP1,any
PTEN,PIK3CA,any
>SP1,6.165065728190881
FAS,TP53,any
TP53,SP1,any
CASP8,FAS,any
>HDAC2,6.367420911910221
HDAC2,RELA,any
RELA,PIK3CA,any
HDAC2,TP53,any
>HDAC2,6.659122417270693
PTEN,TP53,any
PTEN,PIK3CA,any
TP53,HDAC2,any
>HDAC2,6.246012506625388
CHD3,CASP8,any
CHD3,HDAC2,any
HDAC2,TP53,any
>HDAC2,6.175986168443628
SMARCA4,HDAC2,any
TP53,RB1,any
HDAC2,TP53,any
>HDAC2,6.115743642487081
MYC,TP53,any
HUWE1,MYC,any
TP53,HDAC2,any
>CDKN1A,6.6559328375960805
TP53,CDKN1A,any
EPHA2,TP53,any
EPHA2,PIK3CA,any
>CDKN1A,6.222896694488806
SPRED1,CDKN1A,any
CDKN1A,TP53,any
SPRED1,HRAS,any
>CDKN1A,6.363958028760453
CDKN1A,TP53,any
ANGPT2,PIK3CA,any
ANGPT2,CDKN1A,any
>CDKN1A,6.197657803273786
DEAF1,CDKN1A,any
CDKN1A,TP53,any
DEAF1,HRAS,any
>CDKN1A,6.239424583942083
CDKN1A,TP53,any
TEK,CDKN1A,any
TEK,PIK3CA,any
>SETD7,6.888333576410684
TP53,EPHA2,any
SETD7,TP53,any
EPHA2,PIK3CA,any
>SETD7,6.891715933845264
TP53,PTEN,any
PTEN,PIK3CA,any
SETD7,TP53,any
>SETD7,6.522760480397488
SETD7,TP53,any
TP53,SMARCA4,any
TP53,RB1,any
>SETD7,6.478749066188206
TP53,PTEN,any
SETD7,TP53,any
TP53,RB1,any
>SETD7,6.629067878565351
HGF,HRAS,any
TP53,HGF,any
SETD7,TP53,any
>HGF,6.824791392690585
HGF,HRAS,any
HGF,TP53,any
HRAS,BTK,any
>HGF,6.938004972982481
HRAS,ERBB2,any
HRAS,HGF,any
HGF,TP53,any
>HGF,6.979030870612992
TP53,HGF,any
EPHA2,TP53,any
EPHA2,PIK3CA,any
>HGF,6.849152930928263
HRAS,HGF,any
HGF,TP53,any
HRAS,EGFR,any
>HGF,6.980166576828084
TP53,PTEN,any
PTEN,PIK3CA,any
HGF,TP53,any
>DKK1,6.274598349577631
TP53,DKK1,any
EIF2S2,TP53,any
TP53,EPHA2,any
>DKK1,6.4044883486902595
DKK1,TP53,any
