GeneA	GeneB	MEScore
ATM	TP53	10.465493536669854
APC	CDC42	2.987345747344081
CDC42	TP53	9.387491677759293
USP7	TP53	10.087938300833407
CDC42	CTNNB1	1.8660254037844386
EPHA2	PIK3CA	6.979484467752359
UBE2I	MDM2	0.0
EPHA2	PIK3R1	3.863703305156273
PPP1CA	TP53	0.0
CASP8	CHD3	5.134306430972163
CDKN1A	RB1	0.0
CTNNB1	EPHA2	3.449489742783178
MYC	TK1	0.0
TP53	UBE2I	0.0
TP53	RB1	11.110030872225137
APC	CTNNB1	3.1213203435596424
MAPK14	TP53	9.394147114027968
MAX	ERBB2	0.0
PIK3CA	PIK3R1	6.210045085685814
E2F1	RB1	4.420338450183363
MAX	TP53	0.0
EGFR	ERBB2	6.18465843842649
ATM	E2F1	3.9921490369466133
TP53	XRCC6	9.394147114027968
USP7	MDM2	3.6429102233404143
MDM2	TP53	10.119403165445313
CTNNB1	EGFR	5.034358403917705
TP53	SFN	10.240192033410777
PIK3CA	BCL2L1	4.769696007084728
TP53	APC	10.007644400055685
PIK3R1	PTEN	3.0906426084986642
E2F1	CDKN1A	0.0
CTNNB1	MYC	2.224744871391589
MAX	MYC	0.0
PIK3R1	BCL2L1	2.121320343559643
BRCA1	TP53	10.367496997597597
PIK3CA	PTEN	6.428008402262428
TP53	EGFR	10.823584914066352
TP53	EIF2S2	10.827379053088816
MYC	TP53	10.087938300833407
ATM	BRCA1	3.3371173070873836
BRCA1	MAX	0.0
MAX	TK1	0.0
TP53	PTEN	10.690372653129891
ERBB2	PIK3R1	3.5867219400666497
TK1	TP53	0.0
MAX	CDKN1A	0.0
EGFR	PIK3R1	5.597513695043473
TP53	EPHA2	10.895106835182768
RB1	MYC	3.8704961824561797
E2F1	TK1	0.0
BRCA1	PIK3R1	2.995352392457285
BCL2L1	TP53	9.900797838481584
BRCA1	MYC	2.8058837014757785
BCL2L1	CREB3	3.445719568712378
DDX5	PIK3CA	5.282781617427248
ATM	MDM2	4.420338450183363
DDX5	TP53	9.394147114027968
MYC	CDKN1A	0.0
MYC	ERBB2	3.516032718869509
CHD3	TP53	10.220168870719293
CDKN1A	TP53	0.0
