GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.5	true	-1	true	Set()	0.0
PIK3CA	0.5	true	-1	true	Set()	0.0
EGFR	0.5	true	-1	true	Set()	0.0
RB1	0.5	true	-1	true	Set()	0.0
E2F1	0.5	true	-1	false	Set()	0.0
PTEN	0.5	true	-1	true	Set()	0.0
EPHA2	0.5	true	-1	false	Set()	0.0
APC	0.5	true	-1	true	Set()	0.0
MDM2	0.5	true	-1	true	Set()	0.0
PIK3R1	0.5	true	-1	true	Set()	0.0
ATM	0.5	true	-1	true	Set()	0.0
CTNNB1	0.5	true	-1	true	Set()	0.0
MYC	0.5	true	-1	true	Set()	0.0
PPP1CA	0.5	true	-1	false	Set()	0.0
DDX5	0.5	true	-1	true	Set()	0.0
CHD3	0.5	true	-1	true	Set()	0.0
USP7	0.5	true	-1	false	Set()	0.0
CDC42	0.5	true	-1	true	Set()	0.0
CDKN2A	0.5	true	-1	true	Set()	0.0
CREB3	0.5	true	-1	false	Set()	0.0
MAPK14	0.5	true	-1	false	Set()	0.0
XRCC6	0.5	true	-1	false	Set()	0.0
UBE2I	0.5	true	-1	false	Set()	0.0
SFN	0.5	true	-1	false	Set()	0.0
BRCA1	0.5	true	-1	true	Set()	0.0
ERBB2	0.5	true	-1	true	Set()	0.0
MAX	0.5	true	-1	true	Set()	0.0
TK1	0.5	true	-1	false	Set()	0.0
CDKN1A	0.5	true	-1	true	Set()	0.0
CASP8	0.5	true	-1	true	Set()	0.0
EIF2S2	0.5	true	-1	false	Set()	0.0
BCL2L1	0.5	true	-1	false	Set()	0.0
