Gene	TP53	PIK3CA	EGFR	RB1	E2F1	PTEN	EPHA2	APC	MDM2	PIK3R1	ATM	CTNNB1	MYC	PPP1CA	DDX5	CHD3	USP7	CDC42	CDKN2A	CREB3	MAPK14	XRCC6	UBE2I	SFN	BRCA1	ERBB2	MAX	TK1	CDKN1A	CASP8	EIF2S2	BCL2L1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0
GeneName	TP53	PIK3CA	EGFR	RB1	E2F1	PTEN	EPHA2	APC	MDM2	PIK3R1	ATM	CTNNB1	MYC	PPP1CA	DDX5	CHD3	USP7	CDC42	CDKN2A	CREB3	MAPK14	XRCC6	UBE2I	SFN	BRCA1	ERBB2	MAX	TK1	CDKN1A	CASP8	EIF2S2	BCL2L1
MutualExclScore	171.73730158730163	41.17063492063493	26.216666666666654	11.116666666666667	5.694444444444445	6.866666666666665	7.6	5.644444444444443	10.370634920634922	4.2	4.533333333333333	2.033333333333333	1.4444444444444444	0.3333333333333333	0.5	2.792857142857143	2.3944444444444444	0.6166666666666667	107.6373015873014	10.983333333333336	0.8333333333333333	0.75	0.0	2.816666666666667	2.983333333333334	8.126190476190477	0.3333333333333333	0.0	0.0	19.15952380952381	6.411111111111111	0.7
MutQty	354	92	70	28	18	13	24	18	26	8	14	4	6	1	2	11	6	3	268	30	2	2	0	8	10	21	1	0	0	51	21	2
TCGA-D6-6517-01	1	1	1																1													
TCGA-CV-6960-01	1	1	1																													
TCGA-T2-A6WZ-01	1	1		1	1																										1	
TCGA-CR-7374-01	1	1		1		1																										
TCGA-CN-5360-01	1	1		1															1													
TCGA-CX-7082-01	1	1		1																												
TCGA-CR-7399-01	1	1		1																												
TCGA-CV-6948-01	1	1			1			1	1				1				1		1												1	
TCGA-UF-A7JF-01	1	1				1													1													
TCGA-CV-7438-01	1	1					1		1										1													
TCGA-IQ-A61E-01	1	1					1												1													
TCGA-CV-6935-01	1	1						1	1																							
TCGA-UF-A7JO-01	1	1							1							1			1							1				1		
TCGA-CN-6994-01	1	1							1																							
TCGA-CN-5373-01	1	1									1					1			1													
TCGA-CN-6024-01	1	1									1					1																
TCGA-UF-A71B-01	1	1													1				1													
TCGA-DQ-5630-01	1	1														1																
TCGA-CN-6998-01	1	1																1	1													1
TCGA-CV-A6JM-01	1	1																	1											1		
