GeneA	GeneB	MEScore
SIRT1	CDKN1A	0.0
BARD1	XRCC5	3.1462643699419726
GSK3B	TP53	0.0
LAMA4	RIF1	4.094063485209914
STX5	RIF1	2.802775637731995
NGFR	TK1	0.0
PRKDC	XRCC5	4.023338655046797
AKT1	ZHX1	2.9888626821368653
GSK3B	ZHX1	0.0
HDAC2	CDKN1A	0.0
MAX	DKK1	0.0
E2F1	APAF1	3.8533711511285196
HIF1A	SERPINE1	2.224744871391589
ATM	TP53	10.465493536669854
ATM	BARD1	3.285042255760066
TP53	XRCC5	10.478856602174423
CDC42	RAC1	2.668801041516433
TP53	VDR	9.900797838481584
TP53	CCT5	9.894147114027968
APC	CDC42	2.987345747344081
GSK3B	MAPK14	0.0
HIF1A	TP53	9.38083151964686
FAS	RIF1	2.802775637731995
SIRT1	TP53	9.894147114027968
AR	PRKDC	3.516032718869509
TP53	SCN3B	10.107904619668131
CDC42	TP53	9.387491677759293
USP7	TP53	10.087938300833407
TFDP1	MYC	3.0275205091235833
AKT1	MCL1	2.7368540971714093
CDC42	CTNNB1	1.8660254037844386
TP53	MLH1	10.101253895214516
UBE2I	PIAS2	0.0
TP53	TNFRSF10A	9.900797838481584
TP53	SH2D1A	10.09459845894584
TP53	CTSD	10.246856923431299
EPHA2	PIK3CA	6.979484467752359
AR	MDM2	3.774254628187981
CHD3	HTT	3.5291410885646703
TP53	TAP1	10.260172517812407
TP53	UFD1L	0.0
LAMA4	TP53	10.153113214287794
UBE2I	MDM2	0.0
CTNNB1	TRRAP	3.29128784747792
APC	GSK3B	0.0
EGFR	SH2D1A	5.301334121420273
KAT2B	AR	1.118033988749895
EPHA2	RAC1	4.252265380515173
RB1	TFDP1	4.4485269487965855
SIK1	TP53	9.894147114027968
FOXA1	JUN	0.0
EPHA2	PIK3R1	3.863703305156273
XRCC6	HTT	2.5779354745735183
SAT1	UNC119	1.7071067811865475
TP53	PRDM1	10.087938300833407
NFYC	TP53	9.394147114027968
PPP1CA	TP53	0.0
JUN	TP53	0.0
CASP8	CHD3	5.134306430972163
CDKN1A	RB1	0.0
JUN	SP1	0.0
TP53	TRRAP	10.636843660630873
CTNNB1	EPHA2	3.449489742783178
BARD1	TP53	9.860822613424528
MYC	TK1	0.0
TP53	UBE2I	0.0
PIK3CA	RAC1	6.428008402262428
HDAC2	PRMT5	0.0
AR	PIK3CA	5.900815606177143
TP53	RB1	11.110030872225137
GSK3B	MYC	0.0
TRIM28	E2F1	3.4441959990919377
ATR	BRCA1	3.9263467099959044
TP53	HINFP	10.087938300833407
AR	XRCC5	2.956795678960466
XRCC6	NOTCH1	5.806126294779332
APC	CTNNB1	3.1213203435596424
E2F1	MCL1	2.987345747344081
TP53	TP73	10.240192033410777
SKP2	MAX	0.0
HTT	ZHX1	2.9888626821368653
MAPK14	TP53	9.394147114027968
MAX	ERBB2	0.0
TRIM28	TP53	10.081273410812885
CTNNB1	HGF	2.58113883008419
HIF1A	MCL1	1.8660254037844386
SIRT1	RB1	3.511776714849029
PIK3CA	PIK3R1	6.210045085685814
PIK3R1	AKT1	3.285042255760066
HDAC2	MDM2	0.0
E2F1	RB1	4.420338450183363
MYC	TRRAP	3.3818802732842492
MAX	TP53	0.0
PRDM1	ATXN1	2.224744871391589
EGFR	ERBB2	6.18465843842649
TNFRSF10A	CASP8	4.053167600887974
HDAC2	DKK1	0.0
TP53	SERPINE1	10.087938300833407
AKT1	MDM2	4.232050807568877
MAPK14	AR	1.9318516525781364
ATM	E2F1	3.9921490369466133
TP53	XRCC6	9.394147114027968
CDKN1A	TFDP1	0.0
E2F1	SIRT1	2.987345747344081
USP7	MDM2	3.6429102233404143
AR	PIK3R1	2.6389584337646843
APC	RAC1	3.823700873904066
SP1	TP53	9.387491677759293
RB1	SKP2	3.6457513110645907
TP53	DKK1	9.900797838481584
MAX	SP1	0.0
PRKDC	AKT1	3.968118785068667
ATR	TP53	9.980725276682252
TAP1	CREB3	3.8566467762757255
MDM2	TP53	10.119403165445313
CTNNB1	EGFR	5.034358403917705
CHD3	PRMT5	3.1583123951777
E2F1	TP73	3.2862976842004192
GSK3B	MAX	0.0
TRRAP	MDM2	4.6794494717703365
TP53	PMS2	10.394147114027968
TP53	SFN	10.240192033410777
MYC	SP1	2.0907702751760278
TP53	APAF1	9.834077351297235
LAMA4	ZHX1	3.409321836227815
TP53	WDR33	10.38083151964686
HDAC2	TRRAP	0.0
HGF	CDC42	2.4471642338686284
CDKN1A	UNC119	0.0
BARD1	CHD3	3.072525957550795
HDAC2	TP53	0.0
BARD1	HTT	3.285042255760066
HIF1A	JUN	0.0
