SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	TP53
2	2	0	100	TP53,PIK3CA
3	3	0	100	TP53,PIK3CA,EGFR
4	4	0	100	TP53,PIK3CA,EGFR,RB1
5	4	1	80	TP53,PIK3CA,EGFR,RB1,E2F1
6	5	1	83	TP53,PIK3CA,EGFR,RB1,PTEN,E2F1
7	5	2	71	TP53,PIK3CA,EGFR,RB1,PTEN,E2F1,EPHA2
8	6	2	75	TP53,PIK3CA,EGFR,RB1,PTEN,APC,E2F1,EPHA2
10	8	2	80	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MDM2,PIK3R1,E2F1,EPHA2
11	9	2	81	TP53,PIK3CA,EGFR,RB1,PTEN,APC,ATM,MDM2,PIK3R1,E2F1,EPHA2
12	10	2	83	TP53,PIK3CA,EGFR,RB1,PTEN,APC,CTNNB1,ATM,MDM2,PIK3R1,E2F1,EPHA2
13	11	2	84	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,PIK3R1,E2F1,EPHA2
14	11	3	78	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,PIK3R1,E2F1,EPHA2,PPP1CA
15	12	3	80	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,PIK3R1,DDX5,E2F1,EPHA2,PPP1CA
16	13	3	81	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,PIK3R1,DDX5,E2F1,EPHA2,PPP1CA
17	13	4	76	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,PIK3R1,DDX5,E2F1,EPHA2,USP7,PPP1CA
18	14	4	77	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,PIK3R1,DDX5,CDC42,E2F1,EPHA2,USP7,PPP1CA
19	15	4	78	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,PIK3R1,DDX5,CDC42,CDKN2A,E2F1,EPHA2,USP7,PPP1CA
20	15	5	75	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,PIK3R1,DDX5,CDC42,CDKN2A,E2F1,EPHA2,USP7,CREB3,PPP1CA
22	15	7	68	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,PIK3R1,DDX5,CDC42,CDKN2A,E2F1,EPHA2,USP7,CREB3,PPP1CA,MAPK14,XRCC6
23	15	8	65	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,PIK3R1,DDX5,CDC42,CDKN2A,E2F1,EPHA2,USP7,CREB3,PPP1CA,MAPK14,XRCC6,UBE2I
24	15	9	62	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,PIK3R1,DDX5,CDC42,CDKN2A,E2F1,EPHA2,USP7,SFN,CREB3,PPP1CA,MAPK14,XRCC6,UBE2I
25	16	9	64	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,BRCA1,PIK3R1,DDX5,CDC42,CDKN2A,E2F1,EPHA2,USP7,SFN,CREB3,PPP1CA,MAPK14,XRCC6,UBE2I
27	18	9	66	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,BRCA1,PIK3R1,DDX5,ERBB2,CDC42,MAX,CDKN2A,E2F1,EPHA2,USP7,SFN,CREB3,PPP1CA,MAPK14,XRCC6,UBE2I
28	18	10	64	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,BRCA1,PIK3R1,DDX5,ERBB2,CDC42,MAX,CDKN2A,E2F1,EPHA2,USP7,SFN,CREB3,PPP1CA,MAPK14,XRCC6,UBE2I,TK1
29	19	10	65	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,BRCA1,PIK3R1,DDX5,ERBB2,CDC42,MAX,CDKN2A,CDKN1A,E2F1,EPHA2,USP7,SFN,CREB3,PPP1CA,MAPK14,XRCC6,UBE2I,TK1
31	20	11	64	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,BRCA1,PIK3R1,DDX5,ERBB2,CDC42,MAX,CASP8,CDKN2A,CDKN1A,E2F1,EPHA2,USP7,SFN,CREB3,EIF2S2,PPP1CA,MAPK14,XRCC6,UBE2I,TK1
32	20	12	62	TP53,PIK3CA,EGFR,RB1,PTEN,APC,MYC,CTNNB1,ATM,MDM2,CHD3,BRCA1,PIK3R1,DDX5,ERBB2,CDC42,MAX,CASP8,CDKN2A,CDKN1A,E2F1,EPHA2,USP7,SFN,CREB3,BCL2L1,EIF2S2,PPP1CA,MAPK14,XRCC6,UBE2I,TK1
