Gene	TP53	NLRC4	APC	PIK3CA	EGFR	MACF1	NRXN1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0
GeneName	TP53	NLRC4	APC	PIK3CA	EGFR	MACF1	NRXN1
MutualExclScore	287.75000000000006	4.0	8.083333333333332	57.08333333333334	10.0	19.583333333333332	11.5
MutQty	348	9	18	89	18	34	22
TCGA-CV-7101-01	1	1	1				
TCGA-CV-A6K1-01	1	1	1				
TCGA-CQ-5332-01	1	1					1
TCGA-CV-7446-01	1	1					
TCGA-IQ-A6SG-01	1	1					
TCGA-BB-4227-01	1	1					
TCGA-CN-5370-01	1	1					
TCGA-CV-6948-01	1		1	1		1	
TCGA-CV-6935-01	1		1	1			
TCGA-CV-5430-01	1		1			1	
TCGA-CN-6020-01	1		1			1	
TCGA-UF-A7JA-01	1		1			1	
TCGA-CV-7435-01	1		1				
TCGA-UF-A7JJ-01	1		1				
TCGA-CR-6484-01	1		1				
TCGA-CV-7418-01	1		1				
TCGA-CN-5364-01	1		1				
TCGA-QK-A6VB-01	1		1				
TCGA-CV-7248-01	1		1				
TCGA-CV-6962-01	1		1				
TCGA-UF-A7JT-01	1		1				
TCGA-CQ-A4C6-01	1			1		1	
TCGA-CV-5435-01	1			1		1	
TCGA-CV-7422-01	1			1		1	
TCGA-UF-A7JF-01	1			1			1
TCGA-BA-A4IF-01	1			1			1
TCGA-CN-6013-01	1			1			
TCGA-CV-6956-01	1			1			
TCGA-CX-7082-01	1			1			
TCGA-T2-A6WZ-01	1			1			
TCGA-CR-7371-01	1			1			
TCGA-CV-6952-01	1			1			
TCGA-CQ-6222-01	1			1			
TCGA-F7-A61S-01	1			1			
TCGA-CQ-6219-01	1			1			
TCGA-CV-A6JM-01	1			1			
TCGA-CN-5365-01	1			1			
TCGA-CV-A45R-01	1			1			
TCGA-CR-7374-01	1			1			
TCGA-CR-7394-01	1			1			
TCGA-CR-7401-01	1			1			
TCGA-UF-A7J9-01	1			1			
TCGA-CV-6960-01	1			1			
TCGA-UF-A71B-01	1			1			
TCGA-BA-5557-01	1			1			
TCGA-CN-A49A-01	1			1			
TCGA-CV-A460-01	1			1			
TCGA-CQ-5331-01	1			1			
TCGA-CN-5360-01	1			1			
TCGA-CN-6021-01	1			1			
TCGA-CV-7424-01	1			1			
TCGA-CN-6024-01	1			1			
TCGA-CN-4739-01	1			1			
TCGA-CR-7399-01	1			1			
TCGA-P3-A6T0-01	1			1			
TCGA-CQ-6218-01	1			1			
TCGA-CV-7438-01	1			1			
TCGA-CV-6945-01	1			1			
TCGA-F7-8489-01	1			1			
TCGA-UF-A7JO-01	1			1			
TCGA-CN-5373-01	1			1			
TCGA-CN-A498-01	1			1			
TCGA-DQ-7589-01	1			1			
TCGA-D6-6515-01	1			1			
TCGA-IQ-A61E-01	1			1			
TCGA-CV-6436-01	1			1			
TCGA-CV-7177-01	1			1			
TCGA-CN-6998-01	1			1			
TCGA-DQ-5630-01	1			1			
TCGA-HD-8634-01	1			1			
TCGA-CN-6010-01	1			1			
TCGA-D6-6517-01	1			1			
TCGA-CN-6994-01	1			1			
TCGA-CV-7103-01	1				1		
TCGA-CV-7236-01	1				1		
TCGA-DQ-5624-01	1				1		
TCGA-BB-A5HY-01	1				1		
TCGA-CN-4742-01	1				1		
TCGA-CV-7252-01	1				1		
TCGA-BA-7269-01	1				1		
TCGA-CV-6933-01	1				1		
TCGA-BA-4075-01	1				1		
TCGA-IQ-A61L-01	1				1		
TCGA-BA-6872-01	1				1		
TCGA-IQ-7630-01	1				1		
TCGA-P3-A6T5-01	1				1		
TCGA-CN-4736-01	1					1	
TCGA-CN-4740-01	1					1	
TCGA-CR-6491-01	1					1	
TCGA-HD-8635-01	1					1	
TCGA-BB-7871-01	1					1	
TCGA-CV-6942-01	1					1	
TCGA-CV-A6JY-01	1					1	
TCGA-CV-7255-01	1					1	
TCGA-CQ-5326-01	1					1	
TCGA-BB-7870-01	1					1	
TCGA-CN-A641-01	1					1	
TCGA-CV-6936-01	1					1	
TCGA-QK-A6IJ-01	1					1	
TCGA-CV-5439-01	1					1	
TCGA-IQ-A6SH-01	1					1	
TCGA-CQ-6225-01	1						1
TCGA-CN-A63T-01	1						1
TCGA-MZ-A7D7-01	1						1
TCGA-D6-A6EQ-01	1						1
TCGA-CN-6995-01	1						1
TCGA-CV-5973-01	1						1
TCGA-CV-7245-01	1						1
TCGA-CN-4731-01	1						1
TCGA-CV-7263-01	1						1
TCGA-CN-5363-01	1						1
TCGA-UF-A71D-01	1						1
TCGA-CX-7086-01	1						1
TCGA-CR-6478-01	1						1
TCGA-CV-7242-01	1						1
TCGA-BB-4224-01	1						1
TCGA-MT-A7BN-01	1						
