GeneA	GeneB	MEScore
BRCA1	KLK3	2.699172818834085
ESR2	SPTBN2	0.0
EGFR	ANKS1B	3.9240959812916367
HTT	TP53	9.780355596635292
TEX13A	TBC1D10A	2.7806136292436205
RASA1	SOS1	3.3228756555322954
CDC42	GRB2	0.0
PRKDC	KLK3	3.409321836227815
CRK	SOS1	0.0
MAX	ITGB1	0.0
PLXND1	MACF1	4.216834881229852
ABL1	GRB2	0.0
PPP1CA	YLPM1	0.0
KDR	SRC	0.0
CTNNB1	JUN	0.0
EGF	EGFR	3.209684055085084
JUN	MACF1	0.0
JUN	TP53	0.0
FYN	SP1	0.0
GIT1	PLCG1	2.342778860141484
EFNB1	RAC1	2.802775637731995
HTT	ZHX1	2.53224755112299
NCK1	SOS1	2.4409096442821903
CHD3	HTT	3.072525957550795
FYN	CDH1	0.0
PLXNA2	FNBP4	3.1937043489192662
PIK3CA	PIK3R1	6.1312041284013965
ATXN1	ZHX1	0.0
DVL1	CTNNB1	0.0
DAB1	NCK2	2.4409096442821903
PIK3CA	SRC	0.0
ERBB4	ANKS1A	3.23606797749979
PPP1CA	PLCL2	0.0
CDH2	CTNNB1	0.0
CRK	HGF	0.0
PLXNA2	KIAA1199	3.4519675234711604
FYN	SOS1	0.0
RIF1	KIAA1377	3.4641016151377544
ESR1	SMAD3	1.9266855755642598
ESR1	SP1	0.0
CTNNA1	EPHA2	3.4885911559259433
EGF	SOS1	2.5476205269238843
PAK1	RHOA	0.0
CACNA1A	LTBP1	3.4757663751819257
JAK1	SOS1	2.904014485616485
KDR	NCK1	2.699172818834085
KDR	ROCK1	3.1955824957813173
ERBB3	JAK2	2.541103500742244
SMAD3	SKIL	0.0
FYN	CTNNA1	0.0
GRB2	SMAD3	0.0
JAK2	PIK3CA	5.556441163607868
NRXN1	PDZD2	4.134674977921325
FLT4	KDR	3.1622776601683795
KAT5	KIAA1377	2.850084796318772
DSCAML1	MAGI3	3.4641016151377544
FOXA1	SP1	0.0
CDH2	PTPRC	3.224744871391589
CDC42	RIF1	0.0
TP53	EPHA2	10.746621004453464
FLT1	PIK3R1	3.2169892001050897
SMAD3	SPTBN1	2.7699686802504155
CTNNB1	RHOA	0.0
EGF	HRAS	3.8704961824561797
CTNNB1	EGF	0.0
LRP4	DFNB31	2.8708286933869704
ITGB1	JAK2	2.850084796318772
PAK1	PIK3R1	0.0
CTNND1	HGF	2.9811880507099953
PDGFRB	RASA1	3.414213562373095
APC	NEB	4.777247935608884
ITGB3	PIK3CA	5.8350245547781965
EGFR	HRAS	4.683574933234209
ITGB3	PIK3R1	2.53224755112299
CTNNB1	VCAN	0.0
SOS1	PAK1	0.0
ERBB3	SRC	0.0
DVL1	NCK2	2.23606797749979
DAB1	RELN	4.4457695530728705
GRB2	SP1	0.0
AXIN1	CTNNA1	2.5476205269238843
MET	SRC	0.0
ABL1	ERBB4	3.4608128488913787
ITGB3	ROCK1	2.850084796318772
FN1	SMAD4	3.6685424806725857
COL1A2	FLT4	3.702459173643832
GIT1	RAC1	2.9208096264818897
JAK1	RHOA	2.904014485616485
SMAD2	SMAD9	0.0
ATM	BARD1	3.285042255760066
EPHA2	PAK1	0.0
EGF	PLCG1	2.449489742783178
ABL1	FYN	0.0
JAK2	STAT3	2.342778860141484
CTNNA1	PIK3CA	5.808449748573325
MEF2C	SMAD4	3.4641016151377544
FN1	PAK1	0.0
BRCA1	MYC	2.8058837014757785
ATF7IP	PAPPA2	4.405082657016783
ESR1	SOS1	2.4409096442821903
ABL1	PLCG1	2.449489742783178
SRC	STAT3	0.0
PLCG1	CDC42	0.0
CDH1	MET	2.118033988749895
MYC	SMAD4	2.956795678960466
DAB1	PIK3R1	2.7370892179053907
GRIN2B	PTPRJ	3.3818802732842492
GRB2	SOS1	0.0
NCK1	RASA1	3.118033988749895
CTNND1	PIK3R1	2.7370892179053907
ATXN1	WNK1	0.0
FYN	PIK3CA	0.0
EGFR	PLCG1	3.3460652149512313
ITGB3	KDR	2.541103500742244
EGF	PAK1	0.0
KAT5	KRT40	2.118033988749895
MBD5	KIAA1549	3.0906426084986642
CASP8	ITGB3	4.436739618055864
TGFBR2	SPTBN1	4.078768909968932
CTNNB1	TRRAP	0.0
CDH1	EPHA2	3.409321836227815
KAT5	MAX	0.0
APC	DST	5.204004085302964
SP1	TP53	0.0
ERBB2	STAT3	2.724744871391589
ITGB4	MET	2.3228756555322954
BRCA1	NCK1	2.541103500742244
CDH1	ITGB4	2.4409096442821903
MYC	PDGFRB	2.6389584337646843
FOXA1	FOXA2	0.0
EGFR	RAC1	3.823700873904066
SRC	KLK3	0.0
PTPRJ	HGF	2.58113883008419
MET	RANBP10	0.0
MET	PLCG1	2.224744871391589
ERBB3	SYNGAP1	2.541103500742244
SKIL	NCOR2	0.0
ESR2	ZNF512B	0.0
FBXO21	CNTNAP4	3.0275205091235833
EGFR	ANKS1A	3.1213203435596424
ERBB2	PIK3R1	2.914213562373095
FLT1	RASA1	3.70055277607183
AXIN1	CTNND1	2.5476205269238843
AR	PIK3CA	6.203721930556695
DAB1	PIK3CA	5.928466801948284
CHD3	RIF1	3.276721325865507
ITGB4	PIK3R1	2.7370892179053907
ITGB4	PIK3CA	5.928466801948284
ERBB2	GRB2	0.0
CTNNB1	PTPRB	0.0
ESR1	SRC	0.0
EGFR	ITGB4	3.4441959990919377
CTNNB1	HGF	0.0
ITGB3	SYK	2.53224755112299
SPTBN1	TNIK	3.7747719698529476
PAK1	NCK2	0.0
ABL1	SRC	0.0
SMAD4	PAPPA2	4.6633458315686775
PPP1CA	SMAD1	0.0
JAK2	PIK3R1	2.53224755112299
ERBB4	ANKS1B	4.038843615231785
CTNND1	SRC	0.0
FYN	GRIN2B	0.0
CTNNB1	SRC	0.0
GRB2	GIT1	0.0
ITSN2	CDC42	0.0
PIK3CA	RHOA	5.808449748573325
SMAD4	COL1A2	3.8533711511285196
CDH1	ERBB2	2.618033988749895
CHD3	GIT1	2.776346383927595
MAX	SMAD4	0.0
CDH2	PTPRJ	2.449489742783178
RB1	MYC	3.2862976842004192
FLT4	ITGB1	3.3131896376530667
ERBB2	ERBB3	3.08113883008419
ATM	TP53	10.384910485175213
EGFR	ERBB2	3.5058636287082843
ERBB2	VAV2	2.5
DVL1	APC	3.2393543323095373
CNTNAP2	ZMIZ1	3.7594214422848102
CD82	NUP88	0.0
CDC42	CTNNB1	0.0
USP7	TP53	10.007644400055685
STAT3	MYC	2.449489742783178
APC	ARHGEF4	3.2393543323095373
CTNNA1	EGFR	3.4441959990919377
SMAD2	SKIL	0.0
MAPK14	JUN	0.0
