SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	TP53
2	1	0	100	TP53
3	1	0	100	TP53
4	1	0	100	TP53
5	1	0	100	TP53
6	1	1	66	TP53,NLRC4
7	1	1	66	TP53,NLRC4
8	3	1	80	TP53,APC,PIK3CA,NLRC4
9	3	1	80	TP53,APC,PIK3CA,NLRC4
10	3	1	80	TP53,APC,PIK3CA,NLRC4
11	3	2	66	TP53,APC,PIK3CA,NLRC4,MACF1
12	3	2	66	TP53,APC,PIK3CA,NLRC4,MACF1
13	3	2	66	TP53,APC,PIK3CA,NLRC4,MACF1
14	3	3	57	TP53,APC,PIK3CA,NLRC4,MACF1,NRXN1
15	4	3	62	TP53,APC,PIK3CA,EGFR,NLRC4,MACF1,NRXN1
16	4	3	62	TP53,APC,PIK3CA,EGFR,NLRC4,MACF1,NRXN1
17	6	3	70	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1
18	6	4	63	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,VAV2
19	6	4	63	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,VAV2
20	6	4	63	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,VAV2
21	6	5	58	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,VAV2
22	6	5	58	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,VAV2
23	6	5	58	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,VAV2
24	6	5	58	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,VAV2
25	6	7	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN
26	6	7	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN
27	6	7	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN
28	6	7	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN
29	6	7	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN
30	6	7	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN
31	7	7	53	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN
32	7	7	53	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN
33	7	8	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1
34	7	8	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1
35	7	8	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1
36	8	8	52	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1
37	8	9	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,TNIK
38	8	9	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,TNIK
39	8	9	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,TNIK
40	8	9	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,TNIK
41	8	10	47	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,TNIK,ATF7IP
42	8	10	47	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,TNIK,ATF7IP
43	9	10	50	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,TNIK,ATF7IP
44	9	11	47	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP
45	9	11	47	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP
46	9	12	45	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,RELN
47	9	12	45	TP53,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,RELN
48	10	12	47	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,RELN
49	10	13	45	TP53,PMS2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,ATF7IP,RELN,DST
