>CRK,4.201359605436869
CRK,GRIP2,any
CRK,DDX41,any
OPTC,CRK,any
>CRK,4.124319881955896
CRK,GRIP2,any
DDX41,CRK,any
CRK,ISG20L2,any
>CRK,4.109882269548413
MDFI,VHL,any
FASTK,CRK,any
FASTK,MDFI,any
>CRK,4.112169012655494
GRIP2,CRK,any
GRIP2,ABL1,any
ABL1,DDX41,any
>CRK,4.203779193254841
CRK,GRIP2,any
CRK,DDX41,any
MYO18B,CRK,any
>TXNDC17,3.1104871512517476
TXNDC17,RUFY1,any
MKRN1,EXOSC8,any
EXOSC8,TXNDC17,any
>TXNDC17,3.1173996751276283
TXNDC17,RUFY1,any
UPF2,EXOSC8,any
EXOSC8,TXNDC17,any
>TXNDC17,3.1036548596869578
RAB39B,RUFY1,any
RUFY1,TXNDC17,any
GOLGA2,RAB39B,any
UBE3C,GOLGA2,any
>TXNDC17,3.08790581563873
MDFI,VHL,any
USP6,EXOSC8,any
EXOSC8,TXNDC17,any
USP6,MDFI,any
>TXNDC17,3.1503631290811924
FHOD1,RANBP2,any
EXOSC8,FHOD1,any
TXNDC17,RUFY1,any
EXOSC8,TXNDC17,any
>MGAT1,4.750439959814948
DST,SH3BP5,any
SMAD9,DST,any
MGAT1,SMAD9,any
>MGAT1,4.179525979062243
SPTBN1,SH3BP5,any
SMAD9,SPTBN1,any
MGAT1,SMAD9,any
>MGAT1,4.075313538258143
DST,SH3BP5,any
PHKA2,SMAD9,any
SMAD9,DST,any
SMAD9,MGAT1,any
>MGAT1,4.101771514363263
DST,TRAF3IP1,any
SMAD9,DST,any
MGAT1,SMAD9,any
>MGAT1,4.169194283379621
MAPK6,MGAT1,any
MAPK6,DST,any
PPP1R7,MAPK6,any
>KEAP1,3.9205979458005205
DPP3,KEAP1,any
DPP3,HSPA8,any
KEAP1,SQSTM1,any
>KEAP1,3.741238211996945
DPP3,KEAP1,any
KEAP1,MAPKBP1,any
KEAP1,SQSTM1,any
>KEAP1,3.94853424193696
DPP3,KEAP1,any
KEAP1,SQSTM1,any
SQSTM1,PIK3CA,any
>KEAP1,3.918945558419164
PIK3CA,MTOR,any
SQSTM1,KEAP1,any
PIK3CA,SQSTM1,any
KEAP1,PRKAG1,any
>KEAP1,3.9867819956875947
SQSTM1,KEAP1,any
ARL8B,TGFBR1,any
TGFBR1,SQSTM1,any
>SIAH1,5.038307611944489
ZNF512B,PBRM1,any
SIAH1,ZNF512B,any
ZNF512B,VHL,any
DDX41,SIAH1,any
>SIAH1,5.067829302917405
ZNF512B,PBRM1,any
ZNF512B,SIAH1,any
ZNF512B,VHL,any
>SIAH1,4.419237635012401
SIAH1,ZNF512B,any
ZNF512B,VHL,any
NOL6,SIAH1,any
SIAH1,DDX41,any
>SIAH1,4.396801587296471
ZNF512B,PTPRF,any
PBRM1,ZNF512B,any
ZNF512B,SIAH1,any
ZNF512B,VHL,any
>SIAH1,4.372941052549542
VHL,TCEB1,any
SIAH1,ZNF512B,any
ZNF512B,VHL,any
DDX41,SIAH1,any
>SEC13,3.8020570835681924
TRAF5,TRAF6,any
SEC13,TRAF5,any
TRAF6,SQSTM1,any
SEC13,SEC16B,any
>SEC13,4.294313331507082
RAD23A,SQSTM1,any
SEC13,TRAF5,any
TRAF5,RAD23A,any
>SEC13,3.7818608267194413
RAD23A,SQSTM1,any
RAD23A,VAV2,any
TRAF5,SEC13,any
TRAF5,RAD23A,any
>SEC13,4.534864181113497
TRAF5,TRAF6,any
TRAF5,SEC13,any
TRAF6,SQSTM1,any
>SEC13,3.7582900322912076
THAP1,SLU7,any
SLU7,GOLGA2,any
SEC13,TRAF5,any
TRAF5,THAP1,any
>NRXN1,3.907283524714976
PDZD2,MDFI,any
MDFI,VHL,any
MDFI,ZNF564,any
PDZD2,NRXN1,any
>NRXN1,4.638472260194035
PDZD2,MDFI,any
MDFI,VHL,any
PDZD2,NRXN1,any
>NRXN1,3.7107778081552283
PDZD2,MDFI,any
MDFI,VHL,any
MDFI,C15ORF63,any
NRXN1,PDZD2,any
>NRXN1,4.053693686228752
PDZD2,MDFI,any
MDFI,VHL,any
PDZD2,NRXN1,any
MTFR1,PDZD2,any
>NRXN1,4.067426500060723
APC,FBXW11,any
MACF1,NRXN1,any
MACF1,APC,any
>MTOR,5.374221804962867
MTOR,HSP90AA1,any
TCEB1,VHL,any
HSP90AA1,TCEB1,any
>MTOR,4.690691679933296
MTOR,HSP90AA1,any
TCEB1,VHL,any
HSP90AA1,TCEB1,any
MTOR,PIK3CA,any
>MTOR,4.740496537453197
HIF1A,VHL,any
AKT1,HIF1A,any
AKT1,MTOR,any
>MTOR,4.576288063476716
PIK3CA,PGF,any
PIK3CA,MTOR,any
PIK3CA,SQSTM1,any
>MTOR,4.64409095449595
MTOR,PIK3CA,any
PIK3CA,SQSTM1,any
RICTOR,MTOR,any
>BPTF,4.129719753378652
BPTF,SQSTM1,any
SQSTM1,CDC37,any
CDC37,MTOR,any
>BPTF,3.9358922778700376
SQSTM1,BPTF,any
ITGB1,PIK3CA,any
PIK3CA,SQSTM1,any
>BPTF,3.944995138804944
BPTF,SQSTM1,any
SMAD2,FBN2,any
SQSTM1,SMAD2,any
>BPTF,4.002879575977818
BPTF,SQSTM1,any
SQSTM1,RELA,any
RELA,PIK3CA,any
>BPTF,4.098918910057561
BPTF,SQSTM1,any
PIK3CA,MTOR,any
SQSTM1,PIK3CA,any
SQSTM1,TRAF6,any
>VEGFA,5.067829302917405
VHL,VEGFA,any
ZNF512B,PBRM1,any
VHL,ZNF512B,any
>VEGFA,5.3335014729872094
FBXW11,KDR,any
VEGFA,VHL,any
KDR,VEGFA,any
>VEGFA,5.007864287706421
VEGFA,VHL,any
PTEN,PIK3CA,any
PIK3CA,VEGFA,any
>VEGFA,4.637912103387992
VEGFA,VHL,any
VHL,EPAS1,any
PIK3CA,VEGFA,any
>VEGFA,4.993632054036095
VEGFA,VHL,any
CTNNB1,VEGFA,any
CTNNB1,FBXW11,any
>KDR,4.816452436862253
TCEB1,VHL,any
EPAS1,KDR,any
VHL,EPAS1,any
>KDR,4.812105760177691
KDR,EPAS1,any
EPAS1,VHL,any
KDR,HSP90AA1,any
>KDR,5.761940663022009
FBXW11,KDR,any
KDR,EPAS1,any
EPAS1,VHL,any
>KDR,5.3335014729872094
FBXW11,KDR,any
VEGFA,VHL,any
KDR,VEGFA,any
>KDR,4.874741116087325
KDR,EPAS1,any
EPAS1,VHL,any
FLT4,KDR,any
>SMAD2,4.038126829493714
MAP1B,DYNC1H1,any
SMAD2,SQSTM1,any
DYNC1H1,SMAD2,any
>SMAD2,4.034227774614203
VEGFA,VHL,any
ROCK1,VEGFA,any
