GeneA	GeneB	MEScore
SH3BP5	SYNE1	5.741657386773941
TCEB1	VHL	8.09444155118492
HIF1A	TCEB2	0.0
VHL	ZNF512B	0.0
KDR	FBXW11	5.5901699437494745
SMAD2	SMAD4	0.0
FYN	VEGFA	0.0
SMAD4	SMAD9	0.0
SMAD9	SPTBN1	0.0
HIF1A	TP53	2.598076211353316
HIF1A	SMAD4	0.0
TP53	MLH1	5.506968025204252
DST	TNIK	3.4632418686616098
APC	DST	3.569952751303304
RBX1	TCEB1	0.0
SMAD4	SQSTM1	0.0
PIK3CA	SQSTM1	5.781014280564047
SMAD3	SMAD9	0.0
SIAH1	ZNF512B	0.0
APC	SPTBN1	2.342778860141484
CUL2	VHL	0.0
SMAD2	SKIL	0.0
SH3BP5	DISC1	0.0
HSP90AA1	KDR	2.118033988749895
BPTF	SQSTM1	5.724744871391589
SPTBN1	ZNF512B	0.0
SMAD2	TGFBR1	0.0
MDFI	PDZD2	0.0
KDR	PIK3CA	2.699172818834085
SMAD4	TGFBR1	0.0
EPAS1	SMAD3	0.0
SMAD3	SMAD4	0.0
SMAD1	ZNF512B	0.0
DST	SH3BP5	5.904365578208171
EPAS1	TCEB2	0.0
HSP90AA1	ZNF512B	0.0
SMAD2	SMAD3	0.0
HIF1A	HSP90AA1	1.8660254037844386
SMAD9	MGAT1	0.0
APC	GOLGA2	2.0907702751760278
ATN1	MDFI	0.0
ATN1	SIAH1	0.0
HIF1A	SMAD3	0.0
HSP90AA1	TCEB2	0.0
SMAD1	SMAD4	0.0
DST	MAPK6	0.0
FYN	PIK3CA	2.2882456112707374
EPAS1	VEGFA	0.0
RBX1	TCEB2	0.0
ESR2	ZNF512B	0.0
HIF1A	RBX1	0.0
SMAD3	SPTBN1	0.0
RBX1	VHL	0.0
FYN	DDX41	5.2347993502552566
TGFBR1	SQSTM1	0.0
TCEB1	TCEB2	0.0
HSP90AA1	MTOR	3.7838821814150108
DST	DISC1	0.0
CRK	PIK3CA	0.0
HIF1A	TCEB1	1.7320508075688772
TCEB1	TCEB2	0.0
TP53	APC	2.956795678960466
ABL1	DDX41	5.527692569068709
ARNT	EPAS1	2.118033988749895
HIF1A	VHL	7.202430145443967
CUL2	HIF1A	0.0
SKIL	UIMC1	0.0
SPTBN1	SH3BP5	4.7583240945932275
MGAT1	MAPK6	0.0
PIK3CA	MTOR	4.3650210114992
EPAS1	KDR	2.118033988749895
FBXW11	APC	5.5761726137816465
EPAS1	TCEB1	1.8660254037844386
TNIK	MACF1	2.9208096264818897
SMAD1	SQSTM1	0.0
HSP90AA1	TCEB1	1.8660254037844386
SMAD1	SMAD3	0.0
ARNT	SMAD9	0.0
SMAD2	SQSTM1	5.207106781186548
SQSTM1	GABARAPL2	0.0
SPTBN1	DISC1	0.0
TGFBR1	SPTBN1	0.0
CUL2	RBX1	0.0
SMAD4	SKIL	0.0
GOLGA2	SLU7	5.310122612442233
CUL2	TCEB2	0.0
TCEB2	VHL	0.0
SMAD2	SMAD9	0.0
SQSTM1	GABARAPL2	0.0
ARNT	HIF1A	1.9840593925343335
MDFI	VHL	0.0
SYNE1	DISC1	0.0
APC	EPAS1	2.224744871391589
ABL1	CRK	0.0
SKIL	MACF1	0.0
ARNT	KDR	2.23606797749979
SMAD3	SQSTM1	0.0
FYN	KDR	1.8251407699364424
APC	MACF1	3.0275205091235833
HIF1A	VEGFA	0.0
EPAS1	VHL	8.085789942881265
ARNT	SMAD3	0.0
PBRM1	ZNF512B	0.0
CRK	DDX41	0.0
TNIK	DISC1	0.0
HSP90AA1	VEGFA	0.0
ARNT	VEGFA	0.0
SMAD3	SKIL	0.0
APC	SYNE1	3.3460652149512313
ABL1	FYN	1.7071067811865475
TGFBR1	SMAD3	0.0
VEGFA	PIK3CA	0.0
ARNT	SMAD4	0.0
TNIK	SYNE1	3.2393543323095373
DST	SMAD9	0.0
VHL	VEGFA	0.0
SPTBN1	TNIK	2.23606797749979
SIAH1	DDX41	0.0
KDR	VEGFA	0.0
CUL2	TCEB1	0.0
MACF1	DISC1	0.0
