GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
VHL	0.5	true	-1	true	Set()	0.0
ZNF512B	0.5	true	-1	false	Set()	0.0
PBRM1	0.5	true	-1	true	Set()	0.0
EPAS1	0.5	true	-1	false	Set()	0.0
HIF1A	0.5	true	-1	true	Set()	0.0
MDFI	0.5	true	-1	false	Set()	0.0
APC	0.5	true	-1	true	Set()	0.0
TCEB1	0.5	true	-1	true	Set()	0.0
TCEB2	0.5	true	-1	true	Set()	0.0
SQSTM1	0.5	true	-1	false	Set()	0.0
FBXW11	0.5	true	-1	false	Set()	0.0
SH3BP5	0.5	true	-1	false	Set()	0.0
CUL2	0.5	true	-1	true	Set()	0.0
VEGFA	0.5	true	-1	true	Set()	0.0
ARNT	0.5	true	-1	true	Set()	0.0
TP53	0.5	true	-1	true	Set()	0.0
DST	0.5	true	-1	true	Set()	0.0
DDX41	0.5	true	-1	true	Set()	0.0
PIK3CA	0.5	true	-1	true	Set()	0.0
ESR2	0.5	true	-1	false	Set()	0.0
KDR	0.5	true	-1	true	Set()	0.0
SYNE1	0.5	true	-1	true	Set()	0.0
MTOR	0.5	true	-1	true	Set()	0.0
SIAH1	0.5	true	-1	false	Set()	0.0
SPTBN1	0.5	true	-1	false	Set()	0.0
MLH1	0.5	true	-1	true	Set()	0.0
SMAD3	0.5	true	-1	true	Set()	0.0
SMAD9	0.5	true	-1	false	Set()	0.0
SMAD1	0.5	true	-1	false	Set()	0.0
MGAT1	0.5	true	-1	false	Set()	0.0
RBX1	0.5	true	-1	false	Set()	0.0
ABL1	0.5	true	-1	true	Set()	0.0
UIMC1	0.5	true	-1	false	Set()	0.0
BPTF	0.5	true	-1	true	Set()	0.0
CRK	0.5	true	-1	false	Set()	0.0
GABARAPL2	0.5	true	-1	false	Set()	0.0
HSP90AA1	0.5	true	-1	true	Set()	0.0
MACF1	0.5	true	-1	true	Set()	0.0
DISC1	0.5	true	-1	false	Set()	0.0
TGFBR1	0.5	true	-1	false	Set()	0.0
SMAD4	0.5	true	-1	true	Set()	0.0
SKIL	0.5	true	-1	false	Set()	0.0
MAPK6	0.5	true	-1	false	Set()	0.0
SMAD2	0.5	true	-1	true	Set()	0.0
SLU7	0.5	true	-1	false	Set()	0.0
GOLGA2	0.5	true	-1	false	Set()	0.0
RUFY1	0.5	true	-1	true	Set()	0.0
TNIK	0.5	true	-1	false	Set()	0.0
FYN	0.5	true	-1	true	Set()	0.0
ATN1	0.5	true	-1	false	Set()	0.0
PDZD2	0.5	true	-1	true	Set()	0.0
