Gene	VHL	ZNF512B	PBRM1	EPAS1	HIF1A	MDFI	APC	TCEB1	TCEB2	SQSTM1	FBXW11	SH3BP5	CUL2	VEGFA	ARNT	TP53	DST	DDX41	PIK3CA	ESR2	KDR	SYNE1	MTOR	SIAH1	SPTBN1	MLH1	SMAD3	SMAD9	SMAD1	MGAT1	RBX1	ABL1	UIMC1	BPTF	CRK	GABARAPL2	HSP90AA1	MACF1	DISC1	TGFBR1	SMAD4	SKIL	MAPK6	SMAD2	SLU7	GOLGA2	RUFY1	TNIK	FYN	ATN1	PDZD2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0
GeneName	VHL	ZNF512B	PBRM1	EPAS1	HIF1A	MDFI	APC	TCEB1	TCEB2	SQSTM1	FBXW11	SH3BP5	CUL2	VEGFA	ARNT	TP53	DST	DDX41	PIK3CA	ESR2	KDR	SYNE1	MTOR	SIAH1	SPTBN1	MLH1	SMAD3	SMAD9	SMAD1	MGAT1	RBX1	ABL1	UIMC1	BPTF	CRK	GABARAPL2	HSP90AA1	MACF1	DISC1	TGFBR1	SMAD4	SKIL	MAPK6	SMAD2	SLU7	GOLGA2	RUFY1	TNIK	FYN	ATN1	PDZD2
MutualExclScore	102.2822261072261	0.3333333333333333	68.97937617937623	2.533333333333333	0.9102564102564101	0.0	3.9242424242424243	2.5	0.5	10.01000388500388	10.18500388500388	15.196969696969695	1.0	0.0	2.2916666666666665	7.533333333333333	11.172222222222222	10.343337218337213	3.826923076923077	0.43333333333333335	3.25	7.632575757575757	15.058333333333335	0.0	2.2666666666666666	16.3969696969697	0.3333333333333333	0.16666666666666666	0.0	10.01000388500388	0.0	1.0	11.593337218337213	2.6666666666666665	0.0	0.0	0.9166666666666666	4.588034188034189	0.5	0.0	1.0	1.0	0.0	0.5333333333333333	11.458813408813404	1.0	10.343337218337213	2.0166666666666666	1.5	2.716666666666667	3.0963675213675215
MutQty	209	1	138	4	3	0	6	3	1	81	80	57	1	0	5	12	22	82	10	2	5	18	31	0	5	57	1	1	0	81	0	4	85	6	0	0	4	13	1	0	1	1	0	2	79	3	82	5	2	7	11
TCGA-BP-4161-01	1		1	1								1														1																									
TCGA-CJ-6033-01	1		1		1					1	1							1	1											1			1					1							1		1				1
TCGA-CJ-4634-01	1		1		1																																														
TCGA-CZ-5466-01	1		1				1																																												
TCGA-A3-3362-01	1		1							1	1	1						1								1				1			1												1		1				
TCGA-B0-5085-01	1		1							1	1	1						1								1				1			1												1		1				
TCGA-B0-4842-01	1		1							1	1							1							1					1			1												1		1				
TCGA-BP-5198-01	1		1							1	1							1												1			1												1		1				
TCGA-BP-4982-01	1		1							1	1							1												1			1												1		1				
TCGA-B0-5711-01	1		1							1	1							1												1			1												1		1				
TCGA-CZ-5455-01	1		1							1	1							1												1			1												1		1				
TCGA-BP-5183-01	1		1							1	1							1												1			1												1		1				
TCGA-AK-3458-01	1		1							1	1							1												1			1												1		1				
TCGA-B0-4847-01	1		1							1	1							1												1			1														1				
TCGA-CZ-5460-01	1		1									1										1				1																									
TCGA-B0-5696-01	1		1									1											1			1						1																			
TCGA-CJ-4920-01	1		1									1														1						1					1														
TCGA-CW-6093-01	1		1									1														1												1													
TCGA-CZ-5465-01	1		1									1														1																									1
TCGA-BP-5186-01	1		1									1														1																									
TCGA-B0-5705-01	1		1									1														1																									
TCGA-B0-5115-01	1		1									1																										1						1							
TCGA-BP-4329-01	1		1												1																																				
TCGA-A3-3383-01	1		1													1																																			
TCGA-CJ-4903-01	1		1														1																																		
TCGA-BP-5200-01	1		1														1																																		
TCGA-BP-4164-01	1		1														1																																		
TCGA-B0-5713-01	1		1																1																																
TCGA-BP-4960-01	1		1																1																																
TCGA-BP-4341-01	1		1																			1																													
TCGA-B4-5836-01	1		1																				1																									1			
TCGA-CJ-5679-01	1		1																				1																												
TCGA-B0-4852-01	1		1																				1																												
TCGA-CJ-4644-01	1		1																				1																												
TCGA-B4-5832-01	1		1																				1																												
TCGA-CW-5580-01	1		1																				1																												
TCGA-B0-4706-01	1		1																						1																										
TCGA-BP-4159-01	1		1																													1																			
TCGA-A3-3378-01	1		1																													1																			
TCGA-B0-4816-01	1		1																																			1													
TCGA-B0-5116-01	1		1																																			1													
TCGA-BP-4975-01	1		1																																			1													
TCGA-BP-5187-01	1		1																																										1						
TCGA-CZ-5986-01	1		1																																											1					
TCGA-A3-3382-01	1		1																																												1				
TCGA-CJ-4912-01	1		1																																													1			
TCGA-CJ-5676-01	1		1																																													1			
TCGA-BP-4999-01	1		1																																																
TCGA-B0-5695-01	1		1																																																
TCGA-CJ-4908-01	1		1																																																
TCGA-CJ-4875-01	1		1																																																
TCGA-B8-4148-01	1		1																																																
TCGA-BP-5169-01	1		1																																																
TCGA-B0-5110-01	1		1																																																
TCGA-CJ-5684-01	1		1																																																
TCGA-B0-5699-01	1		1																																																
TCGA-B0-4828-01	1		1																																																
TCGA-B0-5710-01	1		1																																																
TCGA-B8-4154-01	1		1																																																
TCGA-A3-3331-01	1		1																																																
TCGA-BP-5184-01	1		1																																																
TCGA-B0-5703-01	1		1																																																
TCGA-CJ-6030-01	1		1																																																
TCGA-CZ-4853-01	1		1																																																
TCGA-CZ-5470-01	1		1																																																
TCGA-A3-3372-01	1		1																																																
TCGA-BP-5181-01	1		1																																																
TCGA-B0-5399-01	1		1																																																
TCGA-CZ-5982-01	1		1																																																
TCGA-BP-5170-01	1		1																																																
TCGA-CZ-5989-01	1		1																																																
TCGA-BP-4995-01	1		1																																																
TCGA-EU-5907-01	1		1																																																
TCGA-B0-5113-01	1		1																																																
TCGA-B0-5104-01	1		1																																																
TCGA-BP-5180-01	1		1																																																
TCGA-BP-4989-01	1		1																																																
TCGA-B0-5096-01	1		1																																																
TCGA-BP-4988-01	1		1																																																
TCGA-B0-5107-01	1		1																																																
TCGA-A3-3373-01	1		1																																																
TCGA-BP-4964-01	1		1																																																
TCGA-B0-4818-01	1		1																																																
TCGA-B0-5693-01	1		1																																																
TCGA-CJ-4918-01	1				1																																														
TCGA-B0-5812-01	1						1			1	1	1						1								1				1			1												1		1				
TCGA-BP-4967-01	1								1																																										
TCGA-CZ-4861-01	1									1	1	1						1				1				1				1			1												1		1				
TCGA-B0-5691-01	1									1	1	1						1					1							1			1												1		1				
TCGA-BP-4162-01	1									1	1	1						1								1				1			1												1		1				
TCGA-BP-4355-01	1									1	1	1						1								1				1			1												1		1				
TCGA-EU-5904-01	1									1	1	1						1								1				1			1												1		1				
TCGA-BP-5190-01	1									1	1						1	1												1			1												1		1				
TCGA-BP-4167-01	1									1	1							1		1		1								1			1												1		1				
TCGA-CJ-4638-01	1									1	1							1				1								1			1														1				
TCGA-A3-3316-01	1									1	1							1												1			1					1							1		1				
TCGA-B0-5402-01	1									1	1							1												1			1												1		1				1
TCGA-B0-5709-01	1									1	1							1												1			1												1		1				
TCGA-AK-3451-01	1									1	1							1												1			1												1		1				
TCGA-EU-5906-01	1									1	1							1												1			1												1		1				
TCGA-BP-5006-01	1									1	1							1												1			1												1		1				
TCGA-CZ-5984-01	1									1	1							1												1			1												1		1				
TCGA-B0-5081-01	1									1	1							1												1			1												1		1				
TCGA-CW-5588-01	1									1	1							1												1			1												1		1				
TCGA-BP-4986-01	1									1	1							1												1			1												1		1				
TCGA-BP-4974-01	1									1	1							1												1			1												1		1				
TCGA-B0-4945-01	1									1	1							1												1			1												1		1				
TCGA-CJ-4884-01	1									1	1							1												1			1												1		1				
TCGA-CJ-6031-01	1									1	1							1												1			1												1		1				
TCGA-CZ-5985-01	1									1	1							1												1			1												1		1				
TCGA-BP-5008-01	1									1	1							1												1			1												1		1				
TCGA-BP-4977-01	1									1	1							1												1			1												1		1				
TCGA-B0-5102-01	1									1	1							1												1			1												1		1				
TCGA-BP-4166-01	1									1	1							1												1			1												1		1				
TCGA-CJ-4637-01	1									1	1							1												1			1												1		1				
TCGA-A3-3376-01	1									1	1							1												1			1												1		1				
TCGA-CW-5591-01	1											1					1									1																									
TCGA-BP-5192-01	1											1									1					1																									
TCGA-BP-5001-01	1											1											1			1																									
TCGA-BP-5007-01	1											1											1			1																									
TCGA-B0-4814-01	1											1														1							1																		
TCGA-A3-3308-01	1											1														1																								1	
TCGA-BP-5177-01	1											1														1																									
TCGA-B0-4714-01	1											1														1																									
TCGA-CW-5581-01	1											1														1																									
TCGA-BP-4349-01	1											1														1																									
TCGA-B8-4153-01	1											1														1																									
TCGA-CJ-4900-01	1											1														1																									
TCGA-BP-4759-01	1											1														1																									
TCGA-AK-3444-01	1											1														1																									
TCGA-B8-5165-01	1											1														1																									
TCGA-CJ-4872-01	1											1														1																									
TCGA-A3-3349-01	1											1														1																									
TCGA-BP-4968-01	1											1														1																									
TCGA-AS-3778-01	1															1	1					1																												1	
TCGA-CJ-5677-01	1															1	1																																		
TCGA-B0-4710-01	1															1																																			
TCGA-CZ-4856-01	1																1																																		
TCGA-B8-5159-01	1																		1																																
TCGA-BP-4965-01	1																			1																															1
TCGA-B0-4712-01	1																				1																														
TCGA-CZ-5457-01	1																				1																														
TCGA-BP-5176-01	1																						1																					1							
TCGA-BP-5175-01	1																						1																												1
TCGA-CZ-5987-01	1																						1																												
TCGA-B0-4827-01	1																						1																												
TCGA-B0-4810-01	1																						1																												
TCGA-CJ-6027-01	1																						1																												
TCGA-B0-5106-01	1																								1																										
TCGA-B0-5097-01	1																																1																		
TCGA-B8-5162-01	1																																1																		
TCGA-B8-4621-01	1																																	1												1					
TCGA-B0-4823-01	1																																	1																	
TCGA-B0-4819-01	1																																					1													
TCGA-B8-5549-01	1																																					1													
TCGA-BP-5174-01	1																																						1												
TCGA-B0-5095-01	1																																																1		
TCGA-EU-5905-01	1																																																		1
TCGA-B0-5099-01	1																																																		
TCGA-B4-5843-01	1																																																		
TCGA-BP-4963-01	1																																																		
TCGA-B0-5692-01	1																																																		
TCGA-BP-4970-01	1																																																		
TCGA-B0-4845-01	1																																																		
TCGA-BP-4976-01	1																																																		
TCGA-B0-5075-01	1																																																		
TCGA-CW-5583-01	1																																																		
TCGA-B8-4151-01	1																																																		
TCGA-BP-4991-01	1																																																		
TCGA-CJ-6032-01	1																																																		
TCGA-B2-5635-01	1																																																		
TCGA-BP-4992-01	1																																																		
TCGA-CZ-4858-01	1																																																		
TCGA-B0-4700-01	1																																																		
TCGA-BP-5195-01	1																																																		
TCGA-B0-5088-01	1																																																		
TCGA-BP-5004-01	1																																																		
TCGA-B8-5551-01	1																																																		
TCGA-B8-5163-01	1																																																		
