GeneA	GeneB	MEScore
SH3BP5	SYNE1	5.741657386773941
TRAF3IP1	EXOC1	0.0
GSK3B	TP53	2.850084796318772
TCEB1	VHL	8.09444155118492
HIF1A	TCEB2	0.0
SQSTM1	GABARAPL1	0.0
VHL	ZNF512B	0.0
KDR	FBXW11	5.5901699437494745
SMAD2	SMAD4	0.0
AKT1	TRAF6	1.5731321849709863
XRCC6	CMTM6	0.0
CTNNB1	FBXW11	0.0
FYN	VEGFA	0.0
SMAD4	SMAD9	0.0
SEC13	SEC16B	4.547679655120851
TNKS	TNIK	2.118033988749895
SMAD2	SMURF2	1.4142135623730951
SEC13	TRAF5	4.958606862684199
SMAD9	SPTBN1	0.0
HIF1A	TP53	2.598076211353316
HIF1A	SMAD4	0.0
MTOR	RELA	3.6273656580812537
SPTBN1	TRAF3IP1	2.699172818834085
CRK	ATXN1	0.0
CDC5L	SPTBN1	0.0
SQSTM1	TRAF6	5.207106781186548
TP53	MLH1	5.506968025204252
DST	TNIK	3.4632418686616098
APC	DST	3.569952751303304
APC	GSK3B	2.342778860141484
TNKS	DISC1	0.0
CDC5L	GOLGA2	0.0
TRAF6	TP53	2.4391575887554247
RBX1	TCEB1	0.0
SMAD4	SQSTM1	0.0
PIK3CA	SQSTM1	5.781014280564047
SMAD3	SMAD9	0.0
SIAH1	ZNF512B	0.0
GABARAPL1	KRTAP10-3	0.0
APC	SPTBN1	2.342778860141484
CUL2	VHL	0.0
SMAD2	SKIL	0.0
IRAK1	TRAF6	1.5731321849709863
GOLGA2	RAB39B	1.5731321849709863
SH3BP5	DISC1	0.0
GRB2	SPTBN1	0.0
HSP90AA1	KDR	2.118033988749895
XRCC6	SMAD3	0.0
BPTF	SQSTM1	5.724744871391589
SPTBN1	ZNF512B	0.0
SMAD2	TGFBR1	0.0
MDFI	PDZD2	0.0
KDR	PIK3CA	2.699172818834085
CTNNB1	KDR	0.0
VEGFA	SOS1	0.0
SMAD4	TGFBR1	0.0
SMAD3	SMURF1	0.0
GRB2	GRIP2	0.0
SQSTM1	MAP1LC3B	0.0
GRB2	SOS1	0.0
APC	CTNNB1	0.0
MTOR	GSK3B	3.9019161701649057
DISC1	EXOC1	0.0
GRB2	SMAD3	0.0
EPAS1	SMAD3	0.0
NRXN1	SIPA1L1	2.57577196246122
SMAD3	SMAD4	0.0
SMAD1	ZNF512B	0.0
CDC5L	DISC1	0.0
TRAF6	RELA	1.7071067811865475
FBXW11	GLI3	5.47213595499958
SMAD2	SMURF1	0.0
EGFR	GRB2	0.0
DST	SH3BP5	5.904365578208171
EPAS1	TCEB2	0.0
HSP90AA1	ZNF512B	0.0
SOS1	AKT1	1.9840593925343335
SMAD2	SMAD3	0.0
HIF1A	HSP90AA1	1.8660254037844386
SMAD9	MGAT1	0.0
TGFBR1	CTNNB1	0.0
APC	GOLGA2	2.0907702751760278
ATN1	MDFI	0.0
ATN1	SIAH1	0.0
HIF1A	SMAD3	0.0
TP53	XRCC6	0.0
NRXN1	PDZD2	2.883057266569289
HSP90AA1	TCEB2	0.0
NRXN1	MACF1	3.0275205091235833
SMAD1	SMAD4	0.0
KDM3B	ZNF512B	0.0
CTNNB1	EGFR	0.0
DST	MAPK6	0.0
EXOSC8	TXNDC17	0.0
FYN	PIK3CA	2.2882456112707374
EPAS1	VEGFA	0.0
XRCC6	SKIL	0.0
RBX1	TCEB2	0.0
ESR2	ZNF512B	0.0
HIF1A	RBX1	0.0
SMAD3	SPTBN1	0.0
RBX1	VHL	0.0
EGFR	HSP90AA1	2.3228756555322954
FYN	DDX41	5.2347993502552566
SMAD1	SMURF1	0.0
NRXN1	MYO16	2.449489742783178
TGFBR1	SQSTM1	0.0
SMURF2	TGFBR1	0.0
TCEB1	TCEB2	0.0
CTNNB1	VEGFA	0.0
HSP90AA1	MTOR	3.7838821814150108
DST	DISC1	0.0
CRK	PIK3CA	0.0
HIF1A	TCEB1	1.7320508075688772
SQSTM1	KEAP1	4.9860896112315904
TCEB1	TCEB2	0.0
EPAS1	FLT1	2.3228756555322954
TP53	APC	2.956795678960466
ABL1	DDX41	5.527692569068709
ARNT	EPAS1	2.118033988749895
HIF1A	VHL	7.202430145443967
DDX41	CEP70	0.0
SEC13	SEC16B	4.547679655120851
CUL2	HIF1A	0.0
SQSTM1	TOE1	0.0
AKT1	HSP90AA1	1.8660254037844386
AKT1	HIF1A	1.7320508075688772
CDC5L	SH3BP5	0.0
SKIL	UIMC1	0.0
EGFR	SOS1	2.4409096442821903
SPTBN1	SH3BP5	4.7583240945932275
MGAT1	MAPK6	0.0
PIK3CA	MTOR	4.3650210114992
EPAS1	KDR	2.118033988749895
SQSTM1	RELA	5.5
FBXW11	APC	5.5761726137816465
EGFR	PLCG2	2.029982436718843
MACF1	EXOC1	0.0
EPAS1	TCEB1	1.8660254037844386
TNIK	MACF1	2.9208096264818897
SMAD1	SQSTM1	0.0
PIK3CA	SOS1	2.699172818834085
HSP90AA1	TCEB1	1.8660254037844386
EGFR	MTOR	4.106757836947306
TP53	EGFR	2.9203273671729058
TNKS	SH3BP5	4.448764167960489
SMAD1	SMAD3	0.0
APH1B	TRAF6	1.5731321849709863
ARNT	SMAD9	0.0
SH3BP5	PLCG2	4.2583240945932275
SMAD2	SQSTM1	5.207106781186548
SQSTM1	GABARAPL2	0.0
SPTBN1	DISC1	0.0
CTNNB1	TNIK	0.0
TGFBR1	SPTBN1	0.0
SOS1	MTOR	3.9019161701649057
APH1B	FBXW11	4.944097208657794
GABARAPL2	TBC1D9B	0.0
UBC	SQSTM1	5.193196392418138
MACF1	TRAF3IP1	3.1462643699419726
CUL2	RBX1	0.0
SQSTM1	GABARAPL1	0.0
TRAF3IP1	DISC1	0.0
SMAD4	SKIL	0.0
GSK3B	GLI3	2.118033988749895
SQSTM1	PPHLN1	5.207106781186548
CRK	SOS1	0.0
CTNNB1	GSK3B	0.0
TRAF5	TRAF6	1.8251407699364424
GOLGA2	SLU7	5.310122612442233
CDC5L	SYNE1	0.0
CUL2	TCEB2	0.0
TCEB2	VHL	0.0
SMAD2	SMAD9	0.0
AP2B1	APC	2.0907702751760278
RUFY1	TXNDC17	0.0
SQSTM1	GABARAPL2	0.0
APH1B	CTNNB1	0.0
ARNT	HIF1A	1.9840593925343335
SMAD1	SMURF2	0.0
ATXN1	SETD2	4.13493408138707
ARNT	FLT1	2.4409096442821903
FYN	SOS1	1.8251407699364424
GFI1B	GRIP2	4.482023998821923
CRK	GRIP2	0.0
SMURF1	SMAD4	0.0
MDFI	VHL	0.0
SYNE1	DISC1	0.0
APC	EPAS1	2.224744871391589
XRCC6	ZNF512B	0.0
ABL1	EGFR	2.3228756555322954
ABL1	CRK	0.0
DST	CDC5L	0.0
PIK3CA	AKT1	2.4471642338686284
SKIL	MACF1	0.0
ARNT	KDR	2.23606797749979
AP2B1	SMURF1	0.0
SMAD3	SQSTM1	0.0
CANX	SMURF2	5.2347993502552566
FYN	KDR	1.8251407699364424
FYN	ATXN1	1.4142135623730951
APC	MACF1	3.0275205091235833
GRB2	UBC	0.0
FLT1	PIK3CA	2.765848372133833
NCSTN	TRAF6	1.7071067811865475
HIF1A	VEGFA	0.0
HIF1A	FLT1	2.188901059316734
EPAS1	VHL	8.085789942881265
TRAF5	TRAF6	1.8251407699364424
ABL1	GRIP2	4.448764167960489
SH3BP5	EXOC1	0.0
ARNT	SMAD3	0.0
CDC5L	TRAF3IP1	0.0
PBRM1	ZNF512B	0.0
CRK	DDX41	0.0
PIK3CA	RELA	2.58113883008419
IRAK1	SQSTM1	5.193196392418138
TNIK	DISC1	0.0
GRB2	PLCG2	0.0
SOS1	SH3BP5	4.7583240945932275
HSP90AA1	VEGFA	0.0
ARNT	VEGFA	0.0
SMAD3	SKIL	0.0
AKT1	MTOR	3.6499075851994496
APC	SYNE1	3.3460652149512313
RUFY1	RAB39B	5.2347993502552566
AP2B1	SMAD4	0.0
ABL1	FYN	1.7071067811865475
SMURF1	TGFBR1	0.0
AKT1	GSK3B	1.9840593925343335
MLH1	MSH3	4.482023998821923
NCSTN	CTNNB1	0.0
MSH3	PCNA	1.4142135623730951
TGFBR1	SMAD3	0.0
VEGFA	PIK3CA	0.0
GOLGA2	RAB39B	1.5731321849709863
SLU7	CEP70	0.0
ARNT	SMAD4	0.0
SQSTM1	SMURF1	0.0
PLCG2	ZNF512B	0.0
CDC5L	MACF1	0.0
DST	TRAF3IP1	3.818404623873926
FLT1	VEGFA	0.0
CDC5L	EXOC1	0.0
TNIK	SYNE1	3.2393543323095373
ABL1	GRB2	0.0
NCSTN	FBXW11	5.32416402881619
DST	SMAD9	0.0
DST	EXOC1	0.0
CRK	EGFR	0.0
VHL	VEGFA	0.0
SPTBN1	TNIK	2.23606797749979
FLT1	KDR	2.4409096442821903
SIAH1	DDX41	0.0
SMAD3	SMURF2	0.0
AP2B1	MLH1	4.640942621419813
KDR	VEGFA	0.0
KDR	SOS1	2.23606797749979
CUL2	TCEB1	0.0
APH1B	NCSTN	1.8660254037844386
MACF1	DISC1	0.0
SOS1	TNIK	2.23606797749979
TP53	PCNA	2.4391575887554247
