SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	VHL
2	1	1	50	VHL,ZNF512B
3	2	1	66	VHL,PBRM1,ZNF512B
4	2	2	50	VHL,PBRM1,ZNF512B,EPAS1
5	3	2	60	VHL,PBRM1,HIF1A,ZNF512B,EPAS1
6	3	3	50	VHL,PBRM1,HIF1A,ZNF512B,EPAS1,MDFI
7	4	3	57	VHL,PBRM1,HIF1A,APC,ZNF512B,EPAS1,MDFI
8	5	3	62	VHL,PBRM1,TCEB1,HIF1A,APC,ZNF512B,EPAS1,MDFI
10	6	4	60	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,ZNF512B,EPAS1,MDFI,SQSTM1
11	6	5	54	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,ZNF512B,EPAS1,MDFI,FBXW11,SQSTM1
12	6	6	50	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1
13	7	6	53	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1
15	9	6	60	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1
16	10	6	62	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,TP53,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1
17	11	6	64	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,DST,TP53,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1
18	12	6	66	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,DST,TP53,DDX41,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1
19	13	6	68	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,DST,TP53,DDX41,PIK3CA,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1
21	14	7	66	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,DST,TP53,DDX41,KDR,PIK3CA,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1,ESR2
22	15	7	68	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,DST,TP53,DDX41,KDR,PIK3CA,SYNE1,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1,ESR2
23	16	7	69	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,DST,TP53,DDX41,KDR,PIK3CA,SYNE1,MTOR,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1,ESR2
24	16	8	66	VHL,PBRM1,TCEB1,HIF1A,TCEB2,APC,CUL2,ARNT,VEGFA,DST,TP53,DDX41,KDR,PIK3CA,SYNE1,MTOR,ZNF512B,EPAS1,MDFI,FBXW11,SH3BP5,SQSTM1,ESR2,SIAH1
