GeneA	GeneB	MEScore
CTR9	CNTNAP2	0.0
EGFR	ANKS1B	2.224744871391589
NTRK1	PTPRB	2.0
HSP90AA1	TERT	2.0
CDC42	GRB2	0.0
SOS1	A2M	2.0
CRK	SOS1	0.0
MAX	ITGB1	0.0
PLXND1	MACF1	0.0
ABL1	GRB2	0.0
PPP1CA	YLPM1	0.0
KDR	SRC	0.0
CACNA1A	AGRN	2.23606797749979
PTPRC	TEC	2.118033988749895
CTNNB1	JUN	0.0
EGF	EGFR	2.224744871391589
JUN	MACF1	0.0
ZNFX1	MEGF10	2.414213562373095
JUN	TP53	0.0
LRP1	SKIL	0.0
GRB2	WASL	0.0
MAX	TSC2	2.0
MLST8	CLIP1	0.0
NCK1	SOS1	0.0
LRP1	PDGFRB	0.0
HSP90AA1	SRC	0.0
PIK3CA	PIK3R1	0.0
UBE2I	XPO1	0.0
SMC3	DISC1	0.0
SPAM1	EMG1	2.224744871391589
PIK3CA	SRC	0.0
TP53	TSC2	2.414213562373095
CDH2	CTNNB1	0.0
FYN	SOS1	0.0
RICTOR	SGK1	0.0
EGF	SOS1	2.0
CUX1	MAX	2.414213562373095
PAK1	RHOA	0.0
JAK1	SOS1	2.0
MLST8	MTOR	0.0
KDR	NCK1	0.0
KDR	ROCK1	2.118033988749895
RANBP2	AKAP13	2.414213562373095
SMAD3	SKIL	0.0
GRB2	SMAD3	0.0
JAK2	PIK3CA	2.541103500742244
NRXN1	PDZD2	2.53224755112299
LAMA3	SDC4	0.0
FLT4	KDR	2.4409096442821903
DSCAML1	MAGI3	2.224744871391589
SART3	MEGF10	2.118033988749895
CDH2	PTPRC	2.23606797749979
CDC42	RIF1	0.0
PIK3R1	PTEN	0.0
FLT1	PIK3R1	0.0
SMAD3	SPTBN1	0.0
SPTBN1	SREBF2	2.118033988749895
CTNNB1	RHOA	0.0
SMC3	TRAF3IP1	0.0
CTNNB1	EGF	0.0
AKT1	MLST8	0.0
MYC	HSP90AA1	0.0
APC	ANKRD17	2.5476205269238843
TBC1D4	EP400	0.0
CDC42	WASL	0.0
DST	NFYC	0.0
ITGB1	JAK2	0.0
CLTC	WNK1	2.342778860141484
FYN	MED14	0.0
PAK1	PIK3R1	0.0
ATM	RAD50	2.732050807568877
TP53	UBE2I	0.0
APC	NEB	2.8058837014757785
CTNNB1	VCAN	0.0
SOS1	PAK1	0.0
RANBP10	THSD7B	0.0
SKIL	SVEP1	0.0
ABL1	ERBB4	0.0
ATXN1	UBE2I	0.0
COL1A2	FLT4	2.6457513110645907
JAK1	RHOA	0.0
SMAD2	SMAD9	0.0
XPO1	CTNNB1	0.0
ATM	BARD1	2.5616078995657556
SREBF2	UBE2I	0.0
ABL1	FYN	0.0
DAXX	MYH11	2.224744871391589
BRCA1	MYC	0.0
ANK2	TNIK	2.5
MTOR	IRS1	3.692582403567252
CACNA1A	HIVEP1	2.342778860141484
ITGB1	LAMA3	0.0
RAD50	TERF2	0.0
GRIN2B	PTPRJ	2.0
GRB2	SOS1	0.0
NCK1	MED14	0.0
CTNND1	PIK3R1	0.0
ATXN1	WNK1	0.0
SRC	SGK1	0.0
ATXN7	VWF	0.0
FYN	PIK3CA	0.0
EGF	PAK1	0.0
ERBB2	HSP90AA1	2.0
SREBF2	ATF7IP	2.118033988749895
DYNC1H1	NDEL1	0.0
APC	DST	3.224744871391589
BRCA1	NCK1	0.0
APC	EXPH5	2.342778860141484
MYC	PDGFRB	0.0
SMARCA4	TP53	2.914213562373095
A2M	CDC42	0.0
EGFR	RAC1	0.0
FBN2	SMAD2	0.0
SPTBN1	TRAF3IP1	0.0
ATF7IP	KIF13A	2.1726039399558577
EGF	MTOR	3.535294966792266
ESR2	ZNF512B	0.0
ERBB2	PIK3R1	0.0
EGFR	IRS1	2.224744871391589
SMAD3	MCM3AP	0.0
MTOR	CLIP1	3.692582403567252
CHD3	RIF1	2.0
MYC	TERT	0.0
TBC1D4	NFAT5	0.0
BARD1	TOPBP1	2.0
ERBB2	GRB2	0.0
CTNNB1	PTPRB	0.0
PIK3CA	PTEN	3.517630503187898
SPTBN1	TNIK	2.118033988749895
ABL1	SRC	0.0
VAV2	BOD1L	0.0
SMC3	CEP63	0.0
PPP1CA	SMAD1	0.0
JAK2	PIK3R1	0.0
ERBB4	ANKS1B	2.118033988749895
CTNND1	SRC	0.0
FYN	GRIN2B	0.0
CTNNB1	SRC	0.0
ITGA1	KDR	0.0
PTPN12	TEC	0.0
PIK3CA	RHOA	0.0
IRS1	SOS1	2.0
CDH2	PTPRJ	2.118033988749895
SMAD3	SVEP1	0.0
FLT4	ITGB1	0.0
ATM	TP53	3.1462643699419726
EGFR	ERBB2	2.224744871391589
ERBB2	VAV2	0.0
CDC42	CTNNB1	0.0
MYC	TSC2	0.0
AKAP13	RHOA	0.0
SMAD2	SKIL	0.0
MAPK14	JUN	0.0
SMAD9	SPTBN1	0.0
EGFR	PTPRB	2.224744871391589
BARD1	SPAG5	2.0
ATXN7	LTBP4	0.0
OGT	TET2	2.414213562373095
ITGA6	PIK3CA	2.58113883008419
ERBB2	JAK1	1.801439750477924
ATM	BRCA1	2.732050807568877
ABL1	PTPN4	0.0
ITGA6	PIK3R1	0.0
SMAD1	PAK1	0.0
MYC	ITGA6	0.0
NTRK1	PTPRC	2.118033988749895
CELSR3	UACA	2.118033988749895
JUN	MYC	0.0
APC	TAF1	0.0
MAPK14	HIVEP1	0.0
APC	RAC1	0.0
MLST8	SGK1	0.0
RHOA	ROCK1	0.0
A2M	ATF7IP	2.118033988749895
IRS1	JAK1	2.0
HSP90AA1	MTOR	3.692582403567252
ERBB2	TEC	1.801439750477924
PIK3R1	MTOR	0.0
DYNC1H1	DISC1	0.0
SDC4	PAK1	0.0
SMAD9	HUWE1	0.0
CDH2	CTNND1	2.118033988749895
CDH2	RHOA	0.0
DYNC1H1	SMAD2	0.0
BRCA1	NF1	2.038629343740296
SMAD9	MCM3AP	0.0
ATR	TP53	2.4873403825128104
DYNC1H1	TNIK	2.3228756555322954
PIK3CA	MTOR	4.273721233651441
CELSR3	NCK1	0.0
CTNNB1	KDR	0.0
HSPG2	ATF7IP	2.1726039399558577
ANK2	NCK1	0.0
SREBF2	ZMYM2	2.3228756555322954
HSP90AA1	ROCK1	2.0
AKAP9	DISC1	0.0
CRK	ATXN1	0.0
CELSR3	IFT140	2.342778860141484
MAX	TP53	2.235331797547354
BARD1	BRCA1	2.0
CDC42	SYNE1	0.0
PRKDC	TP53	2.7370892179053907
PDGFRB	PIK3R1	0.0
ERBB2	PTPRJ	2.0
MAX	NFYC	0.0
MACF1	CEP63	0.0
CRK	EGFR	0.0
EGFR	JAK2	2.342778860141484
GRB2	WASL	0.0
TP53	EGFR	2.6389584337646843
DST	DISC1	0.0
LAMA4	UBR1	2.4409096442821903
CDC5L	SYNE1	0.0
CDH2	PTPRB	2.118033988749895
GRIN2B	PTPRC	2.118033988749895
SMAD1	SMAD3	0.0
CRK	RHOA	0.0
ATRX	PTPN4	2.414213562373095
GFI1B	LTBP4	0.0
CUL7	MEGF10	2.0
PRPF40A	SDK1	0.0
CRK	FLT4	0.0
APC	GIGYF2	0.0
PIK3CA	RAC1	0.0
PIK3CA	VAV2	0.0
COL1A2	ITGA1	0.0
MAX	COL1A2	2.140780282182635
CACNA1A	LTBP4	2.118033988749895
KDR	RAC1	0.0
EP300	MYC	0.0
ATR	BARD1	2.224744871391589
ALK	PTPRB	2.0
GRB2	KIF13A	0.0
ITGB1	SDC4	0.0
ANK2	NDEL1	0.0
A2M	MLST8	0.0
ALMS1	MEGF10	2.224744871391589
PBRM1	ZNF512B	0.0
PDGFRB	AKT1	0.0
MEGF8	ATXN7	0.0
PDGFRB	PIK3CA	0.0
FYN	ATXN1	0.0
CDH2	RAC1	0.0
TEC	VAV2	0.0
TP53	APC	2.6389584337646843
TNIK	MYC	0.0
CDC42	PAK1	0.0
FLT4	ITGA1	0.0
NF1	ALAS1	2.224744871391589
RAC1	MYC	0.0
PDGFRB	PTPRJ	0.0
TAF1	GFI1B	0.0
NOTCH1	GFI1B	0.0
PIK3R1	RAC1	0.0
CDC5L	AKAP9	0.0
JAK1	MAPK14	0.0
CRK	PIK3R1	0.0
EGFR	PTPRJ	2.224744871391589
ATM	TERF2	0.0
BLM	TERF2	0.0
CDC5L	SPTBN1	0.0
CACNA1A	MEGF8	2.118033988749895
TRAF3IP1	DISC1	0.0
ABL1	PIK3R1	0.0
HSP90AA1	RHOA	0.0
HIVEP1	EMG1	2.224744871391589
ATN1	AGRN	0.0
ATN1	SPAG5	0.0
RANBP2	UBE2I	0.0
VAV2	RHOA	0.0
FYN	CTNND1	0.0
ERBB2	IRS1	2.0
TNIK	DISC1	0.0
ANK2	GRB2	0.0
APC	CDC42	0.0
CDH2	PIK3R1	0.0
SYNE1	DISC1	0.0
RHOA	MYH2	0.0
VWF	ZNF512B	0.0
ESR2	SRC	0.0
APC	CTNNB1	0.0
NFYC	PDGFRB	0.0
SMAD2	PAK1	0.0
SMAD9	EXPH5	0.0
ERBB2	PTPRC	2.118033988749895
TBC1D4	TET2	0.0
CELSR3	GRB2	0.0
CDC5L	MYT1L	0.0
CLTC	UBE2I	0.0
DST	CEP63	0.0
FLT1	PIK3CA	2.4071289045266826
PRPF40A	YLPM1	0.0
CDC5L	PDE4DIP	0.0
CDH2	PAK1	0.0
CDC42	VAV2	0.0
PDGFRB	PTEN	0.0
JAK1	JAK2	2.118033988749895
SMAD2	ROCK1	0.0
UBE2I	ZMYM2	0.0
UBE2I	ATF7IP	0.0
CTNND1	EGF	2.0
ABL1	NCK1	0.0
HIVEP1	SMAD3	0.0
SKIL	ZMYM2	0.0
PLXNB3	CUL7	0.0
GRB2	MYH11	0.0
SOS1	SRC	0.0
EGFR	PTPRC	2.342778860141484
BRCA1	RAD50	2.0
SYNJ1	EGF	2.118033988749895
TNIK	MACF1	2.6583123951777
SKIL	MACF1	0.0
GRB2	MED14	0.0
MACF1	ATF7IP	2.620185174601965
KDR	CDC42	0.0
APC	NUP98	0.0
JAK1	AKT1	0.0
CTNNB1	TNIK	0.0
PIK3R1	PTPN4	0.0
VHL	ZNF512B	0.0
CACNA1A	YLPM1	2.342778860141484
PAK1	PIK3CA	0.0
EP300	GRB2	0.0
ITGB1	KDR	0.0
RANBP2	XPO1	2.53224755112299
VAV2	BIRC6	0.0
MEGF8	GFI1B	0.0
COL1A2	ITGB1	0.0
JAK2	TEC	2.118033988749895
PIK3CA	AKT1	0.0
CDC42	MCM3AP	0.0
CACNA1A	VWF	2.342778860141484
DST	CELSR3	3.118033988749895
RHOA	FYN	0.0
PLXNB3	CUL9	0.0
NTRK1	PTPN12	0.0
