SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	0	0	100	
2	0	0	100	
3	0	0	100	
4	0	0	100	
5	0	0	100	
6	0	0	100	
7	0	0	100	
8	0	0	100	
9	0	0	100	
10	0	1	50	MACF1
11	0	2	33	MACF1,MTOR
12	0	2	33	MACF1,MTOR
13	0	2	33	MACF1,MTOR
14	0	2	33	MACF1,MTOR
15	0	3	25	MACF1,MTOR,ZNF512B
16	0	3	25	MACF1,MTOR,ZNF512B
17	0	4	20	MACF1,MTOR,ZNF512B,VAV2
18	0	4	20	MACF1,MTOR,ZNF512B,VAV2
19	0	4	20	MACF1,MTOR,ZNF512B,VAV2
20	0	4	20	MACF1,MTOR,ZNF512B,VAV2
21	0	4	20	MACF1,MTOR,ZNF512B,VAV2
22	0	4	20	MACF1,MTOR,ZNF512B,VAV2
23	0	4	20	MACF1,MTOR,ZNF512B,VAV2
24	1	4	33	APC,MACF1,MTOR,ZNF512B,VAV2
25	1	4	33	APC,MACF1,MTOR,ZNF512B,VAV2
26	1	4	33	APC,MACF1,MTOR,ZNF512B,VAV2
27	2	4	42	APC,PIK3CA,MACF1,MTOR,ZNF512B,VAV2
28	2	5	37	APC,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2
29	3	5	44	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2
30	3	5	44	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2
31	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
32	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
33	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
34	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
35	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
36	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
37	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
38	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
39	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
40	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
41	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
42	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
43	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
44	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
45	3	6	40	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST
46	3	7	36	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST,GRB2
47	3	7	36	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST,GRB2
48	3	7	36	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST,GRB2
49	3	7	36	APC,TP53,PIK3CA,MACF1,MTOR,NRXN1,ZNF512B,VAV2,DST,GRB2
