GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
MACF1	0.6931810989951154	true	-1	true	Set(MACF1	any	TNIK, SYNE1	any	TNIK, DYNC1H1	any	TNIK)
MTOR	0.6929076459112504	true	-1	false	Set(IL12B	any	PIK3CA, PIK3CA	any	SOS1, MTOR	any	SOS1)
NRXN1	0.6925072327109133	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
MYO16	0.6907105355854929	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
APC	0.689678946160591	true	-1	true	Set(APC	any	NAV3, APC	any	EPAS1, APC	any	LAMA3, EPAS1	any	VHL)
ZNF512B	0.6886423141548719	true	-1	false	Set(PDE4DIP	any	ZNF512B, VHL	any	ZNF512B, L1TD1	any	ZNF512B)
VAV2	0.6835409970974399	true	-1	false	Set(BOD1L	any	VAV2, TTN	any	VAV2, RHOA	any	VAV2)
SIPA1L1	0.6806404377916941	true	-1	false	Set(MYO16	any	NRXN1, NRXN1	any	PDZD2, NRXN1	any	SIPA1L1)
PDZD2	0.6802608337859085	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	PDZD2)
TP53	0.679606975378484	true	-1	true	Set(EDN1	any	HIF1A, HIF1A	any	VHL, HIF1A	any	TP53)
PIK3CA	0.677641968168873	true	-1	true	Set(IL12B	any	PIK3CA, PIK3CA	any	SOS1, MTOR	any	SOS1)
TNIK	0.6774632458001565	true	-1	false	Set(MACF1	any	TNIK, SYNE1	any	TNIK, DYNC1H1	any	TNIK)
EGFR	0.6771942174364292	true	-1	true	Set(CDH2	any	PTPRC, CTNND1	any	EGFR, CDH2	any	CTNND1)
DST	0.6764987055665017	true	-1	true	Set(CNTNAP4	any	MACF1, CEP63	any	DST, CEP63	any	MACF1)
ATF7IP	0.6737013270877981	true	-1	false	Set(ATF7IP	any	PAPPA2, PAPPA2	any	ZNF512B, ATRX	any	ZNF512B, VHL	any	ZNF512B)
CACNA1A	0.6672201602003743	true	-1	false	Set(VWF	any	ZNF512B, PBRM1	any	ZNF512B, CACNA1A	any	VWF)
ERBB2	0.6656417390574169	true	-1	true	Set(TTN	any	VAV2, RAC1	any	VAV2, ERBB2	any	VAV2)
SYNE1	0.6636079915168724	true	-1	true	Set(MACF1	any	TNIK, SYNE1	any	TNIK, DYNC1H1	any	TNIK)
CELSR3	0.6632692133190572	true	-1	false	Set(KIAA2018	any	NFYC, DST	any	NFYC, CELSR3	any	DST)
RANBP2	0.6599987191897733	true	-1	false	Set(LRP2	any	LRPAP1, LRPAP1	any	RANBP2, APC	any	RANBP2)
HSP90AA1	0.6595753208229264	true	-1	true	Set(HSP90AA1	any	TCEB1, TCEB2	any	VHL, TCEB1	any	TCEB2)
MEGF10	0.6566202804953952	true	-1	false	Set(ALMS1	any	MEGF10, CUL7	any	MEGF10, KIAA0564	any	MEGF10)
ATM	0.6528787931166323	true	-1	true	Set(BARD1	any	PRKDC, ATM	any	RAD50, BARD1	any	RAD50)
SOS1	0.650504782359999	true	-1	true	Set(IL12B	any	PIK3CA, PIK3CA	any	SOS1, MTOR	any	SOS1)
PTEN	0.6495452874713792	true	-1	true	Set(PTEN	any	TP53, PIK3CA	any	PTEN, HBA2	any	PTEN)
BARD1	0.6453374210043539	true	-1	false	Set(BARD1	any	SETDB1, PTEN	any	TP53, ATR	any	TP53, ATR	any	BARD1)
DISC1	0.6451124570998295	true	-1	false	Set(DISC1	any	UTRN, DISC1	any	DYNC1H1, DISC1	any	DST)
MAX	0.6444115352401061	true	-1	true	Set(MAX	any	MGA, SMARCA4	any	TERT, MAX	any	TERT)
PBRM1	0.6433591012080274	true	-1	true	Set(VPS41	any	ZNF512B, PBRM1	any	ZNF512B, ZMYM2	any	ZNF512B)
