>CRK,2.085604198162151
TCL1A,TP53BP2,any
TCL1A,DNMT3A,any
TP53BP2,CRK,any
>CRK,1.8106601717798212
GAB1,KIT,any
KIT,PTPN11,any
CRK,GAB1,any
>CRK,2.09554259741438
CRK,SP1,any
ZBTB17,HDAC3,any
ZBTB17,DNMT3A,any
SP1,ZBTB17,any
>CRK,1.731370849898476
SH2B3,EGFR,any
KIT,PTPN11,any
SH2B3,KIT,any
EGFR,CRK,any
>CRK,1.82335384948734
EIF4A1,MYC,any
MYC,DNMT3A,any
EIF4A1,RPS6KB1,any
RPS6KB1,CRK,any
>HILPDA,1.519314671870148
PFDN1,EZH2,any
ASNA1,PFDN1,any
HILPDA,ASNA1,any
>HILPDA,1.5590169943749475
TK1,TP53,any
HILPDA,ASNA1,any
ASNA1,TK1,any
>HILPDA,1.530056307974577
TK1,TP53,any
TK1,RBBP4,any
HILPDA,ASNA1,any
ASNA1,TK1,any
>HILPDA,1.8328542415550597
ASNA1,GET4,any
CDKN1A,DNMT3A,any
GET4,CDKN1A,any
HILPDA,ASNA1,any
>HILPDA,1.4347270009315811
PFDN1,PDE4DIP,any
PDE4DIP,KRAS,any
ASNA1,PFDN1,any
HILPDA,ASNA1,any
>KCNA4,1.6485281374238572
KCNA4,SAT1,any
TP53,SNAI2,any
SNAI2,KIT,any
SAT1,TP53,any
>KCNA4,1.530056307974577
RNF4,UBE2H,any
KCNA4,SLC38A1,any
TP53,RNF4,any
SLC38A1,TP53,any
>KCNA4,1.9313708498984758
KCNA4,SLC38A1,any
ZHX1,TP53,any
ZHX1,IDH1,any
SLC38A1,ZHX1,any
>KCNA4,1.5878043748447501
KCNA4,SLC38A1,any
TP53,EGFR,any
SLC38A1,TP53,any
>KCNA4,1.763063822903351
KCNA4,SLC38A1,any
CARM1,CEBPA,any
TP53,CARM1,any
SLC38A1,TP53,any
>HDAC2,2.119462397434997
TP53,DKK1,any
DKK1,HDAC2,any
DNMT3A,CDKN1A,any
CDKN1A,TP53,any
>HDAC2,2.060660171779821
ZHX1,TP53,any
IDH1,ZHX1,any
TP53,HDAC2,any
>HDAC2,2.098665092533539
DNMT3A,CDKN1A,any
TP53,EGFR,any
HDAC2,TP53,any
CDKN1A,HDAC2,any
>HDAC2,1.9962737017322614
MAX,DKK1,any
DKK1,HDAC2,any
DNMT3A,MAX,any
MAX,CEBPA,any
>HDAC2,2.649327996793746
DNMT3A,CDKN1A,any
CDKN1A,TP53,any
CDKN1A,HDAC2,any
>NRAS,2.4769116104461
SP100,MYB,any
MYB,NRAS,any
DNMT3A,SP100,any
>NRAS,2.085911735325531
NRAS,EEF1A1,any
NRAS,PLCE1,any
EEF1A1,KRAS,any
>NRAS,2.0696375370066655
MYB,KIT,any
MYB,SND1,any
NRAS,MYB,any
>NRAS,2.3661852006060835
MYB,KIT,any
KIT,PTPN11,any
MYB,NRAS,any
>NRAS,2.0806182722476487
NRAS,PLCE1,any
SMAD4,CBFB,any
NRAS,SMAD4,any
>RAD50,1.875538594611737
MAX,PTMA,any
MAX,NBN,any
NBN,RAD50,any
MAX,DNMT3A,any
>RAD50,1.6730326074756157
IDH1,ZHX1,any
BARD1,RAD50,any
ZHX1,BARD1,any
>RAD50,2.047446451191365
MAX,NBN,any
NBN,TERF2IP,any
DNMT3A,MAX,any
TERF2IP,RAD50,any
>RAD50,1.7833750602588103
ZHX1,TP53,any
IDH1,ZHX1,any
TP53,BARD1,any
BARD1,RAD50,any
>RAD50,1.6821582669560606
EGFR,PTPN11,any
TP53,EGFR,any
ATM,RAD50,any
TP53,ATM,any
>CDKN1A,2.649327996793746
MYC,TP53,any
DNMT3A,MYC,any
DNMT3A,CDKN1A,any
>CDKN1A,2.6153014689662584
CDKN1A,DNMT3A,any
CDKN1A,TP53,any
SLC25A11,CDKN1A,any
>CDKN1A,2.8901870588167173
CDKN1A,RBBP4,any
DNMT3A,CDKN1A,any
CDKN1A,TP53,any
>CDKN1A,2.568352777546806
CDKN1A,DNMT3A,any
INPP5K,CDKN1A,any
INPP5K,PFDN1,any
>CDKN1A,2.4953421271653267
CDKN1A,DNMT3A,any
CDK2,CDKN1A,any
CEBPA,CDK2,any
>DKK1,2.649327996793746
MAX,DKK1,any
MAX,TP53,any
DNMT3A,MAX,any
>DKK1,2.119462397434997
TP53,DKK1,any
DKK1,HDAC2,any
DNMT3A,CDKN1A,any
CDKN1A,TP53,any
>DKK1,2.312149647053374
DKK1,TP53,any
MYC,DNMT3A,any
MED12,DKK1,any
DKK1,MYC,any
>DKK1,2.060660171779821
ZHX1,TP53,any
TP53,DKK1,any
IDH1,ZHX1,any
>DKK1,1.9962737017322614
MAX,DKK1,any
DKK1,HDAC2,any
DNMT3A,MAX,any
MAX,CEBPA,any
>RBBP4,2.312149647053374
MAX,TP53,any
DNMT3A,GFI1,any
DNMT3A,MAX,any
MAX,RBBP4,any
>RBBP4,2.634443921777425
ZBTB17,HDAC3,any
DNMT3A,ZBTB17,any
HDAC3,RBBP4,any
>RBBP4,2.8901870588167173
MAX,TP53,any
MAX,DNMT3A,any
RBBP4,MAX,any
>RBBP4,2.317467040693535
MAX,EIF4A1,any
DNMT3A,MAX,any
MAX,RBBP4,any
>RBBP4,2.5248938804857315
HDAC3,MAX,any
MAX,TP53,any
HDAC3,RBBP4,any
MAX,DNMT3A,any
>KDR,1.778031342489654
DNAJB6,PIK3CA,any
PIK3CA,KDR,any
PTPN11,KIT,any
KDR,PTPN11,any
>KDR,1.785639681480451
HNRNPK,U2AF1,any
AIMP2,KDR,any
MATR3,AIMP2,any
MATR3,HNRNPK,any
>KDR,1.9248150367227974
ITGB1,KDR,any
ZBTB17,DNMT3A,any
ZBTB17,ITGB1,any
DIS3,ZBTB17,any
>KDR,1.918904181132934
CDC42,TP53,any
CDC42,KDR,any
KDR,PTPN11,any
>KDR,1.7959942099337263
ASXL1,NCK1,any
PTPN11,KIT,any
NCK1,KDR,any
KDR,PTPN11,any
>GRB2,1.8466234199472709
RBM33,GRB2,any
GRB2,EGFR,any
EGFR,TP53,any
>GRB2,1.8784962112572896
U2AF1,HNRNPK,any
HNRNPK,GRB2,any
HNRNPK,MATR3,any
>GRB2,1.925352617738402
PTPN11,EGFR,any
EGFR,GRB2,any
EGFR,TP53,any
>GRB2,2.119462397434997
NFYB,GRB2,any
MAX,NFYB,any
NFYB,TP53,any
DNMT3A,MAX,any
>GRB2,1.8256184707089802
RBM33,GRB2,any
GRB2,TSC2,any
TSC2,MAX,any
MAX,DNMT3A,any
>SMC3,1.8328272578368896
DISC1,SMC3,any
MATR3,DISC1,any
MATR3,HNRNPK,any
>SMC3,1.9501768105405446
APC,TP53,any
SMC3,APC,any
APC,DST,any
>SMC3,1.7637602545617916
ZCCHC10,TP53,any
CEP63,SMC3,any
ZCCHC10,CEP63,any
>SMC3,2.1258268733816736
APC,TP53,any
ZHX1,IDH1,any
TP53,ZHX1,any
SMC3,APC,any
>SMC3,1.8306182722476487
APC,TP53,any
TP53,EGFR,any
SMC3,APC,any
>DNMT3A,2.8265013372272443
ZBTB17,HDAC3,any
ZBTB17,DNMT3A,any
DIS3,ZBTB17,any
>DNMT3A,2.8901870588167173
MAX,TP53,any
MAX,DNMT3A,any
RBBP4,MAX,any
>DNMT3A,2.869428246767975
UBE2H,ZBTB17,any
ZBTB17,HDAC3,any
ZBTB17,DNMT3A,any
>DNMT3A,2.8397053014166858
MAX,DNMT3A,any
EIF4A1,MAX,any
MAX,CEBPA,any
>DNMT3A,3.354900848947697
MYC,TP53,any
MYC,DNMT3A,any
CEBPA,MYC,any
>IDH1,2.229218825323513
ZHX1,IDH1,any
TP53,ZHX1,any
ZCCHC10,TP53,any
>IDH1,2.101919861081349
MET,PTPN11,any
ZHX1,TP53,any
IDH1,ZHX1,any
TP53,MET,any
>IDH1,2.1258268733816736
APC,TP53,any
ZHX1,IDH1,any
TP53,ZHX1,any
SMC3,APC,any
>IDH1,2.095741732923815
ZHX1,TP53,any
ZHX1,IDH1,any
PDIA4,BCL2L1,any
BCL2L1,ZHX1,any
>IDH1,2.0838736220340337
ZHX1,IDH1,any
TP53,ZHX1,any
PPP1CA,TP53,any
NOM1,PPP1CA,any
>KIAA0240,1.7071067811865475
NFYC,KIAA0240,any
DST,NFYC,any
NFYC,TP53,any
>KIAA0240,1.763063822903351
NFYC,KIAA0240,any
MAX,NFYC,any
CEBPA,MAX,any
NFYC,TP53,any
>KIAA0240,2.085604198162151
MYC,DNMT3A,any
KIAA0240,NFYC,any
NFYC,MYC,any
>KIAA0240,1.668483358529721
KIAA0240,NFYC,any
NFYC,MAX,any
NFYC,ARID2,any
MAX,DNMT3A,any
>KIAA0240,1.5878043748447501
KIAA0240,NFYC,any
TP53,EGFR,any
NFYC,TP53,any
>CEBPA,2.4953421271653267
MYC,KAT2A,any
MYC,DNMT3A,any
CEBPA,MYC,any
>CEBPA,2.2791164142068805
TCL1A,CADPS,any
DNMT3A,MYC,any
MYC,CEBPA,any
TCL1A,DNMT3A,any
>CEBPA,2.8397053014166858
MAX,DNMT3A,any
EIF4A1,MAX,any
MAX,CEBPA,any
>CEBPA,2.6839206791581574
MYC,TP53,any
GCN1L1,MYC,any
MYC,DNMT3A,any
MYC,CEBPA,any
>CEBPA,3.354900848947697
MYC,TP53,any
MYC,DNMT3A,any
CEBPA,MYC,any
>MYB,2.4769116104461
SP100,MYB,any
MYB,NRAS,any
DNMT3A,SP100,any
>MYB,2.2910678019438246
MYB,SP100,any
SND1,MYB,any
SP100,DNMT3A,any
>MYB,2.3661852006060835
MYB,KIT,any
KIT,PTPN11,any
MYB,NRAS,any
>MYB,2.649327996793746
MYC,TP53,any
MYB,MYC,any
MYC,DNMT3A,any
>MYB,2.384443921777425
MYB,SP100,any
KIT,MYB,any
SP100,DNMT3A,any
>SMURF2,1.9519716382329886
NRAS,PLCE1,any
NRAS,SMURF2,any
SMURF2,TNPO3,any
>SMURF2,1.6687293882604248
NRAS,PLCE1,any
MYB,KIT,any
NRAS,SMURF2,any
MYB,NRAS,any
