GeneA	GeneB	MEScore
DNMT3A	TCL1A	0.0
TK1	WDR60	0.0
HDAC2	CDKN1A	0.0
MAX	DKK1	0.0
RBBP4	SMAD4	0.0
NRAS	SMURF2	0.0
MTUS2	DCTN4	1.9318516525781364
CEBPA	MYC	0.0
ATM	TP53	0.0
GOLGA2	DCTN4	0.0
MAX	CEBPA	0.0
BCL2L1	PDIA4	0.0
SMC3	DISC1	0.0
USP7	TP53	0.0
YWHAE	FAM53C	1.8797107211424051
CHD3	CHD4	0.0
MRE11A	TERF2IP	0.0
UBE2H	ZBTB17	0.0
PIK3CA	PTPN11	0.0
MAX	ZBTB17	0.0
HNRNPK	MATR3	2.342778860141484
GOLGA2	TCL1A	0.0
EZH2	GADD45G	0.0
APC	DST	0.0
CDKN1A	EEF1A1	0.0
ZBTB17	CDKN1A	0.0
ASNA1	PFDN1	0.0
SMAD4	CDKN1A	0.0
SMAD4	ZBTB17	0.0
FXR2	ZMAT2	2.0907702751760278
CHD3	SLC38A1	0.0
EEF1A1	TK1	0.0
NFYC	TP53	0.0
PPP1CA	NOM1	0.0
PPP1CA	TP53	0.0
EGFR	PTPN11	2.2071067811865475
MTUS2	AFF4	2.029982436718843
YWHAE	FAM13B	1.8797107211424051
RAB4A	SRA1	0.0
KDR	PIK3CA	0.0
CTNNB1	KDR	0.0
MYC	TK1	0.0
HDAC2	RBBP4	0.0
APC	CTNNB1	0.0
RAD50	TERF2	1.8797107211424051
TP53	CD82	0.0
KDR	PTPN11	1.9577379737113252
TP53	ZCCHC10	2.3371173070873836
APC	SMC3	0.0
KCNA4	SLC38A1	0.0
CHD3	RBBP4	0.0
PDIA4	GADD45G	0.0
EGFR	GRB2	0.0
CDKN1A	INPP5K	0.0
TERF2	TERF2IP	0.6123724356957945
CBL	EGFR	1.4142135623730951
MAX	TP53	0.0
APC	GIGYF2	0.0
FXR2	CDKL3	2.0907702751760278
CHD4	MTA2	1.4142135623730951
HDAC2	DKK1	0.0
DNMT3A	ZBTB17	0.0
DST	NFYC	0.0
APC	GOLGA2	0.0
MYC	ZBTB17	0.0
GATA2	SMAD4	0.0
ESR2	FXR2	0.0
IDH1	ZHX1	0.0
EEF1A1	SMAD4	0.0
TP53	DKK1	0.0
SMAD4	NRAS	0.0
HDAC3	RBBP4	2.029982436718843
CTNNB1	EGFR	0.0
CHD4	RBBP4	1.4142135623730951
MRE11A	TERF2	0.0
MTUS2	ZMAT2	1.9318516525781364
TK1	INPP5K	0.0
ZNF212	PPARGC1B	2.1726039399558577
ATM	TERF2	0.0
HDAC3	MAX	0.0
GOLGA2	CDKL3	0.0
EEF1A1	ZCCHC10	0.0
CREB3	SLC38A1	0.0
HDAC2	TP53	0.0
HNRNPK	U2AF1	2.53224755112299
PIK3CA	BCL2L1	0.0
DST	DISC1	0.0
ZHX1	SLC38A1	0.0
CRK	PIK3CA	0.0
TP53	APC	0.0
CTNNB1	MYC	0.0
MAX	MYC	0.0
MAX	SMAD4	0.0
GOLGA2	AFF4	0.0
PTPN11	KIT	2.914213562373095
MATR3	DISC1	0.0
MTUS2	DCTN4	1.9318516525781364
EZH2	TK1	0.0
DNMT3A	MAX	0.0
HDAC2	SMAD4	0.0
RBBP4	TK1	0.0
CHD3	MTA2	0.0
MYB	KIT	0.0
TP53	ZHX1	0.0
CHD4	HDAC2	0.0
RAD50	TERF2IP	1.8797107211424051
MED12	DKK1	0.0
CEP76	ZMAT2	1.6726039399558574
TCL1A	CADPS	0.0
ATM	MRE11A	0.0
CBL	KIT	2.121320343559643
MYC	NFYC	0.0
MYB	MYC	0.0
TP53	EGFR	2.468501968502953
MYC	TP53	0.0
MYC	SMAD4	0.0
MYB	NRAS	0.0
GRB2	HNRNPK	0.0
NFYC	KIAA0240	0.0
HDAC2	MTA2	0.0
CD82	NUP88	0.0
GOLGA2	ZMAT2	0.0
EEF1A1	NRAS	0.0
MRE11A	RAD50	0.0
EEF1A1	GADD45G	0.0
MTA2	RBBP4	1.4142135623730951
CTNNB1	MED12	0.0
MAX	TK1	0.0
MAX	RBBP4	0.0
MAX	NFYC	0.0
USP7	BCOR	0.0
CTNNB1	DKK1	0.0
CDKN1A	RBBP4	0.0
BCL2L1	LARP1	0.0
DOCK2	MTUS2	1.4142135623730951
TK1	TP53	0.0
YWHAE	DISC1	0.0
ATM	RAD50	0.0
TNIP1	GABARAPL2	1.8797107211424051
HDAC3	ZBTB17	0.0
MAX	CDKN1A	0.0
BTG2	CNOT8	0.0
ZBTB17	DIS3	0.0
PFDN1	INPP5K	1.6726039399558574
CHD3	ZHX1	0.0
HDAC3	MYC	0.0
HDAC2	MAX	0.0
ASNA1	TK1	0.0
GOLGA2	DCTN4	0.0
EZH2	PSMB6	1.5731321849709863
BCL2L1	ZHX1	0.0
USP7	HECW1	0.0
GRB2	HNRNPK	0.0
GATA2	GOLGA2	0.0
GATA2	HDAC3	2.029982436718843
CNOT4	UBE2D2	2.1726039399558577
