SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	TP53
2	2	0	100	TP53,DNMT3A
3	3	0	100	TP53,DNMT3A,MYC
5	4	1	80	TP53,DNMT3A,MAX,MYC,ZHX1
6	5	1	83	TP53,DNMT3A,PTPN11,MAX,MYC,ZHX1
7	6	1	85	TP53,DNMT3A,NRAS,PTPN11,MAX,MYC,ZHX1
8	7	1	87	TP53,DNMT3A,IDH1,NRAS,PTPN11,MAX,MYC,ZHX1
9	8	1	88	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,MAX,MYC,ZHX1
10	9	1	90	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,ZHX1
11	9	2	81	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,ZHX1,HDAC3
12	10	2	83	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,GRB2,ZHX1,HDAC3
13	10	3	76	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,GRB2,ZHX1,HDAC3,GOLGA2
14	11	3	78	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,CEBPA,GRB2,ZHX1,HDAC3,GOLGA2
15	11	4	73	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,CEBPA,GRB2,ZHX1,ZCCHC10,HDAC3,GOLGA2
16	11	5	68	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,CEBPA,GRB2,ZHX1,PPP1CA,ZCCHC10,HDAC3,GOLGA2
17	11	6	64	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,CEBPA,GRB2,ZHX1,PPP1CA,TK1,ZCCHC10,HDAC3,GOLGA2
18	11	7	61	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,CEBPA,GRB2,ZHX1,PPP1CA,TK1,ZCCHC10,HDAC3,GOLGA2,DISC1
19	12	7	63	TP53,DNMT3A,IDH1,NRAS,PTPN11,KIT,HNRNPK,MAX,MYC,CEBPA,GRB2,SMAD4,ZHX1,PPP1CA,TK1,ZCCHC10,HDAC3,GOLGA2,DISC1
