GeneA	GeneB	MEScore
EGFR	ZAP70	0.0
KDR	PTPN6	0.0
PTPRO	TEC	0.0
FCER1A	MS4A2	0.0
CREB5	ATF7	0.0
PTPN11	RPIA	0.0
CD4	PTPN11	0.0
CEBPD	CEBPG	0.0
S100A8	IGSF21	0.0
IL6ST	STAT1	0.0
ERBB3	AKT1	0.0
CD247	PTPN11	0.0
GRB10	SOS1	0.0
CEBPB	CEBPD	0.0
BTK	SYK	0.0
SOS1	UGCG	0.0
KITLG	GRB10	0.0
EPOR	BTK	0.0
PRKDC	KLK3	0.0
KITLG	SNAI2	0.0
SOS1	A2M	0.0
GAB2	CCND3	0.0
B2M	IL2RG	0.0
SRC	MAPK8	0.0
IL6R	SOS1	0.0
ABL1	GRB2	0.0
ERBB2	STAT1	0.0
ERBB3	VAV1	0.0
KDR	SRC	0.0
IGHE	MS4A2	0.0
EGF	EGFR	0.0
MYC	CCNB1	0.0
IGF1R	RPS6KB1	0.0
CD3G	VAV1	0.0
INPP5D	IRS1	0.0
AKT1	MCL1	0.0
KIT	JAK2	0.0
PTPN6	PIK3R1	0.0
HLA-DRA	LCP2	0.0
INSR	PTPN11	0.0
AKT1	ASXL1	0.0
CEBPB	IGHE	0.0
CARM1	CCND3	0.0
CD4	FYB	0.0
STAT3	A2M	0.0
NCK1	SOS1	0.0
KRAS	CCT7	0.0
ATF3	DDIT3	0.0
FCER1A	LYN	0.0
ERBB3	MAPK8	0.0
CBL	PTPRJ	0.0
CBL	CD3E	0.0
IL6ST	IFNG	0.0
KIT	SH2B2	0.0
IGF1R	SHC1	0.0
PDGFRB	DOK1	0.0
PIK3CA	PIK3R1	0.0
LCK	PTPRJ	0.0
TFDP1	TP53	0.0
HLA-DRA	VAV1	0.0
DOK1	TEC	0.0
SMC3	DISC1	0.0
IL2RG	SGMS1	0.0
ERBB2	PTPRO	0.0
PTPN11	SHC1	0.0
RHOA	SDC2	0.0
IL2	SHC1	0.0
CD4	PTPN6	0.0
PIK3CA	SRC	0.0
GRB10	AKT1	0.0
STAT1	STAT3	0.0
CEBPB	ATF5	0.0
PLK1	STAG2	0.0
BTK	PLCG1	0.0
IL2	JAK3	0.0
CCNA2	MDM2	0.0
FYN	SOS1	0.0
IL6ST	STAT3	0.0
LYN	VAV1	0.0
GAB2	LCK	0.0
KIT	DOK1	0.0
CBL	PLCG1	0.0
HLA-DRB1	LCP2	0.0
GAB2	PTPN11	0.0
EGFR	SHC1	0.0
EGF	GNAI3	0.0
CD3E	ZAP70	0.0
ETS2	ZFYVE9	0.0
ABL1	FYB	0.0
EGF	SOS1	0.0
CEBPG	CREB5	0.0
KITLG	VAV1	0.0
SDC2	SRC	0.0
B2M	CD247	0.0
DDIT3	BATF3	0.0
FCER1G	INPP5D	0.0
BATF	BATF3	0.0
KDR	NCK1	0.0
ERBB3	JAK2	0.0
INPP5D	PIK3R1	0.0
IL2	AKT1	0.0
RHOA	VEGFA	0.0
JAK2	PIK3CA	0.0
EEF1A1	KRAS	0.0
PDPK1	PTPRJ	0.0
FLT1	VEGFA	0.0
CBL	ZAP70	0.0
PTPN11	TEK	0.0
GAB1	SRC	0.0
CRKL	HGF	0.0
CD3D	CD3G	0.0
CD247	LCK	0.0
INPP5D	INSR	0.0
FLT1	PIK3R1	0.0
SGMS1	SMPD1	0.0
PTPN11	STAT1	0.0
CEBPA	NCOA2	0.0
ATF4	ATF7	0.0
CTNNB1	RHOA	0.0
CD3E	CD3G	0.0
CD3D	IFNG	0.0
DVL3	MYC	0.0
EGF	SMPD1	0.0
CD3G	FYN	0.0
SMC3	TRAF3IP1	0.0
INS	SHC1	0.0
CTNNB1	EGF	0.0
GAB2	SOS1	0.0
NPM3	NPM2	0.0
LCK	UGCG	0.0
CBL	PDGFRB	0.0
ABL1	RAPGEF1	0.0
WT1	KRTAP10-3	0.0
GRB10	PDGFRB	0.0
E2F4	RB1	0.0
CBL	HLA-DRB1	0.0
SDC2	PIK3R1	0.0
FCER1G	PIK3CA	0.0
IL2	SGMS1	0.0
FCER1G	BTK	0.0
KRAS	DNAJA3	0.0
EPOR	PTPRO	0.0
DOK1	MS4A2	0.0
CEBPA	RB1	0.0
LCK	CCND3	0.0
CD247	VAV1	0.0
FCER1A	PIK3CA	0.0
SHC1	CCND3	0.0
PIK3CA	UGCG	0.0
CD247	IL2RB	0.0
PTPN11	SOS1	0.0
PIK3R1	SGMS1	0.0
FYN	MS4A2	0.0
BBC3	TP53	0.0
EEF1A1	SERPINB9	0.0
HLA-DRB1	VAV1	0.0
IL6ST	IL2	0.0
IL2RB	CCND3	0.0
FCER1A	CBL	0.0
ATF4	CEBPG	0.0
IL12RB1	SOCS1	0.0
E2F4	TFDP1	0.0
EPOR	CBL	0.0
IL2RB	PRKCZ	0.0
KITLG	GAB1	0.0
CBL	VAV1	0.0
RHOA	SHC1	0.0
ERBB3	SRC	0.0
IL2	SOCS3	0.0
ATF3	CEBPG	0.0
CD3E	LCP2	0.0
IL12RB1	STAT1	0.0
B2M	CD3D	0.0
MET	SRC	0.0
GAB1	SDC2	0.0
VEGFA	PTK2B	0.0
FYN	JAK3	0.0
MS4A2	GAB2	0.0
GAB1	PTPRB	0.0
IL2	STAT3	0.0
IL12RB1	PIK3R1	0.0
CD4	LCP2	0.0
EEF1A1	NRAS	0.0
IL6ST	PTPN11	0.0
E2F4	MYC	0.0
CD3D	HLA-DRB1	0.0
EGF	PLCG1	0.0
SYK	FER	0.0
ABL1	FYN	0.0
CEBPB	BATF3	0.0
MYC	CEBPD	0.0
EEF1A1	SULT1E1	0.0
JAK2	STAT3	0.0
TAF9	GADD45A	0.0
CEBPB	DDIT3	0.0
JAK3	PIK3R1	0.0
CBL	SOS1	0.0
EPOR	PTPN6	0.0
CD247	FYN	0.0
KITLG	SH2B3	0.0
CCNA2	TP53	0.0
IGHE	FER	0.0
PDGFRB	SHC1	0.0
CD247	CD4	0.0
LCK	SOS1	0.0
IL2RG	JAK3	0.0
IL2RB	AKT1	0.0
INS	INSR	0.0
EEF1A1	TAF9	0.0
AR	NCOA2	0.0
FCER1G	FER	0.0
PIK3CA	SGMS1	0.0
ABL1	PLCG1	0.0
SRC	STAT3	0.0
IGF1	SHC1	0.0
CD247	LCP2	0.0
KDR	PTK2B	0.0
GRB2	LCP2	0.0
IL12RB1	PIK3CA	0.0
PIK3R1	RPS6KB1	0.0
GRB2	SOS1	0.0
GAB1	PDPK1	0.0
TRRAP	MDM2	0.0
CBL	EGFR	0.0
FYN	PIK3CA	0.0
CD247	HLA-DRB1	0.0
EGFR	PLCG1	0.0
PLK3	CDC25C	0.0
JAK3	LCK	0.0
PDGFRB	FER	0.0
GDNF	SHC1	0.0
CD3E	HLA-DRB1	0.0
IL2	MYC	0.0
IL2RB	IL2RG	0.0
TAF9	TERT	0.0
KITLG	LYN	0.0
CTNNB1	TRRAP	0.0
FCER1G	IGHE	0.0
