SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	0	0	100	
2	0	0	100	
3	0	0	100	
4	0	0	100	
5	2	1	75	WT1,NPM1,NPM3
6	2	2	60	WT1,NPM1,NPM3,NPM2
7	2	2	60	WT1,NPM1,NPM3,NPM2
8	2	2	60	WT1,NPM1,NPM3,NPM2
9	2	3	50	WT1,NPM1,NPM3,NPM2,COX8A
10	4	3	62	WT1,NPM1,PTPN11,TP53,NPM3,NPM2,COX8A
11	4	3	62	WT1,NPM1,PTPN11,TP53,NPM3,NPM2,COX8A
12	4	3	62	WT1,NPM1,PTPN11,TP53,NPM3,NPM2,COX8A
13	4	3	62	WT1,NPM1,PTPN11,TP53,NPM3,NPM2,COX8A
14	5	3	66	WT1,NPM1,KIT,PTPN11,TP53,NPM3,NPM2,COX8A
15	5	3	66	WT1,NPM1,KIT,PTPN11,TP53,NPM3,NPM2,COX8A
16	5	3	66	WT1,NPM1,KIT,PTPN11,TP53,NPM3,NPM2,COX8A
17	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
18	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
19	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
20	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
21	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
22	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
23	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
24	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
25	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
26	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
27	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
28	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
29	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
30	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
31	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
32	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
33	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
34	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
35	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
36	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
37	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
38	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
39	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
40	6	3	70	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A
