GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
WT1	0.5233185581351856	true	-1	true	Set(NPM2	any	NPM3, COX8A	any	NPM1, NPM3	any	WT1, NPM1	any	NPM2)
NPM1	0.52301463433328	true	-1	true	Set(NPM2	any	NPM3, COX8A	any	NPM1, NPM3	any	WT1, NPM1	any	NPM2)
NPM3	0.52301463433328	true	-1	false	Set(NPM2	any	NPM3, COX8A	any	NPM1, NPM3	any	WT1, NPM1	any	NPM2)
NPM2	0.52301463433328	true	-1	false	Set(NPM2	any	NPM3, COX8A	any	NPM1, NPM3	any	WT1, NPM1	any	NPM2)
KIT	0.5025019056778057	true	-1	true	Set(FLNA	any	SRC, PTPN11	any	SRC, KIT	any	PTPN11)
COX8A	0.502480204346675	true	-1	false	Set(NPM2	any	NPM3, COX8A	any	NPM1, NPM3	any	WT1, NPM1	any	NPM2)
PTPN11	0.5020727600587822	true	-1	true	Set(FLNA	any	SRC, PTPN11	any	SRC, KIT	any	PTPN11)
TP53	0.4922649254061428	true	-1	true	Set(ERH	any	TP53, ERH	any	IGSF21, IGSF21	any	KRAS)
CEBPA	0.4845150681981367	true	-1	true	Set(CDK2	any	TP53, CEBPA	any	E2F4, CDK2	any	CEBPA)
KIAA1377	0.4806661415276636	true	-1	false	Set(NPM2	any	NPM3, KIAA1377	any	NPM3, NPM3	any	WT1, NPM1	any	NPM2)
CARM1	0.47957680233592526	true	-1	false	Set(CARM1	any	CEBPA, NDRG1	any	TP53, CARM1	any	TP53)
SNAI2	0.47943715411827736	true	-1	false	Set(KIT	any	PTPN11, KIT	any	SNAI2, PTPN11	any	VEGFA)
CDK2	0.4791906428904355	true	-1	false	Set(CDK2	any	TP53, CEBPA	any	E2F4, CDK2	any	CEBPA)
PLEKHF2	0.47866475490991445	true	-1	false	Set(NPM2	any	PLEKHF2, NPM2	any	NPM3, NPM3	any	WT1, NPM1	any	NPM2)
KRAS	0.47865963298903863	true	-1	true	Set(ERH	any	TP53, ERH	any	IGSF21, IGSF21	any	KRAS)
SDCBP2	0.4786476806187571	true	-1	false	Set(NPM2	any	SDCBP2, NPM2	any	NPM3, NPM3	any	WT1, NPM1	any	NPM2)
SMC3	0.4786243589989093	true	-1	true	Set(APC	any	TP53, CEP63	any	SMC3, APC	any	SEC31A, APC	any	SMC3)
KITLG	0.4785044928805552	true	-1	false	Set(DOK1	any	KITLG, KIT	any	KITLG, KIT	any	PTPN11)
APC	0.4783517810377315	true	-1	true	Set(APC	any	TP53, CEP63	any	SMC3, APC	any	SEC31A, APC	any	SMC3)
GAB1	0.4783031859283475	true	-1	true	Set(MET	any	TP53, GAB1	any	KIT, GAB1	any	MET, DUSP1	any	TP53)
JAK2	0.47824518880198386	true	-1	true	Set(KIT	any	STAT3, KIT	any	PTPN11, JAK2	any	STAT3)
AKT1	0.47817993280476384	true	-1	true	Set(AKT1	any	ASXL1, AKT1	any	PTPN11, AKT1	any	DKC1)
ASXL1	0.4781274457814971	true	-1	true	Set(AKT1	any	ASXL1, AKT1	any	PTPN11, AKT1	any	DKC1)
RB1	0.4780791199510914	true	-1	true	Set(COX17	any	TP53, RB1	any	TP53, CEBPA	any	RB1)
IGSF21	0.47807193218844857	true	-1	false	Set(ERH	any	TP53, ERH	any	IGSF21, IGSF21	any	KRAS)
STAT1	0.4780674993840359	true	-1	false	Set(KIT	any	STAT1, FYN	any	PTPN11, KIT	any	PTPN11, IRF1	any	STAT1)
PIK3C2B	0.4779706529202907	true	-1	false	Set(KIT	any	PTPN11, GRB2	any	PIK3C2B, KIT	any	PIK3C2B)
ETS2	0.47795725703074643	true	-1	false	Set(KIT	any	PTPN11, JAK1	any	PTPN11, ETS2	any	KIT)
LYN	0.4778910590318673	true	-1	false	Set(INS	any	SHC1, INS	any	PTPN11, KIT	any	PTPN11, LYN	any	PTPN11)
VAV1	0.4778176172802956	true	-1	false	Set(KIT	any	VAV1, KIT	any	PTPN11, CD8B	any	VAV1)
TEC	0.4777865433458572	true	-1	false	Set(CRKL	any	KIT, CRKL	any	PDGFRA, KIT	any	PTPN11, KIT	any	TEC)
PTPRJ	0.4777773977486419	true	-1	true	Set(KIT	any	MATK, KIT	any	PTPRJ, KIT	any	PTPN11)
PTPRO	0.47777722901521463	true	-1	true	Set(KIT	any	PTPN11, KIT	any	PTPRO, PTPRO	any	SH3GL1)
MYB	0.4777727531380607	true	-1	true	Set(KIT	any	MYB, CEBPB	any	MYB, CEBPA	any	CEBPB)
CRKL	0.4777403923492566	true	-1	false	Set(CRKL	any	KIT, CRKL	any	PDGFRA, KIT	any	PTPN11, KIT	any	TEC)
EPOR	0.4777265099281356	true	-1	false	Set(GFRA1	any	PTPN11, EPOR	any	KIT, KIT	any	PTPN11, GFRA1	any	PRKCA)
EPO	0.47770166300286837	true	-1	false	Set(CBL	any	EPO, KIT	any	PTPN11, EPO	any	KIT)
SOCS1	0.4776910818378708	true	-1	true	Set(KIT	any	SOCS1, KIT	any	PTPN11, FAM134C	any	STAP1, KIT	any	STAP1)
STAP1	0.4776887652822533	true	-1	false	Set(KIT	any	SOCS1, KIT	any	PTPN11, FAM134C	any	STAP1, KIT	any	STAP1)
STAT3	0.47766389981404805	true	-1	true	Set(KIT	any	STAT3, KIT	any	PTPN11, JAK2	any	STAT3)
MAPK8	0.4776591187158158	true	-1	false	Set(KIT	any	STAT1, KIT	any	MAPK8, KIT	any	PTPN11)
MATK	0.47763264441415687	true	-1	false	Set(KIT	any	MATK, KIT	any	PTPN11, FCER1A	any	PTPN11)
SH2B3	0.4776111501229534	true	-1	true	Set(IL2	any	PTPN11, KIT	any	PTPN11, KIT	any	SH2B3)
MET	0.477609060782269	true	-1	true	Set(CD82	any	TP53, MET	any	PTPN11, MET	any	TP53)
FER	0.47758741659550435	true	-1	false	Set(FER	any	KIT, KIT	any	PTPN11, KIT	any	SNAI2)
TERT	0.4775812773896564	true	-1	true	Set(NPM2	any	NPM3, TERT	any	WT1, NPM3	any	WT1, NPM1	any	NPM2)
CBL	0.4775530077050857	true	-1	true	Set(CBL	any	KIT, CREBBP	any	KIT, KIT	any	PTPN11)
DOK1	0.47754543915719483	true	-1	false	Set(DOK1	any	KIT, SNAI2	any	TP53, KIT	any	SNAI2)
RPS6KB1	0.477499543692876	true	-1	true	Set(PTPN11	any	STAT1, KIT	any	RPS6KB1, KIT	any	STAT1, IL12RB2	any	STAT1)
EGFR	0.4774974994848003	true	-1	true	Set(EGFR	any	PTPN11, ABL1	any	EGFR, KIT	any	PTPN11)
STAG2	0.47748171647963517	true	-1	true	Set(CDC25C	any	PLK1, PLK1	any	STAG2, PLK3	any	TP53, CDC25C	any	PLK3)
PLK1	0.47748171647963517	true	-1	false	Set(CDC25C	any	PLK1, PLK1	any	STAG2, PLK3	any	TP53, CDC25C	any	PLK3)
GRB10	0.47747013682306005	true	-1	true	Set(GRB10	any	VEGFA, GRB10	any	KDR, GRB10	any	KIT, PTPN11	any	VEGFA)
MYC	0.47744905529978876	true	-1	true	Set(MYC	any	TP53, CEBPA	any	MYC, MYC	any	PPP2R4)
CREBBP	0.4774375811613154	true	-1	true	Set(CBL	any	KIT, CREBBP	any	KIT, KIT	any	PTPN11)
PTPN6	0.47739641587981385	true	-1	false	Set(KITLG	any	PTPN11, KIT	any	PTPN6, KIT	any	PTPN11, KIT	any	SNAI2)
HLA-DRA	0.47738788251176856	true	-1	false	Set(HLA-DRA	any	PTPN11, KIT	any	PTPN11, KIT	any	SH2B3)
E2F4	0.4773640655132979	true	-1	false	Set(CDK2	any	TP53, CEBPA	any	E2F4, CDK2	any	CEBPA)
KLK3	0.4773389873285599	true	-1	false	Set(CEBPA	any	KLK3, RB1	any	TP53, CEBPA	any	RB1)
IL2	0.4773358886081507	true	-1	true	Set(IL2	any	PTPN11, KIT	any	PTPN11, KIT	any	SH2B3)
SH2B2	0.47732824428925263	true	-1	false	Set(CRKL	any	KIT, KIT	any	SH2B2, KIT	any	PTPN11)
CD3G	0.47732460252947984	true	-1	false	Set(CD3G	any	ZAP70, KIT	any	PTPN11, KIT	any	PTPRO, PTPN11	any	ZAP70)
