>PMS2,6.620189758204741
TP53,APC,any
PMS2,TP53,any
TP53,ATM,any
>PMS2,6.589478890815062
PMS2,TP53,any
ATM,RBBP8,any
TP53,ATM,any
>PMS2,6.929060246817377
PMS2,TP53,any
TP53,EGFR,any
TP53,ATM,any
>PMS2,6.31212835460033
TP53,PMS2,any
ATM,RAD50,any
ATM,TP53,any
>PMS2,6.375655022843585
TP53,APC,any
PMS2,TP53,any
TP53,EGFR,any
>CDK4,6.96355130438743
TRRAP,TP53,any
CDK4,TRRAP,any
CDKN2A,CDK4,any
>CDK4,6.732682078142088
E2F1,CDK4,any
E2F1,ATM,any
ATM,TP53,any
>CDK4,6.79644014849486
CDK4,TAF9,any
TAF9,TP53,any
CDKN2A,CDK4,any
>CDK4,7.042095222738812
CDK4,MAX,any
MAX,TP53,any
CDKN2A,CDK4,any
>CDK4,6.7935441147316125
ANXA7,CDK4,any
CDK4,CDKN2A,any
ANXA7,TP53,any
>SMARCA4,6.908867030894995
RBBP8,ATM,any
TP53,SMARCA4,any
ATM,TP53,any
>SMARCA4,6.9466071655173005
SMARCA4,CTNNB1,any
SMARCA4,TP53,any
TP53,ATM,any
>SMARCA4,7.032349027447935
CTNNB1,SMARCA4,any
SMARCA4,TP53,any
BCL9,CTNNB1,any
>SMARCA4,6.9192285064738055
TP53,EGFR,any
TP53,SMARCA4,any
VCAN,TP53,any
>SMARCA4,6.823166260344861
TP53,CSE1L,any
TP53,SMARCA4,any
ATM,TP53,any
>SP1,6.166634601393449
TFDP1,TP53,any
TFDP1,SP1,any
TP53,ATM,any
>SP1,6.533498482296256
SP1,TP53,any
SP1,SMAD4,any
SMAD4,STK11,any
>SP1,6.108349064493629
SP1,APC,any
SP1,TP53,any
TP53,ATM,any
>SP1,6.226782441203308
TFDP1,TP53,any
TFDP1,SP1,any
TP53,EGFR,any
>SP1,6.20517918453057
TP53,APC,any
SP1,TP53,any
TP53,EGFR,any
>CASP6,6.145169523611539
CASP6,TP53,any
TP53,VCAN,any
TP53,ATM,any
>CASP6,6.499663948988376
TP53,EGFR,any
CASP6,TP53,any
TP53,ATM,any
>CASP6,5.944624315371537
APAF1,TP53,any
APAF1,CASP6,any
TP53,ATM,any
>CASP6,6.005647424785731
CASP6,APAF1,any
TP53,EGFR,any
CASP6,TP53,any
>CASP6,6.023400852290993
CASP6,CASP3,any
TP53,EGFR,any
CASP6,TP53,any
>NRXN1,6.484292490672331
APC,TP53,any
MACF1,NRXN1,any
MACF1,APC,any
>NRXN1,5.928030377368424
JUN,TP53,any
MACF1,JUN,any
NRXN1,MACF1,any
>NRXN1,5.825574726679397
RBBP8,ATM,any
RBBP8,PDZD2,any
PDZD2,NRXN1,any
ATM,TP53,any
>NRXN1,5.862051858228118
APC,NAV3,any
APC,TP53,any
NRXN1,MACF1,any
MACF1,APC,any
>NRXN1,5.809172250424661
CDC5L,MACF1,any
MACF1,NRXN1,any
CDC5L,CDKN2A,any
>MTOR,6.266558040742145
EGFR,MTOR,any
EGFR,TP53,any
ANKS1B,EGFR,any
>MTOR,6.30245383601425
MTOR,EGFR,any
EGFR,CTNNB1,any
EGFR,TP53,any
>MTOR,6.330377968515589
EGFR,MTOR,any
EGFR,TP53,any
RAC1,EGFR,any
>MTOR,6.558999778510298
MTOR,EGFR,any
EGFR,TP53,any
MTOR,CCNE1,any
>MTOR,6.318048067349627
