GeneA	GeneB	MEScore
GSK3B	TP53	0.0
LAMA4	RIF1	4.5451602722678075
ATM	TP53	10.657154371013018
ATM	BARD1	4.48209706929603
CDC42	RAC1	3.6226606330479485
STK11	SIK1	4.949747468305833
ATF2	RB1	4.145751311064591
APC	CDC42	3.774254628187981
CDC42	TP53	8.555303653399289
USP7	TP53	8.514554674173617
TFDP1	MYC	3.105022542842907
CDC42	CTNNB1	3.224744871391589
TP53	MLH1	8.555303653399289
TP53	SH2D1A	8.20551750371122
LAMA4	TP53	9.091113225344488
APC	DST	6.173071914505695
UBE2I	MDM2	0.0
APC	GSK3B	0.0
EGFR	SH2D1A	5.1792427361861275
RB1	TFDP1	4.967230000337094
SIK1	TP53	8.697402159170327
MACF1	ATF7IP	5.06449510224598
NFYC	TP53	9.181145747868609
PPP1CA	TP53	0.0
RB1	MET	4.57390753524675
SMAD4	ATF7IP	4.943284091265031
BARD1	TP53	8.181145747868609
TP53	UBE2I	0.0
PIK3CA	RAC1	4.716916125037999
TP53	RB1	8.516648189186455
GSK3B	MYC	0.0
APC	CTNNB1	4.37082869338697
MAX	ERBB2	3.516032718869509
CTNNB1	HGF	4.420338450183363
MAX	TP53	8.697402159170327
EGFR	ERBB2	6.623546680428131
DST	NFYC	5.74764540862113
USP7	MDM2	2.5243377989621383
APC	RAC1	4.947425518452752
MDM2	TP53	8.197402159170327
CTNNB1	EGFR	6.232786924399332
GSK3B	MAX	0.0
MET	CDC42	3.2686153055105516
TP53	APAF1	9.0872181889845
LAMA4	ATF7IP	4.743123641568074
HGF	CDC42	3.822821082744905
BARD1	CHD3	2.767766952966369
TTC5	TP53	8.173004626611403
PIK3CA	BCL2L1	4.242536938513255
APAF1	CASP3	3.9240959812916367
TP53	APC	9.486601799250879
PPP1CA	RIF1	0.0
CTNNB1	MYC	2.7071067811865475
MAX	MYC	1.9318516525781364
MAX	SMAD4	3.8704961824561797
CHD3	RIF1	3.882632124329534
RAC1	CTNNB1	4.3081999182299935
TP53	BCL6	9.213307591321064
ATM	DYRK2	0.0
CSE1L	TP53	9.062742832762273
ATF2	BRCA1	3.3708286933869704
BRCA1	TP53	8.490000744772892
MYC	NFYC	2.5098824189185422
APC	LAMA4	4.845207879911715
TP53	EGFR	10.142796543910087
MYC	TP53	8.20551750371122
TP53	HGF	9.155767533855748
MYC	SMAD4	3.352858092251138
ATM	BRCA1	5.37082869338697
TFDP1	TP53	9.511182088355033
SMAD4	SKIL	5.145751311064591
CTNNB1	GSK3B	0.0
BRCA1	MAX	3.09557356477856
ATF2	SMAD4	4.145751311064591
MAX	NFYC	3.0275205091235833
SKIL	MACF1	5.270197084925374
STK11	MYC	5.008269414707861
TP53	VCAN	9.579537288647792
SMAD4	STK11	6.757346591481601
CASP1	CASP3	3.209684055085084
CDC42	RIF1	3.2686153055105516
SMAD4	UBE2I	0.0
APC	MACF1	5.464985704219043
CHD3	GSK3B	0.0
ATM	TTC5	4.724744871391589
CTNNB1	MET	4.1794494717703365
SMAD4	TFDP1	4.8893640588312355
TP53	MET	9.46763049610994
RB1	MYC	3.352858092251138
CHD3	SKIL	4.302775637731995
SMARCA4	TP53	9.527604898448196
RAC1	MYC	3.105022542842907
HGF	MET	4.611062569605222
DYRK2	TP53	0.0
TP53	CASP1	8.555303653399289
BCL2L1	TP53	9.070909977929873
BARD1	BRCA1	2.9888626821368653
BRCA1	MYC	2.5779354745735183
CTNNB1	SMARCA4	4.652186795903763
EGFR	RAC1	6.215365492632662
ATM	MDM2	4.189203850482578
MYC	ERBB2	2.9983946286644674
SKIL	UBE2I	0.0
UBE2I	ATF7IP	0.0
CHD3	TP53	8.766563259139073
CTNNB1	VCAN	5.418588742399738
