GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.5	true	-1	true	Set()	0.0
APC	0.5	true	-1	true	Set()	0.0
ATM	0.5	true	-1	true	Set()	0.0
EGFR	0.5	true	-1	true	Set()	0.0
CTNNB1	0.5	true	-1	true	Set()	0.0
VCAN	0.5	true	-1	false	Set()	0.0
STK11	0.5	true	-1	true	Set()	0.0
NFYC	0.5	true	-1	false	Set()	0.0
SMAD4	0.5	true	-1	true	Set()	0.0
MET	0.5	true	-1	true	Set()	0.0
ERBB2	0.5	true	-1	true	Set()	0.0
SIK1	0.5	true	-1	false	Set()	0.0
SMARCA4	0.5	true	-1	true	Set()	0.0
TFDP1	0.5	true	-1	true	Set()	0.0
USP7	0.5	true	-1	false	Set()	0.0
MAX	0.5	true	-1	true	Set()	0.0
HGF	0.5	true	-1	true	Set()	0.0
DST	0.5	true	-1	true	Set()	0.0
CASP3	0.5	true	-1	true	Set()	0.0
RAC1	0.5	true	-1	true	Set()	0.0
LAMA4	0.5	true	-1	true	Set()	0.0
BCL2L1	0.5	true	-1	true	Set()	0.0
MACF1	0.5	true	-1	true	Set()	0.0
BRCA1	0.5	true	-1	true	Set()	0.0
BCL6	0.5	true	-1	true	Set()	0.0
CDC42	0.5	true	-1	true	Set()	0.0
TTC5	0.5	true	-1	false	Set()	0.0
CSE1L	0.5	true	-1	false	Set()	0.0
APAF1	0.5	true	-1	true	Set()	0.0
CASP1	0.5	true	-1	false	Set()	0.0
PIK3CA	0.5	true	-1	true	Set()	0.0
CHD3	0.5	true	-1	true	Set()	0.0
RB1	0.5	true	-1	true	Set()	0.0
RIF1	0.5	true	-1	false	Set()	0.0
ATF7IP	0.5	true	-1	true	Set()	0.0
ATF2	0.5	true	-1	false	Set()	0.0
MYC	0.5	true	-1	true	Set()	0.0
PPP1CA	0.5	true	-1	false	Set()	0.0
MDM2	0.5	true	-1	true	Set()	0.0
SH2D1A	0.5	true	-1	false	Set()	0.0
SKIL	0.5	true	-1	false	Set()	0.0
BARD1	0.5	true	-1	false	Set()	0.0
GSK3B	0.5	true	-1	false	Set()	0.0
MLH1	0.5	true	-1	true	Set()	0.0
UBE2I	0.5	true	-1	false	Set()	0.0
DYRK2	0.5	true	-1	false	Set()	0.0
