GeneA	GeneB	MEScore
ATF2	MMP2	3.232050807568877
BARD1	XRCC5	2.342778860141484
E2F1	CDK4	3.7383067270534527
GSK3B	TP53	0.0
LAMA4	RIF1	4.5451602722678075
TP53	IGFBP3	8.412624284897769
PRKDC	XRCC5	4.224744871391589
GSK3B	ZHX1	0.0
GRB2	SP1	1.8660254037844386
E2F1	APAF1	2.668801041516433
ATM	TP53	10.657154371013018
ATM	BARD1	4.48209706929603
TP53	XRCC5	8.697402159170327
CDC42	RAC1	3.6226606330479485
STK11	SIK1	4.949747468305833
ATF2	RB1	4.145751311064591
BAX	CASP3	2.987345747344081
APC	CDC42	3.774254628187981
GSK3B	MAPK14	0.0
HIF1A	TP53	8.20551750371122
HIF1A	SMAD4	3.352858092251138
ANXA7	APC	3.2566165379829397
PPP1CA	PPP1R13L	0.0
CDC42	TP53	8.555303653399289
ANXA7	CDK4	3.5793881044555618
DVL2	RAC1	3.3979157616563596
ATF2	DUSP5	2.2071067811865475
USP7	TP53	8.514554674173617
TFDP1	MYC	3.105022542842907
NFYB	NFYC	2.802775637731995
PPP1R13L	TP53	8.547171151653046
CDC42	CTNNB1	3.224744871391589
ERBB2	ANKS1B	4.2912878474779195
TP53	MLH1	8.555303653399289
TP53	SH2D1A	8.20551750371122
CHD3	HTT	3.3131896376530667
LAMA4	TP53	9.091113225344488
APC	DST	6.173071914505695
UBE2I	MDM2	0.0
CTNNB1	TRRAP	4.5
APC	GSK3B	0.0
MYC	CDK4	3.5793881044555618
ATF2	SERPINB5	2.8228756555322954
EGFR	SH2D1A	5.1792427361861275
GRB2	PRKAB1	1.8660254037844386
RB1	TFDP1	4.967230000337094
CASP6	CHD3	2.267766952966369
SIK1	TP53	8.697402159170327
HTT	SETDB1	3.018458151313612
NGFR	CASP6	1.7071067811865475
XRCC6	HTT	2.956795678960466
MACF1	ATF7IP	5.06449510224598
JUN	MMP2	2.598076211353316
PAK1	PIK3CA	3.7859218074993795
NFYC	TP53	9.181145747868609
PPP1CA	TP53	0.0
JUN	TP53	8.197402159170327
RB1	MET	4.57390753524675
SMAD4	ATF7IP	4.943284091265031
JUN	SP1	1.7320508075688772
TP53	TRRAP	8.667868424020645
MAPK14	ATF2	2.3660254037844384
UBE2I	SETDB1	0.0
BARD1	TP53	8.181145747868609
TP53	UBE2I	0.0
PIK3CA	RAC1	4.716916125037999
TP53	RB1	8.516648189186455
GSK3B	MYC	0.0
CDK4	RB1	5.448514774101161
ATR	BRCA1	3.771277606234947
CDC42	GRB2	2.224744871391589
APC	CTNNB1	4.37082869338697
MTOR	GSK3B	0.0
ERBB2	PTPRB	4.80997551274654
EGFR	PTPRC	6.707168280641843
HTT	ZHX1	2.956795678960466
MAPK14	TP53	8.197402159170327
ERBB2	PTPRC	4.710941711652707
ANXA7	TP53	8.20551750371122
MAX	ERBB2	3.516032718869509
TP53	CASP6	8.20551750371122
APC	PAK1	4.049509756796392
CTNNB1	HGF	4.420338450183363
SMYD2	TP53	8.404508940356873
EGFR	GRB2	5.47213595499958
E2F1	RB1	3.3291289016119263
MYC	TRRAP	3.2071067811865475
MAX	TP53	8.697402159170327
CTNNB1	MMP2	3.732050807568877
EGFR	ERBB2	6.623546680428131
DST	NFYC	5.74764540862113
ATM	E2F1	4.366025403784438
TP53	XRCC6	8.173004626611403
USP7	MDM2	2.5243377989621383
APC	RAC1	4.947425518452752
NRXN1	MACF1	6.166440087726352
SP1	TP53	8.197402159170327
MAX	SP1	2.0907702751760278
JUN	MACF1	3.7815013512070887
ERBB2	IRS4	4.415517449270126
ATR	TP53	8.856913632628462
TP53	CASP10	8.412624284897769
MDM2	TP53	8.197402159170327
CTNNB1	EGFR	6.232786924399332
CHD3	PRMT5	2.9208096264818897
GSK3B	MAX	0.0
TRRAP	MDM2	3.181980515339464
ERBB2	ERBB3	3.558943633032085
MET	CDC42	3.2686153055105516
CSE1L	ESR2	2.8660254037844384
NGFR	SORT1	2.0
XRCC6	SKIL	3.724744871391589
TP53	PMS2	8.70551750371122
ERBB2	GRB2	3.29128784747792
EGFR	ERBB3	5.97213595499958
ATM	RBBP8	5.625461659792892
CEBPZ	TP53	8.404508940356873
MYC	SP1	1.5731321849709863
MYC	NFYB	1.7071067811865475
TP53	APAF1	9.0872181889845
LAMA4	ATF7IP	4.743123641568074
ANXA7	SETDB1	2.121320343559643
LAMA4	ZHX1	3.674234614174767
CDK4	SETDB1	4.286494885642109
SMAD4	SP1	3.511776714849029
NRXN1	MYO16	5.754753304158179
EGFR	ANKS1B	6.314925902044765
HGF	CDC42	3.822821082744905
BARD1	CHD3	2.767766952966369
BARD1	HTT	2.6955824957813173
SP1	BAX	1.7320508075688772
TTC5	TP53	8.173004626611403
HIF1A	JUN	1.5731321849709863
JUN	MYC	1.5731321849709863
PRMT5	TTC5	2.342778860141484
PIK3CA	BCL2L1	4.242536938513255
APAF1	CASP3	3.9240959812916367
CTNNB1	PTPRC	4.5
E2F1	NGFR	1.8660254037844386
TP53	BAX	8.412624284897769
TP53	APC	9.486601799250879
PPP1CA	RIF1	0.0
GRB2	RIF1	3.016606720545095
EGFR	PAK1	5.97213595499958
CTNNB1	MYC	2.7071067811865475
TP53	SERPINB5	8.68927824961485
MAX	MYC	1.9318516525781364
MAX	SMAD4	3.8704961824561797
MAPK14	PPP1R13L	2.188901059316734
CHD3	RIF1	3.882632124329534
ERBB4	ANKS1B	4.472045200739823
KAT2B	MDM2	1.9840593925343335
RAC1	CTNNB1	4.3081999182299935
TP53	BCL6	9.213307591321064
SKIL	SETDB1	3.914213562373095
ATR	BARD1	3.118033988749895
ATM	DYRK2	0.0
CSE1L	TP53	9.062742832762273
APAF1	CASP6	2.5098824189185422
BAX	XRCC6	2.0907702751760278
KAT2B	TP53	8.181145747868609
TP53	PRKAB1	8.412624284897769
CTNNB1	JUN	2.8660254037844384
TP53	TSC2	8.547171151653046
ATF2	BRCA1	3.3708286933869704
BRCA1	RBBP8	4.216036573298686
NFYC	SP1	2.668801041516433
TP53	ZHX1	8.388252529055155
BARD1	SETDB1	2.53224755112299
EGFR	PTPRB	6.813796194820283
PRKDC	TP53	9.3277341093782
PIK3CA	MTOR	4.3344074347600685
GSK3B	CEBPZ	0.0
GRB2	TSC2	2.3228756555322954
BRCA1	TP53	8.490000744772892
MAX	TSC2	2.5476205269238843
BARD1	PRKDC	3.64394181230423
PIK3CA	PTEN	3.6226606330479485
PAK1	RAC1	3.8979157616563596
MYC	NFYC	2.5098824189185422
KAT2B	SMAD4	3.622022120425379
APC	LAMA4	4.845207879911715
SORT1	TP53	8.404508940356873
MET	PTPRC	4.596194077712559
EGFR	MTOR	6.328967318418722
ANXA3	TP53	8.412624284897769
TP53	EGFR	10.142796543910087
MYC	TP53	8.20551750371122
TP53	HGF	9.155767533855748
MYC	SMAD4	3.352858092251138
MYC	BAX	1.5731321849709863
ATM	BRCA1	5.37082869338697
TSC2	MTOR	3.259367328636004
APC	SETDB1	3.8477518901228147
TP53	DUSP5	8.20551750371122
TFDP1	TP53	9.511182088355033
SMAD4	SKIL	5.145751311064591
CDC42	PAK1	2.724744871391589
SP1	TFDP1	3.263941165440798
CTNNB1	GSK3B	0.0
NGFR	RAC1	3.3979157616563596
BRCA1	MAX	3.09557356477856
BARD1	RBBP8	3.4632418686616098
TP53	PTEN	8.555303653399289
ATF2	JUN	2.3660254037844384
MAPK14	JUN	1.7320508075688772
SP1	APC	3.4155351605808306
ATF2	SMAD4	4.145751311064591
MAX	NFYC	3.0275205091235833
GSK3B	TSC2	0.0
MYC	TSC2	2.029982436718843
CTNNB1	PTPRB	4.598076211353316
SKIL	MACF1	5.270197084925374
STK11	MYC	5.008269414707861
ERBB3	SH2D1A	2.2071067811865475
TP53	VCAN	9.579537288647792
SMAD4	STK11	6.757346591481601
CASP1	CASP3	3.209684055085084
APC	NAV3	6.363961030678928
CDC42	MTOR	3.1612365444952975
CDC42	RIF1	3.2686153055105516
SMAD4	UBE2I	0.0
APC	MACF1	5.464985704219043
CHD3	GSK3B	0.0
MAX	NFYB	2.224744871391589
TP53	TRIAP1	8.70551750371122
CASP10	CASP3	2.987345747344081
ATM	TTC5	4.724744871391589
MAX	CDK4	4.097026194660604
TRRAP	CDK4	5.372281323269014
NGFR	PIK3CA	3.237733648910723
CTNNB1	MET	4.1794494717703365
PRKDC	XRCC6	4.097127810703141
XRCC5	XRCC6	2.449489742783178
JUN	SMAD4	3.511776714849029
SMAD4	TFDP1	4.8893640588312355
CHD3	ZHX1	2.885800941716264
BARD1	ZHX1	2.1726039399558577
TP53	MET	9.46763049610994
JUN	RB1	3.511776714849029
RB1	MYC	3.352858092251138
TP53	MMP2	8.506378798752502
CHD3	SKIL	4.302775637731995
HTT	TP53	8.506378798752502
DVL2	PAK1	2.5
BCL2L1	ZHX1	3.1612365444952975
SMAD4	PAK1	4.036235682798474
SORT1	CASP6	1.7071067811865475
SMARCA4	TP53	9.527604898448196
MAPK14	KAT2B	1.9840593925343335
ATR	MDM2	2.8660254037844384
RAC1	MYC	3.105022542842907
NGFR	TP53	8.57154290749566
NFYB	TP53	8.57154290749566
BARD1	XRCC6	2.342778860141484
DYRK2	PPP1R13L	0.0
HGF	MET	4.611062569605222
CASP3	CASP6	2.82842712474619
DYRK2	TP53	0.0
TP53	CASP1	8.555303653399289
ANXA7	NGFR	1.7071067811865475
BCL2L1	TP53	9.070909977929873
BMP1	TP53	8.173004626611403
BARD1	BRCA1	2.9888626821368653
SETDB1	RIF1	3.5936630341434324
TP53	NLRC4	8.697402159170327
BRCA1	MYC	2.5779354745735183
EGFR	IRS4	6.477433245972755
GRB2	NFYB	2.0
CTNNB1	SMARCA4	4.652186795903763
EGFR	RAC1	6.215365492632662
PRMT5	TP53	8.396385030801397
DVL2	TP53	8.18927824961485
ATM	MDM2	4.189203850482578
E2F1	KAT2B	1.9840593925343335
HIF1A	SP1	1.5731321849709863
MYC	ERBB2	2.9983946286644674
MAX	BAX	2.0907702751760278
SKIL	UBE2I	0.0
SP1	E2F1	1.7320508075688772
UBE2I	ATF7IP	0.0
CHD3	TP53	8.766563259139073
CTNNB1	VCAN	5.418588742399738
E2F1	SORT1	1.8660254037844386
MAX	TRRAP	3.5929077229028112
