SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	TP53
5	5	0	100	TP53,ATM,EGFR,APC,CTNNB1
6	5	1	83	TP53,ATM,EGFR,APC,CTNNB1,VCAN
7	6	1	85	TP53,ATM,EGFR,APC,CTNNB1,STK11,VCAN
8	6	2	75	TP53,ATM,EGFR,APC,CTNNB1,STK11,VCAN,NFYC
9	7	2	77	TP53,ATM,EGFR,APC,CTNNB1,STK11,SMAD4,VCAN,NFYC
10	8	2	80	TP53,ATM,EGFR,APC,CTNNB1,STK11,MET,SMAD4,VCAN,NFYC
12	9	3	75	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,SMAD4,VCAN,NFYC,SIK1
13	10	3	76	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,SMAD4,SMARCA4,VCAN,NFYC,SIK1
14	11	3	78	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,VCAN,NFYC,SIK1
15	11	4	73	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,VCAN,NFYC,SIK1,USP7
16	12	4	75	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,VCAN,NFYC,SIK1,USP7
17	13	4	76	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,HGF,VCAN,NFYC,SIK1,USP7
18	14	4	77	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,HGF,DST,VCAN,NFYC,SIK1,USP7
19	15	4	78	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CASP3,HGF,DST,VCAN,NFYC,SIK1,USP7
20	16	4	80	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CASP3,HGF,DST,RAC1,VCAN,NFYC,SIK1,USP7
22	18	4	81	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,LAMA4,CASP3,HGF,BCL2L1,DST,RAC1,VCAN,NFYC,SIK1,USP7
23	19	4	82	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,LAMA4,CASP3,HGF,BCL2L1,MACF1,DST,RAC1,VCAN,NFYC,SIK1,USP7
24	20	4	83	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,BRCA1,LAMA4,CASP3,HGF,BCL2L1,MACF1,DST,RAC1,VCAN,NFYC,SIK1,USP7
25	21	4	84	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,BRCA1,LAMA4,CASP3,HGF,BCL2L1,MACF1,DST,BCL6,RAC1,VCAN,NFYC,SIK1,USP7
27	22	5	81	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,BCL2L1,MACF1,DST,BCL6,RAC1,VCAN,NFYC,SIK1,USP7,TTC5
28	22	6	78	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,BCL2L1,MACF1,DST,BCL6,RAC1,VCAN,NFYC,SIK1,USP7,TTC5,CSE1L
29	23	6	79	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MACF1,DST,BCL6,RAC1,VCAN,NFYC,SIK1,USP7,TTC5,CSE1L
30	23	7	76	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MACF1,DST,BCL6,RAC1,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L
31	24	7	77	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MACF1,DST,BCL6,RAC1,PIK3CA,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L
32	25	7	78	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MACF1,CHD3,DST,BCL6,RAC1,PIK3CA,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L
33	26	7	78	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L
34	26	8	76	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L,RIF1
36	27	9	75	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L,ATF2,RIF1
37	28	9	75	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L,ATF2,RIF1
38	28	10	73	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L,ATF2,RIF1,PPP1CA
39	29	10	74	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,MDM2,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,CSE1L,ATF2,RIF1,PPP1CA
40	29	11	72	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,MDM2,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,SH2D1A,CSE1L,ATF2,RIF1,PPP1CA
41	29	12	70	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,MDM2,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,SH2D1A,CSE1L,ATF2,RIF1,SKIL,PPP1CA
42	29	13	69	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,MDM2,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,SH2D1A,CSE1L,BARD1,ATF2,RIF1,SKIL,PPP1CA
43	29	14	67	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,MDM2,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,SH2D1A,CSE1L,BARD1,ATF2,RIF1,SKIL,GSK3B,PPP1CA
44	30	14	68	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,MDM2,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,MLH1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,SH2D1A,CSE1L,BARD1,ATF2,RIF1,SKIL,GSK3B,PPP1CA
46	30	16	65	TP53,ATM,EGFR,APC,CTNNB1,STK11,ERBB2,MET,TFDP1,SMAD4,SMARCA4,MAX,CDC42,BRCA1,LAMA4,CASP3,HGF,APAF1,MDM2,BCL2L1,MYC,MACF1,CHD3,DST,RB1,BCL6,RAC1,MLH1,PIK3CA,ATF7IP,VCAN,NFYC,SIK1,USP7,TTC5,CASP1,SH2D1A,CSE1L,BARD1,ATF2,RIF1,DYRK2,SKIL,GSK3B,PPP1CA,UBE2I
