GeneA	GeneB	MEScore
LEF1	CCND1	3.102093381284228
TP53	XRCC6	7.924621202458749
EGFR	ANKS1B	6.17598955886597
ZNF177	ARHGAP21	2.9208096264818897
HTT	TP53	8.25689815333168
PPP1CA	TGFBR1	0.0
RASA1	SOS1	2.8719515360844206
CDC42	GRB2	0.0
ITGB2	LPA	3.4632418686616098
CRK	SOS1	0.0
APC	SNRNP200	4.4689049047402865
MAX	ITGB1	2.224744871391589
PLXND1	MACF1	4.283882181415011
ABL1	GRB2	0.0
JUN	TCF7L2	0.0
PPP1CA	YLPM1	0.0
TP53	RFWD2	0.0
CTNNB1	JUN	0.0
EGF	EGFR	5.387482193696061
JUN	MACF1	0.0
JUN	TP53	0.0
FYN	SP1	0.0
LRP1	SKIL	3.297483460520232
HTT	ZHX1	2.956795678960466
CBL	ITGB3	2.7370892179053907
NCK1	SOS1	0.0
AR	CCND1	3.409321836227815
LRP1	PDGFRB	3.837761866948037
SMAD1	ZNF8	2.342778860141484
CHD3	HTT	3.3131896376530667
CBL	PTPRJ	2.6457513110645907
PRPF40A	UBQLN4	2.118033988749895
PIK3CA	PIK3R1	0.0
ATXN1	ZHX1	2.724744871391589
ERBB4	ANKS1A	0.0
CDH2	CTNNB1	3.771277606234947
ITGAM	LRP1	3.7317201468448467
CRK	HGF	0.0
FYN	SOS1	2.724744871391589
CBL	PLCG1	2.3228756555322954
EGF	SOS1	2.5
DST	MAPK6	4.640054944640259
PAK1	RHOA	0.0
CACNA1A	LTBP1	4.739610668849677
KDR	NCK1	0.0
KDR	ROCK1	4.2204566024535515
MAX	CDK4	3.8704961824561797
ERBB3	JAK2	3.08113883008419
SMAD3	SKIL	2.118033988749895
GFI1B	HECW1	3.622022120425379
FYN	CTNNA1	2.5476205269238843
GRB2	SMAD3	0.0
JAK2	PIK3CA	3.9263467099959044
NRXN1	PDZD2	5.261993684949605
FLT4	KDR	4.283882181415011
DSCAML1	MAGI3	0.0
FOXA1	SP1	0.0
CDH2	PTPRC	4.174483882858279
CDC42	RIF1	0.0
FLT1	PIK3R1	0.0
SMAD3	SPTBN1	2.8708286933869704
CTNNB1	RHOA	0.0
CTNNB1	EGF	3.0
CBL	PDGFRB	2.9811880507099953
DST	NFYC	4.640054944640259
ITGB1	JAK2	2.58113883008419
PAK1	PIK3R1	0.0
CTNND1	HGF	3.449489742783178
PDGFRB	RASA1	3.1583123951777
TP53	UBE2I	0.0
APC	NEB	5.711787416964771
RHOA	ITGA4	0.0
ITGB3	PIK3CA	3.7594214422848102
ITGB3	PIK3R1	0.0
CTNNB1	VCAN	5.309176063911719
TCF7L2	MYC	0.0
SOS1	PAK1	3.0
CDK4	TGFBR1	3.6457513110645907
DAB1	RELN	5.193940629294628
GRB2	SP1	0.0
ABL1	ERBB4	3.669269563007828
ITGB3	ROCK1	2.914213562373095
ATXN1	UBE2I	0.0
FN1	SMAD4	3.749962461512889
COL1A2	FLT4	3.9528470752104745
SMAD2	SMAD9	0.0
ATM	BARD1	4.275570828030903
EGF	PLCG1	2.0
ABL1	FYN	2.342778860141484
KAT2B	SMAD2	2.118033988749895
COL1A2	ITGA2	4.242536938513255
JAK2	STAT3	2.995352392457285
CTNNA1	PIK3CA	3.6680835354440102
FN1	PAK1	3.6213203435596424
CBL	SOS1	2.8228756555322954
BRCA1	MYC	0.0
ATF7IP	PAPPA2	5.1138321679176
ANK2	TNIK	0.0
CAB39	STK11	0.0
ABL1	PLCG1	2.118033988749895
PLCG1	CDC42	0.0
PEG3	USP7	4.782700948800614
MYC	SMAD4	0.0
DAB1	PIK3R1	0.0
GRIN2B	PTPRJ	4.075183434139434
GRB2	SNRNP200	0.0
GRB2	SOS1	0.0
XRCC6	SMAD3	2.038629343740296
NCK1	RASA1	0.0
CTNND1	PIK3R1	0.0
CBL	EGFR	5.597958792525564
ATXN1	WNK1	3.3708286933869704
FYN	PIK3CA	3.569952751303304
EGFR	PLCG1	5.2392393249184135
ITGB3	KDR	4.242640687119286
EGF	PAK1	2.5
MBD5	KIAA1549	2.9811880507099953
MET	PTPRG	3.3844284683411257
CTNNB1	CDKN1B	4.061552812808831
CTNNB1	TRRAP	4.449489742783178
APC	DST	6.020203957054603
SP1	TP53	0.0
ERBB2	STAT3	3.6502815398728847
BRCA1	NCK1	0.0
MYC	PDGFRB	0.0
ITGB2	LRP1	3.297483460520232
SMARCA4	TP53	9.227798178168051
XRCC6	HTT	2.956795678960466
EGFR	RAC1	0.0
PTPRJ	HGF	3.5159497504062545
IGSF1	RANBP10	0.0
MET	RANBP10	0.0
MET	PLCG1	3.1213203435596424
FBN2	SMAD2	4.409545424246463
ERBB3	SYNGAP1	2.618033988749895
EGF	MTOR	2.9364916731037085
ESR2	ZNF512B	0.0
EGFR	ANKS1A	0.0
ERBB2	PIK3R1	0.0
CDK4	CDKN2A	7.128137743762485
FLT1	RASA1	3.445223163532085
AR	PIK3CA	3.318404623873926
DAB1	PIK3CA	4.281699553015423
CHD3	RIF1	3.70055277607183
CDK4	SETDB1	4.059964873437686
ERBB2	GRB2	0.0
CTNNB1	PTPRB	4.738612787525831
ITGA2	ITGB1	2.7699686802504155
CTNNB1	HGF	4.26874445504333
SPTBN1	TNIK	0.0
SMAD4	PAPPA2	5.486263668037517
AR	TCF7L2	2.118033988749895
SMAD2	TGFBR1	2.118033988749895
PDGFRB	PTPRG	3.1583123951777
CCND1	RB1	4.937039158542511
PPP1CA	SMAD1	0.0
JAK2	PIK3R1	0.0
ERBB4	ANKS1B	4.280334515603078
FYN	GRIN2B	3.9684725514977397
PIK3CA	RHOA	0.0
SMAD4	COL1A2	4.129966569225237
ITGA4	PIK3R1	0.0
MAX	SMAD4	2.956795678960466
CDH2	PTPRJ	3.1937043489192662
RB1	MYC	0.0
FLT4	ITGB1	2.6583123951777
CDKN1B	RHOA	0.0
ERBB2	ERBB3	3.5023251273026323
CAB39	BRSK2	0.0
TGFBR1	SMAD3	2.0
ATM	TP53	10.42379279526581
EGFR	ERBB2	6.480219287100317
ITGA4	PAK1	3.8979157616563596
ERBB2	VAV2	3.23606797749979
STK11	MYC	0.0
PDZD2	UBQLN4	2.8345273722873916
CBL	HGF	3.7723653983154732
BRCA1	CDKN1B	3.732050807568877
CDC42	CTNNB1	0.0
USP7	TP53	8.273791598798965
USP7	HECW1	4.122022120425379
STAT3	MYC	0.0
CTNNA1	EGFR	5.344536799245692
SMAD2	SKIL	2.23606797749979
SMAD9	SPTBN1	0.0
EGFR	PTPRB	6.879636775718586
FN1	ITGB1	3.1213203435596424
EGFR	RASA1	5.887482193696061
TP53	RB1	8.262919523166975
PLXNB3	MAGI2	3.5291410885646703
ATM	BRCA1	5.298655993587492
ATF2	RB1	4.059964873437686
SMAD1	PAK1	2.618033988749895
SP1	COL1A2	0.0
JUN	MYC	0.0
APC	SETDB1	3.944897775957674
EGFR	SH2B1	5.505516182445956
RNASEN	TP53	8.424621202458749
APC	TAF1	4.377802118633468
APC	RAC1	0.0
RASA1	RHOA	0.0
ABL1	RB1	3.4641016151377544
RHOA	ROCK1	0.0
JUN	SP1	0.0
PIK3R1	MTOR	0.0
CTNNA1	CTNND1	2.3228756555322954
GRB2	NCKAP5	0.0
CDH2	CTNND1	2.8708286933869704
AR	PIK3R1	0.0
CDH2	RHOA	0.0
CCND1	CDK4	4.611062569605222
EGFR	STAT3	5.5836438149322625
ATR	TP53	8.61561762093883
LAMA4	ZHX1	3.6226606330479485
CTNNA1	CTNNB1	3.3228756555322954
PIK3CA	MTOR	4.281699553015423
CRK	SP1	0.0
CELSR3	NCK1	0.0
FN1	SMAD9	0.0
CTNNB1	KDR	4.654710874801982
DGCR8	RNASEN	2.5
HSPG2	ATF7IP	3.73606797749979
RB1	TAF1	4.377802118633468
ANK2	NCK1	0.0
CTNNB1	LEF1	3.118033988749895
RB1	MET	4.510399208350458
CRK	ATXN1	0.0
CTNNA1	PAK1	2.8228756555322954
MAX	TP53	8.44983221287567
BARD1	BRCA1	2.8708286933869704
CDC42	SYNE1	0.0
PRKDC	TP53	9.020740676125502
PDGFRB	PIK3R1	0.0
ERBB2	PTPRJ	3.558943633032085
MAX	NFYC	2.224744871391589
MTOR	STAT3	3.350705235476804
CRK	EGFR	0.0
EGFR	JAK2	5.968621023780251
MAX	CDKN1B	3.2862976842004192
SMYD2	TP53	8.156938994062218
TGFBR1	CTNNB1	3.0
TP53	EGFR	9.854949993280487
DST	DISC1	4.6228441865473595
MAGI2	DSCAML1	4.162116540864891
CDC5L	SYNE1	4.201562118716424
CDH2	PTPRB	4.518470760532049
GRIN2B	PTPRC	5.042311017580246
SMAD1	SMAD3	2.118033988749895
EGFR	IRS4	6.344536799245692
CRK	RHOA	0.0
IGSF1	HECTD1	4.252265380515173
CUL7	MEGF10	3.350705235476804
TP53	TRRAP	8.423853586851124
CRK	FLT4	0.0
FOXA1	APOB	0.0
NCK1	SP1	0.0
FLT4	ITGA2	3.3708286933869704
PIK3CA	RAC1	0.0
PIK3CA	VAV2	3.345207879911715
MAX	COL1A2	3.4897422338761794
TP53	PRDM1	7.433034373659253
KDR	RAC1	0.0
ATR	BARD1	2.9364916731037085
ALK	PTPRB	4.738612787525831
CBL	PTPRB	4.061488443058126
TRRAP	CDK4	5.095241053847769
TP53	BDKRB2	0.0
ALMS1	MEGF10	4.252265380515173
PDGFRB	PIK3CA	4.003520275089414
ITGB1	ITGB2	2.118033988749895
ERBB3	SOS1	2.8719515360844206
FYN	ATXN1	2.724744871391589
CDH2	RAC1	0.0
PLCG1	SOS1	2.5
TP53	APC	9.365459931328118
TNIK	MYC	0.0
HTT	SETDB1	3.018458151313612
CDC42	PAK1	0.0
CBL	ITGB1	2.3228756555322954
ITGAM	LPA	4.003520275089414
RAC1	MYC	0.0
PDGFRB	PTPRJ	2.844930045993554
TAF1	GFI1B	2.850084796318772
NOTCH1	GFI1B	2.8371173070873836
PIK3R1	RAC1	0.0
BMP1	TP53	7.933034373659253
DAB1	FYN	3.1612365444952975
FN1	SKIL	3.2393543323095373
CDH2	PTPRG	3.3708286933869704
BARD1	ZHX1	2.038629343740296
CBL	EGF	2.3228756555322954
GRIN2B	PTPRG	4.372281323269014
APOB	ITGAM	5.5953163321836055
CRK	PIK3R1	0.0
EGFR	PTPRJ	5.476932932290569
MARK2	MAP2	3.4238399287081647
CDC5L	SPTBN1	2.8708286933869704
PAK1	CCND1	3.79128784747792
DAB1	ERBB3	3.4364916731037085
ABL1	PIK3R1	0.0
ATF2	SERPINB5	2.7370892179053907
ITGA4	ITGB1	3.237733648910723
CDC42	CTNNA1	0.0
SMAD1	SMAD4	2.850084796318772
ATN1	LTBP1	4.479093821953246
RANBP2	UBE2I	0.0
VAV2	RHOA	0.0
FYN	CTNND1	2.224744871391589
DST	KIAA1549	5.186690105548179
ERBB2	SYNGAP1	3.3541019662496847
TNIK	DISC1	0.0
ANK2	GRB2	0.0
SKIL	SETDB1	2.53224755112299
FOXA1	JUN	0.0
APC	CDC42	0.0
ITGA4	RAC1	0.0
CDH2	PIK3R1	0.0
SETDB1	RIF1	3.414213562373095
SYNE1	DISC1	4.319596107466319
PRKDC	XRCC6	3.9684725514977397
AR	PRKDC	3.990315312018909
BARD1	SETDB1	2.414213562373095
ITGAV	CDKN1B	3.2862976842004192
TIAM1	PAK1	4.458039891549808
HTT	PRPF40A	2.850084796318772
APC	CTNNB1	4.376683172978745
FLT1	PLCG1	3.0615528128088303
ERBB3	NCK1	0.0
NFYC	PDGFRB	2.6583123951777
SMAD2	PAK1	2.618033988749895
SMAD4	TGFBR1	2.732050807568877
ERBB2	PTPRC	4.551157716896622
CELSR3	GRB2	0.0
FLT1	PIK3CA	4.406760692720545
PRPF40A	YLPM1	3.118033988749895
EGFR	SYNGAP1	5.373213921133975
CDC5L	PDE4DIP	3.3979157616563596
CDH2	PAK1	3.3708286933869704
CDC42	VAV2	0.0
SMAD2	ROCK1	2.618033988749895
UBE2I	ATF7IP	0.0
CTNND1	EGF	2.0
ABL1	NCK1	0.0
TCF7L2	CCND1	3.29128784747792
CAB39	BRSK1	0.0
TCF7L2	TNIK	0.0
ITGAV	ITGB3	2.6389584337646843
MEOX2	DGCR8	2.414213562373095
XRCC6	RASA1	2.724744871391589
PLXNB3	CUL7	2.9430608301342605
APOB	ITGB2	5.0550379257558005
EGFR	ERBB3	5.887482193696061
EGFR	PTPRC	6.509576490692531
TNIK	MACF1	0.0
SMAD4	SMAD9	0.0
SKIL	MACF1	3.7613402542968153
MACF1	ATF7IP	3.940439994191643
KDR	CDC42	0.0
ERBB2	IRS4	4.241002284579167
AR	FOXA1	0.0
PDGFRB	PLCG1	2.6583123951777
CTNNB1	TNIK	0.0
ERBB4	RASA1	4.083483125380923
FYN	GRIN2A	4.140220818814239
CBL	ITGAV	2.5476205269238843
AR	SMAD4	2.850084796318772
DAB1	ITGB1	2.9364916731037085
CACNA1A	YLPM1	4.0
PAK1	PIK3CA	3.732618186247021
ITGB1	KDR	3.8284271247461903
CACNA1A	HECW1	4.645751311064591
COL1A2	ITGB1	3.3979157616563596
APC	MBD5	4.145751311064591
CBL	PAK1	2.8228756555322954
TIAM1	VAV2	3.958039891549808
KAT2B	TP53	7.941438033068608
DST	CELSR3	5.47637996885096
BRSK2	MAP2	3.567523731533073
RHOA	FYN	0.0
VAV2	NCKAP5	4.201562118716424
MET	CDC42	0.0
KDR	VEGFC	4.5604779323150675
ERBB3	PIK3R1	0.0
PRDM1	ATXN1	2.5
MYC	NFYC	0.0
TGFBR1	SPTBN1	2.8708286933869704
CACNA1A	HSPG2	4.050278165157308
MYC	ERBB2	0.0
ATF2	SMAD3	2.414213562373095
FLT4	ATF7IP	3.03439873697506
RANBP10	MEGF10	0.0
XRCC6	ZNF512B	2.449489742783178
APC	RANBP2	4.834144188853106
MACF1	CNTNAP2	5.714540552011759
SMAD4	ATF7IP	3.109796058154412
MYC	SMAD3	0.0
CBL	FLT1	3.255754472550579
MYC	ITGB1	0.0
GRIN2A	RELN	6.027998419598836
DAB1	GRIN2A	4.851967620526359
APC	LAMA4	4.8893640588312355
ATF2	JUN	0.0
MYC	SP1	0.0
ABL1	SP1	0.0
EGFR	SOS1	5.887482193696061
PDE4DIP	ZNF512B	3.6226606330479485
MET	PTPN12	3.1213203435596424
EGFR	TNS4	5.505516182445956
LAMA4	ATF7IP	3.7859218074993795
HSPG2	PRPF40A	3.3541019662496847
CTNNB1	MYC	0.0
SMAD4	PRPF40A	2.850084796318772
TP53	LIF	0.0
KDR	PLCG1	3.8284271247461903
ERBB2	JAK2	3.81720680758398
CBL	PIK3CA	3.409321836227815
ERBB2	SOS1	3.622153778955057
TP53	MET	9.227396840190742
JAK2	CBL	2.904014485616485
CDC42	RAC1	0.0
MACF1	CNTNAP4	5.407091565361406
ATF2	BRCA1	3.285042255760066
CTNNB1	MET	4.121320343559642
CELSR3	FYN	3.224744871391589
CCND1	ZNF8	3.516032718869509
RANBP2	TAF1	3.976717019051626
STAT3	CCND1	3.5867219400666497
PIK3R1	CCND1	0.0
ABL1	ERBB2	3.3541019662496847
STK11	BRSK2	5.168333000133266
PIK3CA	RELN	5.552133862578348
APC	MACF1	5.359416465650131
JUN	RB1	0.0
MET	SOS1	3.5058636287082843
CRK	ERBB3	0.0
PTPRC	FYN	3.6226606330479485
NRXN1	MACF1	5.952178177603001
ABL1	CUL7	2.53224755112299
ATF2	SMAD4	3.1462643699419726
KDR	PIK3CA	5.097530887558376
CBL	CRK	0.0
HGF	RANBP10	0.0
