SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
1	1	0	100	TP53
2	1	0	100	TP53
3	2	0	100	TP53,EGFR
4	2	0	100	TP53,EGFR
5	2	0	100	TP53,EGFR
6	2	1	75	TP53,EGFR,MACF1
7	2	2	60	TP53,EGFR,NRXN1,MACF1
8	5	2	75	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1
9	5	2	75	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1
10	5	3	66	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16
11	5	4	60	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1
12	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
13	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
14	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
15	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
16	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
17	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
18	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
19	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
20	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
21	5	5	54	TP53,EGFR,ERBB2,APC,CTNNB1,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
22	6	5	58	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
23	6	5	58	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
24	6	5	58	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
25	6	5	58	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
26	6	5	58	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
27	6	5	58	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN
28	6	6	53	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2
29	6	6	53	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2
30	6	6	53	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2
31	6	7	50	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,VAV2
32	6	7	50	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,VAV2
33	6	7	50	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,VAV2
34	6	7	50	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,VAV2
35	6	7	50	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,VAV2
36	6	7	50	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,VAV2
37	6	8	46	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ATXN1,VAV2
38	6	8	46	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ATXN1,VAV2
39	6	8	46	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ATXN1,VAV2
40	6	8	46	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ATXN1,VAV2
41	7	8	50	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ATXN1,VAV2
42	7	9	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2
43	7	9	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2
44	7	9	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2
45	7	9	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2
46	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
47	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
48	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
49	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
50	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
51	8	10	47	TP53,EGFR,ERBB2,APC,CTNNB1,STK11,KRAS,KDR,NRXN1,MACF1,MYO16,SIPA1L1,VCAN,PDZD2,ERBB4,ATXN1,VAV2,CACNA1A
