>ARID3A,5.752088454068407
TP53,SKP2,any
TTC32,ARID3A,any
ARID3A,TP53,any
>ARID3A,5.921272489070366
PLK3,TRIP13,any
ARID3A,TP53,any
TP53,PLK3,any
>ARID3A,5.821531396155409
TP53,SKP2,any
TP53,ARID3A,any
FDXR,TP53,any
>ARID3A,6.045088180585756
TP53,SKP2,any
SKP2,RB1,any
ARID3A,TP53,any
>ARID3A,6.24248660345962
TP53,SKP2,any
SKP2,FOXM1,any
ARID3A,TP53,any
>PMS2,5.54856565747804
PMS2,TP53,any
RB1,SKP2,any
TP53,RB1,any
>PMS2,5.535291351215684
PMS2,TP53,any
TP53,SKP2,any
TP53,S100A8,any
>PMS2,5.7477989534864005
TP53,PMS2,any
SKP2,TP53,any
FOXM1,SKP2,any
>PMS2,5.7621708028155805
PMS2,TP53,any
TP53,SKP2,any
TP53,EGFR,any
>PMS2,5.7428978936421196
TP53,PTEN,any
PMS2,TP53,any
TP53,EGFR,any
>STAT1,5.33075268303545
BCL2L1,TP53,any
TP53,PTEN,any
STAT1,BCL2L1,any
>STAT1,5.244467770650759
BCL2L1,TP53,any
STAT1,EGFR,any
STAT1,BCL2L1,any
>STAT1,5.895632859288279
BCL2L1,TP53,any
STAT1,FADD,any
STAT1,BCL2L1,any
>STAT1,5.179660228366412
BCL2L1,TP53,any
STAT1,BCL2L1,any
STAT1,LZTR1,any
>STAT1,5.136196840250953
TP53,BCL2L1,any
UFD1L,TP53,any
BCL2L1,STAT1,any
>CRK,4.733511450309371
TP53,SKP2,any
TP53,RAP1B,any
RAP1B,CRK,any
CCNB1,TP53,any
>CRK,5.371991424022122
SKP2,TP53,any
TP53,RAP1B,any
RAP1B,CRK,any
>CRK,4.865166961045839
PTEN,TP53,any
PTEN,PIK3R1,any
PIK3R1,CRK,any
>CRK,4.792558634475841
PTEN,TP53,any
PTEN,PIK3CA,any
PIK3CA,CRK,any
>CRK,4.73448456434401
TP53,PTEN,any
EGFR,TP53,any
PCDHA3,CRK,any
CRK,EGFR,any
>SNCA,4.835490663970566
TK1,TP53,any
SLC6A3,SNCA,any
SNCA,PDE4DIP,any
PDE4DIP,TK1,any
>SNCA,4.906627500429265
SNCA,PRKCD,any
SLC6A3,SNCA,any
PRKCD,TP53,any
>SNCA,4.7028252139178175
SNCA,UBE2L3,any
SLC6A3,SNCA,any
CDK4,CDKN2A,any
SNCA,CDK4,any
>SNCA,4.758388788824828
SNCA,SYK,any
SLC6A3,SNCA,any
SYK,EGFR,any
EGFR,TP53,any
>SNCA,4.720659651765756
SNCA,UBE2L3,any
SNCA,PRKCD,any
SLC6A3,SNCA,any
PRKCD,TP53,any
>CDK4,5.2337728575842535
CDK4,SETDB1,any
SKP2,TP53,any
SKP2,RB1,any
RB1,CDK4,any
>CDK4,5.568546866740504
SKP2,TP53,any
SKP2,RB1,any
RB1,CDK4,any
>CDK4,4.922398710938753
SETDB1,CDK4,any
SETDB1,BID,any
CDK4,RB1,any
CDK4,CDKN2A,any
>CDK4,4.92981701757042
CDK4,TK1,any
CDKN2A,CDK6,any
CDKN2A,CDK4,any
>CDK4,5.347621995555235
SKP2,TP53,any
SKP2,RB1,any
RB1,CDK4,any
FOXM1,SKP2,any
>AGTPBP1,4.561531240236103
AGTPBP1,PPFIA1,any
ENO1,ARNT,any
ENO1,AGTPBP1,any
>AGTPBP1,4.726345632146037
AGTPBP1,PPFIA1,any
TNIK,SYNE1,any
AGTPBP1,TNIK,any
>AGTPBP1,4.503079626463906
TNIK,PPP1R13B,any
AGTPBP1,PPFIA1,any
TNIK,SYNE1,any
AGTPBP1,TNIK,any
>AGTPBP1,4.746930402599898
MBIP,DGCR6L,any
AGTPBP1,PPFIA1,any
PPFIA1,MBIP,any
>AGTPBP1,4.533003856292418
AGTPBP1,PPFIA1,any
TNIK,DYNC1H1,any
AGTPBP1,TNIK,any
>SP1,5.812766677555526
SP1,TP53,any
TP53,SKP2,any
SKP2,RB1,any
>SP1,6.011887250600928
SP1,TP53,any
TP53,SKP2,any
SKP2,FOXM1,any
>SP1,5.84030390765162
SP1,TP53,any
TP53,SKP2,any
RANBP1,SP1,any
>SP1,5.681311227336289
FOXA1,TP53,any
SP1,FOXA1,any
TP53,SKP2,any
>SP1,5.673115208849799
TP53,PTEN,any
SP1,TP53,any
RANBP1,SP1,any
>SMARCA4,5.73718912592668
TP53,SKP2,any
SKP2,FOXM1,any
SMARCA4,TP53,any
>SMARCA4,5.537574873098004
TP53,SKP2,any
SKP2,RB1,any
SMARCA4,TP53,any
>SMARCA4,5.430979825671477
TP53,SKP2,any
SMARCA4,TP53,any
TP53,YY1,any
>SMARCA4,5.524532186174263
TP53,SKP2,any
SMARCA4,TP53,any
TP53,S100A8,any
>SMARCA4,5.4015496743926175
SMARCA4,UBE2O,any
TP53,SKP2,any
SMARCA4,TP53,any
>LGALS4,4.706140158746665
LGALS4,KIAA1549,any
KIAA1549,ZBTB16,any
KIAA1549,DST,any
ZBTB16,CEP72,any
>LGALS4,5.013119345423654
RRAS2,XRCC6,any
XRCC6,TP53,any
RRAS2,LGALS4,any
>LGALS4,4.759754559378134
PRMT1,TP53,any
LGALS4,ARPC3,any
ARPC3,PRMT1,any
>LGALS4,5.058921966504976
LGALS4,KIAA1549,any
KIAA1549,ZBTB16,any
ZBTB16,CEP72,any
>LGALS4,4.590160270281542
RRAS2,XRCC6,any
XRCC6,TP53,any
LGALS4,RRAS2,any
TP53,TP73,any
>HDAC2,5.354049621773916
TP53,SKP2,any
FDXR,TP53,any
FDXR,HDAC2,any
>HDAC2,5.328106269688942
TP53,SKP2,any
SKI,HDAC2,any
HDAC2,TP53,any
>HDAC2,5.373503549508075
PLK3,TRIP13,any
PLK3,TP53,any
TP53,HDAC2,any
>HDAC2,5.461325145272635
TP53,SKP2,any
YY1,HDAC2,any
YY1,TP53,any
>HDAC2,5.568546866740504
SKP2,TP53,any
SKP2,RB1,any
TP53,HDAC2,any
>OSMR,5.364147182162797
BID,TP53,any
OSMR,GAPDH,any
GAPDH,BID,any
>OSMR,5.4708972356540775
TK1,TP53,any
OSMR,GAPDH,any
GAPDH,TK1,any
>OSMR,5.224830488914712
GAPDH,SMN1,any
SMN1,TP53,any
OSMR,GAPDH,any
>OSMR,5.111296536462815
BID,FADD,any
OSMR,GAPDH,any
GAPDH,BID,any
>OSMR,5.673584873395631
BID,FADD,any
BID,TP53,any
OSMR,GAPDH,any
GAPDH,BID,any
>KEAP1,4.562940467283445
RECK,REL,any
KEAP1,RECK,any
KEAP1,CCNB1IP1,any
>KEAP1,4.558321171863123
REL,RECK,any
RECK,KEAP1,any
PRDM10,REL,any
>KEAP1,4.352278902468459
RECK,REL,any
RECK,KEAP1,any
REL,PLCB4,any
>KEAP1,4.493967858005897
MAD2L1,MAD2L1BP,any
MAD2L1BP,TRIP13,any
MAD2L1BP,TP53,any
MAD2L1,KEAP1,any
>KEAP1,4.582053379721544
RECK,REL,any
RECK,KEAP1,any
REL,BID,any
>SOX2,5.4778488046565785
UBE2I,TP53,any
SUMO1,UBE2I,any
SOX2,SUMO1,any
>SOX2,5.261822517276548
RAD54B,PRKAA1,any
SOX2,SUMO1,any
SUMO1,RAD54B,any
>SOX2,5.474919563840679
PIAS2,TP53,any
SUMO1,SOX2,any
PIAS2,SUMO1,any
>SOX2,5.519847272751442
SUMO1,SOX2,any
PDCD6,MAPK1IP1L,any
MAPK1IP1L,SUMO1,any
>SOX2,5.503414101971618
IKZF3,PRKAA1,any
SUMO1,IKZF3,any
SOX2,SUMO1,any
>ZFYVE1,5.299654055525695
BCL2L1,TP53,any
TP53,PTEN,any
ZFYVE1,BCL2L1,any
>ZFYVE1,5.174013104862615
BCL2L1,TP53,any
BCL2L1,CREB3,any
ZFYVE1,BCL2L1,any
>ZFYVE1,5.218174352257055
BCL2L1,TP53,any
TP53,EGFR,any
ZFYVE1,BCL2L1,any
>ZFYVE1,5.157251780891725
BCL2L1,TP53,any
TP53,SKP2,any
SKP2,RB1,any
ZFYVE1,BCL2L1,any
>ZFYVE1,5.580602899502639
BCL2L1,TP53,any
TP53,SKP2,any
ZFYVE1,BCL2L1,any
>CDKN1A,5.72003001897863
TP53,PTEN,any
TP53,SKP2,any
CDKN1A,TP53,any
>CDKN1A,6.18264034470936
CDKN1A,TP53,any
CDKN2A,CDK6,any
CDK6,CDKN1A,any
>CDKN1A,5.766254999302026
MCM10,CDKN2A,any
MCM10,CEP72,any
MCM10,CDKN1A,any
>CDKN1A,5.737936905303097
SKP2,TP53,any
TP53,CDKN1A,any
TP53,TTC5,any
>CDKN1A,5.793314716897669
TP53,CDKN1A,any
FADD,BID,any
BID,TP53,any
>RELN,4.936299448353643
CRKL,NOTCH2,any
RELN,CRKL,any
RELN,AKT1,any
>RELN,4.92340914238717
RELN,PIK3CA,any
PIK3CA,PTEN,any
PIK3CA,AKT1,any
>RELN,5.241085098781371
RELN,PIK3CA,any
RELN,AKT1,any
AKT1,RICTOR,any
>RELN,5.5706014053826145
CDK6,DAB1,any
CDK6,CDKN2A,any
DAB1,RELN,any
>RELN,4.916964487547497
RELN,PAFAH1B3,any
PAFAH1B3,TP53,any
TP53,SKP2,any
>VAV2,4.779911031660644
PTEN,TP53,any
PTEN,ANG,any
PIK3R1,PTEN,any
VAV2,PIK3R1,any
>VAV2,5.02626014102458
BCL2L1,TP53,any
PIK3R1,BCL2L1,any
VAV2,PIK3R1,any
>VAV2,5.207301507684047
PTEN,TP53,any
PIK3R1,PTEN,any
VAV2,PIK3R1,any
>VAV2,4.716351624024613
CDC42,TP53,any
CDC42,VAV2,any
TP53,EGFR,any
CDC42SE1,CDC42,any
>VAV2,4.454373913533356
PIK3R1,GHR,any
PIK3R1,VAV2,any
GABRA3,PIK3R1,any
>TRIM39,4.508575890658864
DIP2A,TRIM39,any
DIP2A,TRIP13,any
DIP2A,ADAMTSL4,any
>TRIM39,4.451574257986882
RECK,REL,any
DIP2A,TRIM39,any
TRIM39,RECK,any
DIP2A,TRIP13,any
>TRIM39,4.5804177920713185
TRIM39,DIP2A,any
DIP2A,TRIP13,any
TRIM39,PRPF3,any
>TRIM39,4.626504654018046
HINFP,TRIM39,any
HINFP,TP53,any
TP53,SKP2,any
>TRIM39,4.526144077570214
DIP2A,TRIM39,any
DIP2A,TRIP13,any
TRIM39,UBE2L3,any
>MBIP,5.697165733320557
DIP2A,MBIP,any
DIP2A,TRIP13,any
MBIP,PPFIA1,any
>MBIP,5.07101860373211
MBIP,DIP2A,any
DGCR6L,MBIP,any
DIP2A,TRIP13,any
>MBIP,5.1040057296141015
DIP2A,MBIP,any
DIP2A,TRIP13,any
DIP2A,ADAMTSL4,any
>MBIP,5.297427177475155
MBIP,DIP2A,any
MBIP,DGCR6L,any
DIP2A,TRIP13,any
MBIP,PPFIA1,any
>MBIP,5.360566270790794
CDK6,MCM7,any
MCM7,MBIP,any
CDK6,CDKN2A,any
>NRXN1,4.195066952547689
TRAF3IP1,MACF1,any
MACF1,NRXN1,any
TRAF3IP1,DMD,any
>NRXN1,4.285322655960495
EXOC1,COLEC12,any
MACF1,NRXN1,any
EXOC1,MACF1,any
