GeneA	GeneB	MEScore
GRB2	REL	4.932690871865943
MDM2	YY1	3.872983346207417
CCNE1	RB1	6.081608670983241
HDAC2	CDKN1A	0.0
CCNE1	BARD1	4.259601202601324
GRB2	SP1	2.7686595939953778
CDC5L	CDKN2A	0.0
ATM	TP53	6.233672470589857
ATM	BARD1	2.392788867148091
ATF2	RB1	3.694452528530629
CDK6	CDKN1A	3.2566165379829397
APC	CDC42	2.3654191763642474
HIF1A	TP53	0.0
CDC42	TP53	6.495025232581661
PDGFRB	AKT1	3.432685087973551
REL	ARIH2	3.8296057803857466
GHR	PIK3R1	5.815917777787847
USP7	TP53	5.733672470589857
MTOR	YY1	3.259367328636004
GRB2	PIK3R1	3.5615528128088303
TFDP1	MYC	0.0
CDC42	CTNNB1	1.5731321849709863
MAX	PDGFRB	0.0
CHD3	CTTN	5.224924347325112
SOX2	SUMO1	0.0
TP53	SH2D1A	6.277110004145672
TP53	TAP1	5.755432216610669
TP53	UFD1L	8.172251313912977
LAMA4	TP53	5.667892024377317
UBE2I	MDM2	0.0
CDKN1A	SETDB1	3.3939592256975564
MCM10	CEP72	6.024937810560445
TNFRSF10B	CASP10	0.0
EGFR	SH2D1A	3.9086688999029717
UBE3A	HSP90AA1	4.150581316760657
ATF2	SUMO1	0.0
CTNNA1	CTNNB1	2.188901059316734
RB1	TFDP1	4.742734713184165
MAX	TAF9	0.0
FADD	RIPK1	5.823779517203475
FOXA1	JUN	2.9983946286644674
MYC	TAF9	0.0
PPP1CA	TP53	0.0
JUN	TP53	5.766281297335398
TP53	FDXR	7.3591895206733895
CTNNA1	EGFR	4.524437774248719
HDAC2	FDXR	0.0
CDKN1A	RB1	3.306243040080456
CHGB	S100A8	3.667543745546287
JUN	SP1	1.4142135623730951
FADD	TNFRSF10B	0.0
UBE2I	SETDB1	0.0
TP53	CCNB1	7.00185487553726
BARD1	TP53	6.440779251776405
GRB2	HOMEZ	3.932381506195801
MYC	TK1	0.0
TP53	UBE2I	0.0
TP53	RB1	7.685163752409826
FOXM1	LAMA4	4.15504636533094
CRKL	MAP4K1	5.964101615137754
CDC42	GRB2	2.53100960115899
PRMT1	TAF9	2.3228756555322954
APC	CTNNB1	2.5243377989621383
AKT1	TSC2	3.3541019662496847
TP53	TP73	7.435422399323372
SKP2	MAX	0.0
ATF2	YY1	2.8025170768881473
MAX	CCNB1	0.0
CHGB	PTEN	4.9528470752104745
CTNNB1	EXOC3	5.769220964015695
HDAC2	YY1	0.0
PLK3	TRIP13	5.707106781186548
EGFR	GRB2	5.181980515339464
PIK3CA	PIK3R1	3.8979157616563596
PIK3R1	AKT1	3.73606797749979
HDAC2	TAF9	0.0
HDAC2	MDM2	0.0
MAX	TP53	0.0
HSP90AA1	RAD1	6.315669125408017
MYC	HSP90AA1	0.0
HIF1A	HSP90AA1	0.0
CCNA2	TFDP1	0.0
PRMT1	TP53	6.787918451395113
TP53	BID	7.443880636966808
ARNT	JUN	3.490988962601558
CDKN1A	S100A8	3.2566165379829397
AKT1	MDM2	4.078768909968932
TP53	XRCC6	6.473388078521946
CDKN1A	TFDP1	2.468501968502953
USP7	MDM2	3.0545256618536034
SP1	TP53	6.277110004145672
RB1	SKP2	7.0082515289752685
MAX	SP1	0.0
PDGFRB	PIK3R1	2.682482845102914
TP53	CASP10	0.0
TAP1	CREB3	3.6499075851994496
MDM2	TP53	7.4874830241795465
CTNNB1	EGFR	4.067587522500863
SMN1	TP53	7.099985659677968
CCNA2	TP53	0.0
CCNA2	CCNE1	0.0
GRB2	MAP4K1	5.472025579036446
TP53	SFN	0.0
MYC	SP1	0.0
TK1	TSC2	2.968501968502953
EGFR	HSP90AA1	5.181980515339464
PIK3R1	MAP4K1	5.070714214271425
YY1	TP53	7.4028750417157285
BARD1	CHD3	2.188901059316734
HDAC2	TP53	0.0
PDGFRB	PTEN	5.177591946602063
KAT2B	YY1	2.8025170768881473
TTC5	TP53	7.547338284270023
HIF1A	JUN	0.0
JUN	MYC	0.0
SP1	TAF9	2.029982436718843
CTNNA1	CTTN	5.68177459907297
HSP90AA1	MTOR	3.3844284683411257
PIK3CA	BCL2L1	4.9275633836400985
UBE2I	TRIP13	0.0
CTNNA1	PIK3CA	3.5964531165178735
TP53	APC	6.958417341981447
PIK3R1	PTEN	5.259879592538201
CTNNB1	MYC	0.0
CTNNA1	PIK3R1	2.682482845102914
CDKN2A	MCM10	7.0906794485884
MAX	MYC	0.0
PIK3R1	BCL2L1	4.308172788070651
FOXA1	TP53	7.503652763227684
FOXM1	CCNB1	3.798652406638339
KAT2B	MDM2	2.8025170768881473
FADD	BID	6.227883631321941
TARS	TARSL2	6.272001872658765
